API,Param,ratio,tfdoc2.2,tfdoc2.3
tf.raw_ops.loadtpuembeddingrmspropparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.image.non_max_suppression_padded.yaml,iou_threshold,0.8839285714285714,A float representing the threshold for deciding whether boxes overlap too much with respect to IOU.,a float representing the threshold for deciding whether boxes overlap too much with respect to IoU (intersection over union).
tf.image.non_max_suppression_padded.yaml,pad_to_max_output_size,0.3626373626373626,"bool. If True, size of selected_indices output is padded to max_output_size.",whether to pad the output idx to max_output_size. Must be set to True when the input is a batch of images.
tf.image.non_max_suppression_padded.yaml,boxes,0.40993788819875776,"A 2-D float Tensor of shape [num_boxes, 4].","a tensor of rank 2 or higher with a shape of [..., num_boxes, 4]. Dimensions except the last two are batch dimensions."
tf.image.non_max_suppression_padded.yaml,scores,0.3409090909090909,A 1-D float Tensor of shape [num_boxes] representing a single score corresponding to each box (each row of boxes).,"a tensor of rank 1 or higher with a shape of [..., num_boxes]."
tf.image.non_max_suppression_padded.yaml,name,0.6296296296296297,A name for the operation (optional).,name of operation.
tf.image.non_max_suppression_padded.yaml,score_threshold,0.5471698113207547,A float representing the threshold for deciding when to remove boxes based on score.,a float representing the threshold for box scores. Boxes with a score that is not larger than this threshold will be suppressed.
tf.nn.conv2d.yaml,data_format,0.5749235474006116,"An optional string from: ""NHWC"", ""NCHW"". Defaults to ""NHWC"". Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of: [batch, height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of: [batch, channels, height, width].","An optional string from: ""NHWC"", ""NCHW"". Defaults to ""NHWC"". Specify the data format of the input and output data. With the default format ""NHWC"", the data is stored in the order of: batch_shape + [height, width, channels]. Alternatively, the format could be ""NCHW"", the data storage order of: batch_shape + [channels, height, width]."
tf.nn.conv2d.yaml,input,0.48366013071895425,"A Tensor. Must be one of the following types: half, bfloat16, float32, float64. A 4-D tensor. The dimension order is interpreted according to the value of data_format, see below for details.","A Tensor. Must be one of the following types: half, bfloat16, float32, float64. A Tensor of rank at least 4. The dimension order is interpreted according to the value of data_format; with the all-but-inner-3 dimensions acting as batch dimensions. See below for details."
tf.keras.activations.elu.yaml,alpha,0.4864864864864865,"A scalar, slope of negative section.","A scalar, slope of negative section. alpha controls the value to which an ELU saturates for negative net inputs."
tf.raw_ops.retrievetpuembeddingcenteredrmspropparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.random.stateless_gamma.yaml,seed,0.56,A shape [2] integer Tensor of seeds to the random number generator.,"A shape [2] Tensor, the seed to the random number generator. Must have dtype int32 or int64. (When using XLA, only int32 is allowed.)"
tf.raw_ops.loadtpuembeddingadadeltaparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.keras.layers.experimental.syncbatchnormalization.yaml,renorm,0.890282131661442,Whether to use Batch Renormalization (https://arxiv.org/abs/1702.03275). This adds extra variables during training. The inference is the same for either value of this parameter.,Whether to use Batch Renormalization. This adds extra variables during training. The inference is the same for either value of this parameter.
tf.random.stateless_uniform.yaml,minval,0.014814814814814815,A 0-D Tensor or Python value of type dtype. The lower bound on the range of random values to generate. Pass None for full-range integers. Defaults to 0.,"A Tensor or Python value of type dtype, broadcastable with shape (for integer types, broadcasting is not supported, so it needs to be a scalar). The lower bound on the range of random values to generate. Pass None for full-range integers. Defaults to 0."
tf.random.stateless_uniform.yaml,maxval,0.013071895424836602,A 0-D Tensor or Python value of type dtype. The upper bound on the range of random values to generate. Defaults to 1 if dtype is floating point. Pass None for full-range integers.,"A Tensor or Python value of type dtype, broadcastable with shape (for integer types, broadcasting is not supported, so it needs to be a scalar). The upper bound on the range of random values to generate. Defaults to 1 if dtype is floating point. Pass None for full-range integers."
tf.random.stateless_uniform.yaml,seed,0.56,A shape [2] integer Tensor of seeds to the random number generator.,"A shape [2] Tensor, the seed to the random number generator. Must have dtype int32 or int64. (When using XLA, only int32 is allowed.)"
tf.test.compute_gradient.yaml,x,0.47863247863247865,a list arguments for the function,the arguments for the function as a list or tuple of values convertible to a Tensor.
tf.raw_ops.retrievetpuembeddingstochasticgradientdescentparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.expint.yaml,x,0.8873239436619719,"A Tensor. Must be one of the following types: float32, float64.","A Tensor. Must be one of the following types: bfloat16, half, float32, float64."
tf.math.reduce_std.yaml,input_tensor,0.8235294117647058,The tensor to reduce. Should have numeric type.,The tensor to reduce. Should have real or complex type.
tf.keras.utils.to_categorical.yaml,num_classes,0.42105263157894735,total number of classes.,"total number of classes. If None, this would be inferred as the (largest number in y) + 1."
tf.function.yaml,experimental_implements,0.8557919621749409,"If provided, contains a name of a ""known"" function this implements. For example ""mycompany.my_recurrent_cell"". This is stored as an attribute in inference function, which can then be detected when processing serialized function. See standardizing composite ops for details. For an example of utilizing this attribute see this example The code above automatically detects and substitutes function that implements ""embedded_matmul"" and allows TFLite to substitute its own implementations. For instance, a tensorflow user can use this attribute to mark that their function also implements embedded_matmul (perhaps more efficiently!) by specifying it using this parameter: @tf.function(experimental_implements=""embedded_matmul"")","If provided, contains a name of a ""known"" function this implements. For example ""mycompany.my_recurrent_cell"". This is stored as an attribute in inference function, which can then be detected when processing serialized function. See standardizing composite ops for details. For an example of utilizing this attribute see this example The code above automatically detects and substitutes function that implements ""embedded_matmul"" and allows TFLite to substitute its own implementations. For instance, a tensorflow user can use this attribute to mark that their function also implements embedded_matmul (perhaps more efficiently!) by specifying it using this parameter: @tf.function(experimental_implements=""embedded_matmul"") This can either be specified as just the string name of the function or a NameAttrList corresponding to a list of key-value attributes associated with the function name. The name of the function will be in the 'name' field of the NameAttrList."
tf.nn.depthwise_conv2d_backprop_input.yaml,padding,0.13513513513513514,"A string from: ""SAME"", ""VALID"". The type of padding algorithm to use.","Controls how to pad the image before applying the convolution. Can be the string ""SAME"" or ""VALID"" indicating the type of padding algorithm to use, or a list indicating the explicit paddings at the start and end of each dimension. When explicit padding is used and data_format is ""NHWC"", this should be in the form [[0, 0], [pad_top, pad_bottom], [pad_left, pad_right], [0, 0]]. When explicit padding used and data_format is ""NCHW"", this should be in the form [[0, 0], [0, 0], [pad_top, pad_bottom], [pad_left, pad_right]]."
tf.raw_ops.retrievetpuembeddingftrlparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.sparsesegmentsqrtn.yaml,segment_ids,0.82,A Tensor of type int32. A 1-D tensor. Values should be sorted and can be repeated.,"A Tensor. Must be one of the following types: int32, int64. A 1-D tensor. Values should be sorted and can be repeated."
tf.nn.embedding_lookup_sparse.yaml,params,0.7334593572778828,"A single tensor representing the complete embedding tensor, or a list of P tensors all of same shape except for the first dimension, representing sharded embedding tensors. Alternatively, a PartitionedVariable, created by partitioning along dimension 0. Each element must be appropriately sized for ""div"" partition_strategy.","A single tensor representing the complete embedding tensor, or a list of tensors all of same shape except for the first dimension, representing sharded embedding tensors following ""div"" partition strategy."
tf.raw_ops.sparsesegmentmeangrad.yaml,segment_ids,0.8252427184466019,A Tensor of type int32. segment_ids passed to the corresponding SparseSegmentMean op.,"A Tensor. Must be one of the following types: int32, int64. segment_ids passed to the corresponding SparseSegmentMean op."
tf.random.stateless_normal.yaml,seed,0.56,A shape [2] integer Tensor of seeds to the random number generator.,"A shape [2] Tensor, the seed to the random number generator. Must have dtype int32 or int64. (When using XLA, only int32 is allowed.)"
tf.raw_ops.loadtpuembeddingadamparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.retrievetpuembeddingadadeltaparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.retrievetpuembeddingrmspropparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.retrievetpuembeddingadagradparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.loadtpuembeddingadamparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.keras.utils.get_file.yaml,cache_dir,0.891566265060241,"Location to store cached files, when None it defaults to the Keras Directory.","Location to store cached files, when None it defaults to the default directory ~/.keras/."
tf.raw_ops.loadtpuembeddingadagradparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.map_fn.yaml,back_prop,0.6320754716981132,(optional) Deprecated. False disables support for back propagation. Prefer using tf.stop_gradient instead.,(optional) Deprecated: prefer using tf.stop_gradient instead. False disables support for back propagation.
tf.map_fn.yaml,elems,0.77,"A tensor or (possibly nested) sequence of tensors, each of which will be unpacked along their first dimension. The nested sequence of the resulting slices will be applied to fn.","A tensor or (possibly nested) sequence of tensors, each of which will be unstacked along their first dimension. fn will be applied to the nested sequence of the resulting slices. elems may include ragged and sparse tensors."
tf.map_fn.yaml,fn,0.8734693877551021,"The callable to be performed. It accepts one argument, which will have the same (possibly nested) structure as elems. Its output must have the same structure as dtype if one is provided, otherwise it must have the same structure as elems.","The callable to be performed. It accepts one argument, which will have the same (possibly nested) structure as elems. Its output must have the same structure as fn_output_signature if one is provided; otherwise it must have the same structure as elems."
tf.map_fn.yaml,dtype,0.18410041841004185,"(optional) The output type(s) of fn. If fn returns a structure of Tensors differing from the structure of elems, then dtype is not optional and must have the same structure as the output of fn.",Deprecated: Equivalent to fn_output_signature.
tf.raw_ops.loadtpuembeddingproximaladagradparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.keras.losses.categorical_hinge.yaml,y_true,0.624390243902439,The ground truth values. y_true values are expected to be -1 or 1. If binary (0 or 1) labels are provided they will be converted to -1 or 1.,The ground truth values. y_true values are expected to be 0 or 1.
tf.raw_ops.retrievetpuembeddingproximaladagradparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.loadtpuembeddingadagradparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.sparsesegmentsqrtnwithnumsegments.yaml,segment_ids,0.82,A Tensor of type int32. A 1-D tensor. Values should be sorted and can be repeated.,"A Tensor. Must be one of the following types: int32, int64. A 1-D tensor. Values should be sorted and can be repeated."
tf.nn.safe_embedding_lookup_sparse.yaml,default_id,0.8,The id to use for an entry with no features.,The id to use for an entry with no features. Defaults to 0-vector.
tf.nn.safe_embedding_lookup_sparse.yaml,embedding_weights,0.01568627450980392,"A list of P float Tensors or values representing partitioned embedding Tensors. Alternatively, a PartitionedVariable created by partitioning along dimension 0. The total unpartitioned shape should be [e_0, e_1, ..., e_m], where e_0 represents the vocab size and e_1, ..., e_m are the embedding dimensions.","A single tensor representing the complete embedding tensor, or a list of tensors all of same shape except for the first dimension, representing sharded embedding tensors following ""div"" partition strategy."
tf.nn.convolution.yaml,dilations,0.007590132827324478,Alias of dilation_rate.,"Optional. Sequence of N ints >= 1. Specifies the filter upsampling/input downsampling rate. In the literature, the same parameter is sometimes called input stride or dilation. The effective filter size used for the convolution will be spatial_filter_shape + (spatial_filter_shape - 1) * (rate - 1), obtained by inserting (dilation_rate[i]-1) zeros between consecutive elements of the original filter in each spatial dimension i. If any value of dilation_rate is > 1, then all values of strides must be 1."
tf.nn.convolution.yaml,filters,0.21138211382113822,Alias of filter.,"An (N+2)-D Tensor with the same type as input and shape spatial_filter_shape + [in_channels, out_channels]."
tf.raw_ops.retrievetpuembeddingmomentumparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.keras.backend.moving_average_update.yaml,x,0.5238095238095238,A Variable.,"A Variable, the moving average."
tf.keras.backend.moving_average_update.yaml,value,0.6851851851851852,A tensor with the same shape as variable.,"A tensor with the same shape as x, the new value to be averaged in."
tf.keras.layers.conv3d.yaml,data_format,0.7479674796747967,"A string, one of channels_last (default) or channels_first. The ordering of the dimensions in the inputs. channels_last corresponds to inputs with shape (batch_size, spatial_dim1, spatial_dim2, spatial_dim3, channels) while channels_first corresponds to inputs with shape (batch_size, channels, spatial_dim1, spatial_dim2, spatial_dim3). It defaults to the image_data_format value found in your Keras config file at ~/.keras/keras.json. If you never set it, then it will be ""channels_last"".","A string, one of channels_last (default) or channels_first. The ordering of the dimensions in the inputs. channels_last corresponds to inputs with shape batch_shape + (spatial_dim1, spatial_dim2, spatial_dim3, channels) while channels_first corresponds to inputs with shape batch_shape + (channels, spatial_dim1, spatial_dim2, spatial_dim3). It defaults to the image_data_format value found in your Keras config file at ~/.keras/keras.json. If you never set it, then it will be ""channels_last""."
tf.raw_ops.loadtpuembeddingftrlparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.nn.depthwise_conv2d_backprop_filter.yaml,padding,0.13513513513513514,"A string from: ""SAME"", ""VALID"". The type of padding algorithm to use.","Controls how to pad the image before applying the convolution. Can be the string ""SAME"" or ""VALID"" indicating the type of padding algorithm to use, or a list indicating the explicit paddings at the start and end of each dimension. When explicit padding is used and data_format is ""NHWC"", this should be in the form [[0, 0], [pad_top, pad_bottom], [pad_left, pad_right], [0, 0]]. When explicit padding used and data_format is ""NCHW"", this should be in the form [[0, 0], [0, 0], [pad_top, pad_bottom], [pad_left, pad_right]]."
tf.nn.depthwise_conv2d.yaml,padding,0.0249609984399376,"A string, either 'VALID' or 'SAME'. The padding algorithm. See the ""returns"" section of tf.nn.convolution for details.","Controls how to pad the image before applying the convolution. Can be the string ""SAME"" or ""VALID"" indicating the type of padding algorithm to use, or a list indicating the explicit paddings at the start and end of each dimension. When explicit padding is used and data_format is ""NHWC"", this should be in the form [[0, 0], [pad_top, pad_bottom], [pad_left, pad_right], [0, 0]]. When explicit padding used and data_format is ""NCHW"", this should be in the form [[0, 0], [0, 0], [pad_top, pad_bottom], [pad_left, pad_right]]."
tf.raw_ops.spence.yaml,x,0.8873239436619719,"A Tensor. Must be one of the following types: float32, float64.","A Tensor. Must be one of the following types: bfloat16, half, float32, float64."
tf.raw_ops.retrievetpuembeddingadamparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.loadtpuembeddingftrlparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.debugging.assert_shapes.yaml,shapes,0.7885714285714286,dictionary with (Tensor to shape) items. A shape must be an iterable.,"dictionary with (Tensor to shape) items, or a list of (Tensor, shape) tuples. A shape must be an iterable."
tf.keras.layers.batchnormalization.yaml,renorm,0.890282131661442,Whether to use Batch Renormalization (https://arxiv.org/abs/1702.03275). This adds extra variables during training. The inference is the same for either value of this parameter.,Whether to use Batch Renormalization. This adds extra variables during training. The inference is the same for either value of this parameter.
tf.raw_ops.loadtpuembeddingstochasticgradientdescentparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.ragged.constant.yaml,ragged_rank,0.48218029350104824,"An integer specifying the ragged rank of the returned RaggedTensor. Must be nonnegative and less than K. Defaults to max(0, K - 1) if inner_shape is not specified. Defaults to `max(0, K 1 - len(inner_shape))ifinner_shapeis specified. </td> </tr><tr> <td>inner_shape</td> <td> A tuple of integers specifying the shape for individual inner values in the returnedRaggedTensor. Defaults to()ifragged_rankis not specified. Ifragged_rankis specified, then a default is chosen based on the contents ofpylist. </td> </tr><tr> <td>name</td> <td> A name prefix for the returned tensor (optional). </td> </tr><tr> <td>row_splits_dtype</td> <td> data type for the constructedRaggedTensor`'s row_splits. One of tf.int32 or tf.int64.","An integer specifying the ragged rank of the returned RaggedTensor. Must be nonnegative and less than K. Defaults to max(0, K - 1) if inner_shape is not specified. Defaults to max(0, K - 1 - len(inner_shape)) if inner_shape is specified."
tf.ragged.constant.yaml,inner_shape,0.0,,"A tuple of integers specifying the shape for individual inner values in the returned RaggedTensor. Defaults to () if ragged_rank is not specified. If ragged_rank is specified, then a default is chosen based on the contents of pylist."
tf.ragged.constant.yaml,name,0.0,,A name prefix for the returned tensor (optional).
tf.ragged.constant.yaml,row_splits_dtype,0.0,,data type for the constructed RaggedTensor's row_splits. One of tf.int32 or tf.int64.
tf.debugging.experimental.enable_dump_debug_info.yaml,tensor_debug_mode,0.24108658743633277,"Debug mode for tensor values, as a string. The currently supported options are: ""NO_TENSOR"": (Default) Only traces the execution of ops' output tensors, while not dumping the value of the ops' output tensors or any form of concise summary of them.","Debug mode for tensor values, as a string. The currently supported options are: ""NO_TENSOR"": (Default) Only traces the output tensors of all executed ops (including those executed eagerly at the Python level or as a part of a TensorFlow graph) and functions, while not extracting any information from the values of the tensors. ""CURT_HEALTH"": For each floating-dtype tensor (e.g., tensors of dtypes such as float32, float64 and bfloat16), extracts a binary bit indicating whether it contains any -infinity, +infinity or NaN. ""CONCISE_HEALTH"": For each floating-dtype tensor, extract total element count, and counts of -infinity, +infinity and NaN elements. ""FULL_HEALTH"": For each floating-dtype tensor, extracts the dtype, rank (number of dimensions), total element count, and counts of -infinity, +infinity and NaN elements. ""SHAPE"": For each tensor (regardless of dtype), extracts its dtype, rank, total element count and shape."
tf.raw_ops.retrievetpuembeddingftrlparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.nn.separable_conv2d.yaml,padding,0.0243161094224924,"A string, either 'VALID' or 'SAME'. The padding algorithm. See the ""returns"" section of tf.nn.convolution for details.","Controls how to pad the image before applying the depthwise convolution. Can be the string ""SAME"" or ""VALID"" indicating the type of padding algorithm to use, or a Python list indicating the explicit paddings at the start and end of each dimension. When explicit padding is used and data_format is ""NHWC"", this should be in the form [[0, 0], [pad_top, pad_bottom], [pad_left, pad_right], [0, 0]]. When explicit padding used and data_format is ""NCHW"", this should be in the form [[0, 0], [0, 0], [pad_top, pad_bottom], [pad_left, pad_right]]."
tf.raw_ops.fresnelcos.yaml,x,0.8873239436619719,"A Tensor. Must be one of the following types: float32, float64.","A Tensor. Must be one of the following types: bfloat16, half, float32, float64."
tf.raw_ops.loadtpuembeddingadadeltaparameters.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.retrievetpuembeddingadagradparametersgradaccumdebug.yaml,table_id,0.8205128205128205,An optional int that is >= -1. Defaults to -1.,An optional int. Defaults to -1.
tf.raw_ops.sparsesegmentsum.yaml,segment_ids,0.82,A Tensor of type int32. A 1-D tensor. Values should be sorted and can be repeated.,"A Tensor. Must be one of the following types: int32, int64. A 1-D tensor. Values should be sorted and can be repeated."
