API,Param,ratio,doc2.1_parsed_rmv1,tfdoc2.2
tf.strings.join.yaml,inputs,0.3321554770318021,"A list of at least 1 `Tensor` objects with type `string`. A list of string tensors.  The tensors must all have the same shape, or be scalars.  Scalars may be mixed in; these will be broadcast to the shape of non-scalar inputs.",A list of tf.Tensor objects of same size and tf.string dtype.
tf.scan.yaml,back_prop,0.6163522012578616,(optional) True enables support for back propagation.,(optional) Deprecated. False disables support for back propagation. Prefer using tf.stop_gradient instead.
tf.keras.backend.rnn.yaml,step_function,0.8331388564760793,"RNN step function. Args;     input; Tensor with shape `(samples, ...)` (no time dimension),         representing input for the batch of samples at a certain         time step.     states; List of tensors. Returns;     output; Tensor with shape `(samples, output_dim)`        (no time dimension).     new_states; List of tensors, same length and shapes         as 'states'. The first state in the list must be the         output tensor at the previous timestep.","RNN step function. Args; input; Tensor with shape (samples, ...) (no time dimension), representing input for the batch of samples at a certain time step. states; List of tensors. Returns; output; Tensor with shape (samples, output_dim) (no time dimension). new_states; List of tensors, same length and shapes as 'states'. The first state in the list must be the output tensor at the previous timestep."
tf.function.yaml,experimental_implements,0.5025510204081632,"If provided, contains a name of a ""known"" function this implements. For example ""mycompany.my_recurrent_cell"". This is stored as an attribute in inference function, which can then be detected when processing serialized function. Seehttps://github.com/tensorflow/community/blob/master/rfcs/20190610-standardizing-composite_ops.mdfor details.  For an example of utilizing this attribute see:https://github.com/tensorflow/tensorflow/blob/master/tensorflow/compiler/mlir/lite/transforms/prepare_composite_functions_tf.ccThe code above automatically detects and substitutes function that implements ""embedded_matmul"" and allows TFLite to substitute its own implementations. For instance, a tensorflow user can use this attribute to mark that their function also implements`embedded_matmul``` (perhaps more efficiently!) by specifying it using this flag.","If provided, contains a name of a ""known"" function this implements. For example ""mycompany.my_recurrent_cell"". This is stored as an attribute in inference function, which can then be detected when processing serialized function. See standardizing composite ops for details. For an example of utilizing this attribute see this example The code above automatically detects and substitutes function that implements ""embedded_matmul"" and allows TFLite to substitute its own implementations. For instance, a tensorflow user can use this attribute to mark that their function also implements embedded_matmul (perhaps more efficiently!) by specifying it using this parameter: @tf.function(experimental_implements=""embedded_matmul"")"
tf.data.experimental.get_next_as_optional.yaml,iterator,0.3614457831325301,A `tf.compat.v1.data.Iterator` object.,An iterator for an instance of tf.data.Dataset.
tf.image.extract_patches.yaml,name,0.0,A name for the operation (optional).,
tf.image.extract_patches.yaml,images,0.12240437158469945,"A 4-D Tensor with shape `[batch, in_rows, in_cols, depth]","A 4-D Tensor with shape [batch, in_rows, in_cols, depth] </td> </tr><tr> <td>sizes</td> <td> The size of the extracted patches. Must be [1, size_rows, size_cols, 1]. </td> </tr><tr> <td>strides</td> <td> A 1-D Tensor of length 4. How far the centers of two consecutive patches are in the images. Must be:[1, stride_rows, stride_cols, 1]. </td> </tr><tr> <td>rates</td> <td> A 1-D Tensor of length 4. Must be:[1, rate_rows, rate_cols, 1]. This is the input stride, specifying how far two consecutive patch samples are in the input. Equivalent to extracting patches withpatch_sizes_eff = patch_sizes + (patch_sizes - 1) * (rates - 1), followed by subsampling them spatially by a factor ofrates. This is equivalent toratein dilated (a.k.a. Atrous) convolutions. </td> </tr><tr> <td>padding</td> <td> The type of padding algorithm to use. </td> </tr><tr> <td>name`"
tf.image.extract_patches.yaml,sizes,0.0,"The size of the extracted patches. Must be [1, size_rows, size_cols, 1].",
tf.image.extract_patches.yaml,strides,0.0,"A 1-D Tensor of length 4. How far the centers of two consecutive patches are in the images. Must be: `[1, stride_rows, stride_cols, 1]`.",
tf.image.extract_patches.yaml,rates,0.0,"A 1-D Tensor of length 4. Must be: `[1, rate_rows, rate_cols, 1]`. This is the input stride, specifying how far two consecutive patch samples are in the input. Equivalent to extracting patches with `patch_sizes_eff = patch_sizes + (patch_sizes - 1) * (rates - 1)`, followed by subsampling them spatially by a factor of `rates`. This is equivalent to `rate` in dilated (a.k.a. Atrous) convolutions.",
tf.image.extract_patches.yaml,padding,0.0,The type of padding algorithm to use.,
tf.math.logical_and.yaml,x,0.8636363636363636,A `Tensor` of type `bool`.,A tf.Tensor type bool.
tf.math.logical_xor.yaml,name,0.0,,A name for the operation (optional).
tf.space_to_batch_nd.yaml,paddings,0.6527594401901241,"A `Tensor`. Must be one of the following types: `int32`, `int64`. 2-D with shape `[M, 2]`, all values must be >= 0.`paddings[i] = [pad_start, pad_end]` specifies the padding for input dimension`i + 1`, which corresponds to spatial dimension `i`.  It is required that`block_shape[i]` divides `input_shape[i + 1] + pad_start + pad_end`.This operation is equivalent to the following steps: Zero-pad the start and end of dimensions `[1, ..., M]` of the input according to `paddings` to produce `padded` of shape `padded_shape`.Reshape `padded` to `reshaped_padded` of shape:[batch] + [padded_shape[1] / block_shape[0],  block_shape[0], ..., padded_shape[M] / block_shape[M-1], block_shape[M-1]] + remaining_shapePermute dimensions of `reshaped_padded` to produce`permuted_reshaped_padded` of shape:block_shape + [batch] + [padded_shape[1] / block_shape[0], ..., padded_shape[M] / block_shape[M-1]] + remaining_shapeReshape `permuted_reshaped_padded` to flatten `block_shape` into the batch dimension, producing an output tensor of shape:[batch * prod(block_shape)] + [padded_shape[1] / block_shape[0], ..., padded_shape[M] / block_shape[M-1]] + remaining_shape Some examples:(1) For the following input of shape `[1, 2, 2, 1]`, `block_shape = [2, 2]`, and   `paddings = [[0, 0], [0, 0]]`:","A Tensor. Must be one of the following types: int32, int64. 2-D with shape [M, 2], all values must be >= 0. paddings[i] = [pad_start, pad_end] specifies the padding for input dimension i + 1, which corresponds to spatial dimension i. It is required that block_shape[i] divides input_shape[i + 1] + pad_start + pad_end. This operation is equivalent to the following steps: Zero-pad the start and end of dimensions [1, ..., M] of the input according to paddings to produce padded of shape padded_shape. Reshape padded to reshaped_padded of shape: [batch] + [padded_shape[1] / block_shape[0], block_shape[0], ..., padded_shape[M] / block_shape[M-1], block_shape[M-1]] + remaining_shape Permute dimensions of reshaped_padded to produce permuted_reshaped_padded of shape: block_shape + [batch] + [padded_shape[1] / block_shape[0], ..., padded_shape[M] / block_shape[M-1]] + remaining_shape Reshape permuted_reshaped_padded to flatten block_shape into the batch dimension, producing an output tensor of shape: [batch * prod(block_shape)] + [padded_shape[1] / block_shape[0], ..., padded_shape[M] / block_shape[M-1]] + remaining_shape Some examples: (1) For the following input of shape [1, 2, 2, 1], block_shape = [2, 2], and paddings = [[0, 0], [0, 0]]: x = [[[[1], [2]], [[3], [4]]]] The output tensor has shape [4, 1, 1, 1] and value: [[[[1]]], [[[2]]], [[[3]]], [[[4]]]] (2) For the following input of shape [1, 2, 2, 3], block_shape = [2, 2], and paddings = [[0, 0], [0, 0]]: x = [[[[1, 2, 3], [4, 5, 6]], [[7, 8, 9], [10, 11, 12]]]] The output tensor has shape [4, 1, 1, 3] and value: [[[[1, 2, 3]]], [[[4, 5, 6]]], [[[7, 8, 9]]], [[[10, 11, 12]]]] (3) For the following input of shape [1, 4, 4, 1], block_shape = [2, 2], and paddings = [[0, 0], [0, 0]]: x = [[[[1], [2], [3], [4]], [[5], [6], [7], [8]], [[9], [10], [11], [12]], [[13], [14], [15], [16]]]] The output tensor has shape [4, 2, 2, 1] and value: x = [[[[1], [3]], [[9], [11]]], [[[2], [4]], [[10], [12]]], [[[5], [7]], [[13], [15]]], [[[6], [8]], [[14], [16]]]] (4) For the following input of shape [2, 2, 4, 1], block_shape = [2, 2], and paddings = [[0, 0], [2, 0]]: x = [[[[1], [2], [3], [4]], [[5], [6], [7], [8]]], [[[9], [10], [11], [12]], [[13], [14], [15], [16]]]] The output tensor has shape [8, 1, 3, 1] and value: x = [[[[0], [1], [3]]], [[[0], [9], [11]]], [[[0], [2], [4]]], [[[0], [10], [12]]], [[[0], [5], [7]]], [[[0], [13], [15]]], [[[0], [6], [8]]], [[[0], [14], [16]]]] Among others, this operation is useful for reducing atrous convolution into regular convolution."
tf.zeros_like.yaml,input,0.46153846153846156,A `Tensor`.,A Tensor or array-like object.
tf.keras.preprocessing.image.array_to_img.yaml,data_format,0.11971830985915492,"Image data format. either ""channels_first"" or ""channels_last"".","Image data format, can be either ""channels_first"" or ""channels_last"". Defaults to None, in which case the global setting tf.keras.backend.image_data_format() is used (unless you changed it, it defaults to ""channels_last"")."
tf.keras.preprocessing.image.array_to_img.yaml,scale,0.8571428571428571,"Whether to rescale image values to be within `[0, 255]`.","Whether to rescale image values to be within [0, 255]. Defaults to True."
tf.keras.preprocessing.image.array_to_img.yaml,dtype,0.1625,Dtype to use.,"Dtype to use. Default to None, in which case the global setting tf.keras.backend.floatx() is used (unless you changed it, it defaults to ""float32"")"
tf.keras.losses.categorical_crossentropy.yaml,y_true,0.8518518518518519,tensor of true targets.,Tensor of one-hot true targets.
tf.keras.models.model_from_yaml.yaml,yaml_string,0.8686868686868687,YAML string encoding a model configuration.,YAML string or open file encoding a model configuration.
tf.keras.backend.set_epsilon.yaml,value,0.3333333333333333,float. New value of epsilon. Example: `python from keras import backend as K K.epsilon() >>> 1e-07 K.set_epsilon(1e-05) K.epsilon() >>> 1e-05`,float. New value of epsilon.
tf.nn.fractional_max_pool.yaml,pseudo_random,0.8146551724137931,"An optional `bool`.  Defaults to `False`. When set to `True`, generates the pooling sequence in a pseudorandom fashion, otherwise, in a random fashion. Check paper Benjamin Graham, Fractional Max-Pooling for difference between pseudorandom and random.","An optional bool. Defaults to False. When set to True, generates the pooling sequence in a pseudorandom fashion, otherwise, in a random fashion. Check paper (Graham, 2015) for difference between pseudorandom and random."
tf.where.yaml,x,0.8691099476439791,"A Tensor which is of the same type as `y`, and may be broadcastable with`condition` and `y`.","If provided, a Tensor which is of the same type as y, and has a shape broadcastable with condition and y."
tf.where.yaml,y,0.8586387434554974,"A Tensor which is of the same type as `x`, and may be broadcastable with`condition` and `x`.","If provided, a Tensor which is of the same type as y, and has a shape broadcastable with condition and x."
tf.keras.preprocessing.image.img_to_array.yaml,data_format,0.13380281690140844,"Image data format, either ""channels_first"" or ""channels_last"".","Image data format, can be either ""channels_first"" or ""channels_last"". Defaults to None, in which case the global setting tf.keras.backend.image_data_format() is used (unless you changed it, it defaults to ""channels_last"")."
tf.keras.preprocessing.image.img_to_array.yaml,dtype,0.30601092896174864,Dtype to use for the returned array.,"Dtype to use. Default to None, in which case the global setting tf.keras.backend.floatx() is used (unless you changed it, it defaults to ""float32"")"
tf.keras.preprocessing.image.img_to_array.yaml,img,0.8636363636363636,PIL Image instance.,Input PIL Image instance.
tf.keras.backend.set_floatx.yaml,value,0.41545893719806765,"String; 'float16', 'float32', or 'float64'. Example: `python from keras import backend as K K.floatx() >>> 'float32' K.set_floatx('float16') K.floatx() >>> 'float16'`","String; 'float16', 'float32', or 'float64'."
tf.math.rsqrt.yaml,x,0.8421052631578947,"A `Tensor`. Must be one of the following types: `bfloat16`, `half`, `float32`, `float64`, `complex64`, `complex128`.","A tf.Tensor. Must be one of the following types: bfloat16, half, float32, float64. int32"
tf.math.logical_not.yaml,x,0.6567164179104478,A `Tensor` of type `bool`.,A Tensor of type bool. A Tensor of type bool.
tf.map_fn.yaml,back_prop,0.6163522012578616,(optional) True enables support for back propagation.,(optional) Deprecated. False disables support for back propagation. Prefer using tf.stop_gradient instead.
tf.transpose.yaml,perm,0.7474747474747475,A permutation of the dimensions of `a`.,A permutation of the dimensions of a. This should be a vector.
tf.foldr.yaml,back_prop,0.6163522012578616,(optional) True enables support for back propagation.,(optional) Deprecated. False disables support for back propagation. Prefer using tf.stop_gradient instead.
tf.keras.losses.squared_hinge.yaml,y_true,0.8932038834951457,The ground truth values. `y_true` values are expected to be -1 or 1. If binary (0 or 1) labels are provided we will convert them to -1 or 1.,"The ground truth values. y_true values are expected to be -1 or 1. If binary (0 or 1) labels are provided we will convert them to -1 or 1. shape = [batch_size, d0, .. dN]."
tf.keras.losses.squared_hinge.yaml,y_pred,0.56,The predicted values.,"The predicted values. shape = [batch_size, d0, .. dN]."
tf.keras.datasets.cifar100.load_data.yaml,label_mode,0.25806451612903225,"one of ""fine"", ""coarse"".","one of ""fine"", ""coarse"". If it is ""fine"" the category labels are the fine-grained labels, if it is ""coarse"" the output labels are the coarse-grained superclasses."
tf.nn.depthwise_conv2d_backprop_input.yaml,dilations,0.8821081830790569,"An optional list of `ints`. Defaults to `[1, 1, 1, 1]`. 1-D tensor of length 4.  The dilation factor for each dimension of`input`. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of`data_format`, see above for details. Dilations in the batch and depth dimensions must be 1.","An optional list of ints. Defaults to [1, 1, 1, 1]. 1-D tensor of length 4. The dilation factor for each dimension of input. If set to k > 1, there will be k-1 skipped cells between each filter element on that dimension. The dimension order is determined by the value of data_format, see above for details. Dilations in the batch and depth dimensions must be 1."
tf.batch_to_space.yaml,name,0.0,A name for the operation (optional).,
