API,Param,ratio,doc2.1_parsed_rmv1,tfdoc2.2
tf.config.optimizer.set_experimental_options.yaml,options,0.9948500454407755,"Dictionary of experimental optimizer options to configure. Valid keys: layout_optimizer: Optimize tensor layouts e.g. This will try to use NCHW layout on GPU which is faster.constant_folding: Fold constants Statically infer the value of tensors when possible, and materialize the result using constants.shape_optimization: Simplify computations made on shapes.remapping: Remap subgraphs onto more efficient implementations.arithmetic_optimization: Simplify arithmetic ops with common sub-expression elimination and arithmetic simplification.dependency_optimization: Control dependency optimizations. Remove redundant control dependencies, which may enable other optimization. This optimizer is also essential for pruning Identity and NoOp nodes.loop_optimization: Loop optimizations.function_optimization: Function optimizations and inlining.debug_stripper: Strips debug-related nodes from the graph.disable_model_pruning: Disable removal of unnecessary ops from the graphscoped_allocator_optimization: Try to allocate some independent Op outputs contiguously in order to merge or eliminate downstream Ops.pin_to_host_optimization: Force small ops onto the CPU.implementation_selector: Enable the swap of kernel implementations based on the device placement.auto_mixed_precision: Change certain float32 ops to float16 on Volta GPUs and above. Without the use of loss scaling, this can cause numerical underflow (see`keras.mixed_precision.experimental.LossScaleOptimizer`).disable_meta_optimizer: Disable the entire meta optimizer.min_graph_nodes: The minimum number of nodes in a graph to optimizer. For smaller graphs, optimization is skipped. ","Dictionary of experimental optimizer options to configure. Valid keys: layout_optimizer: Optimize tensor layouts e.g. This will try to use NCHW layout on GPU which is faster. constant_folding: Fold constants Statically infer the value of tensors when possible, and materialize the result using constants. shape_optimization: Simplify computations made on shapes. remapping: Remap subgraphs onto more efficient implementations. arithmetic_optimization: Simplify arithmetic ops with common sub-expression elimination and arithmetic simplification. dependency_optimization: Control dependency optimizations. Remove redundant control dependencies, which may enable other optimization. This optimizer is also essential for pruning Identity and NoOp nodes. loop_optimization: Loop optimizations. function_optimization: Function optimizations and inlining. debug_stripper: Strips debug-related nodes from the graph. disable_model_pruning: Disable removal of unnecessary ops from the graph scoped_allocator_optimization: Try to allocate some independent Op outputs contiguously in order to merge or eliminate downstream Ops. pin_to_host_optimization: Force small ops onto the CPU. implementation_selector: Enable the swap of kernel implementations based on the device placement. auto_mixed_precision: Change certain float32 ops to float16 on Volta GPUs and above. Without the use of loss scaling, this can cause numerical underflow (see keras.mixed_precision.experimental.LossScaleOptimizer). disable_meta_optimizer: Disable the entire meta optimizer. min_graph_nodes: The minimum number of nodes in a graph to optimizer. For smaller graphs, optimization is skipped."
tf.feature_column.numeric_column.yaml,default_value,0.9989258861439313,"A single value compatible with `dtype` or an iterable of values compatible with `dtype` which the column takes on during`tf.Example` parsing if data is missing. A default value of `None` will cause `tf.io.parse_example` to fail if an example does not contain this column. If a single value is provided, the same value will be applied as the default value for every item. If an iterable of values is provided, the shape of the `default_value` should be equal to the given `shape`.","A single value compatible with dtype or an iterable of values compatible with dtype which the column takes on during tf.Example parsing if data is missing. A default value of None will cause tf.io.parse_example to fail if an example does not contain this column. If a single value is provided, the same value will be applied as the default value for every item. If an iterable of values is provided, the shape of the default_value should be equal to the given shape."
tf.feature_column.numeric_column.yaml,key,0.9971014492753624,"A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature`Tensor` objects, and feature columns.","A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature Tensor objects, and feature columns."
tf.data.experimental.make_batched_features_dataset.yaml,label_key,0.9968652037617555,"(Optional) A string corresponding to the key labels are stored in`tf.Examples`. If provided, it must be one of the `features` key, otherwise results in `ValueError`.","(Optional) A string corresponding to the key labels are stored in tf.Examples. If provided, it must be one of the features key, otherwise results in ValueError."
tf.data.experimental.make_batched_features_dataset.yaml,drop_final_batch,0.9962546816479401,"If `True`, and the batch size does not evenly divide the input dataset size, the final smaller batch will be dropped. Defaults to`False`.","If True, and the batch size does not evenly divide the input dataset size, the final smaller batch will be dropped. Defaults to False."
tf.data.experimental.make_batched_features_dataset.yaml,file_pattern,0.9953051643192489,List of files or patterns of file paths containing`Example` records. See `tf.io.gfile.glob` for pattern rules.,List of files or patterns of file paths containing Example records. See tf.io.gfile.glob for pattern rules.
tf.data.experimental.make_batched_features_dataset.yaml,features,0.9947643979057592,A `dict` mapping feature keys to `FixedLenFeature` or`VarLenFeature` values. See `tf.io.parse_example`.,A dict mapping feature keys to FixedLenFeature or VarLenFeature values. See tf.io.parse_example.
tf.math.abs.yaml,x,0.9948717948717949,"A `Tensor` or `SparseTensor` of type `float16`, `float32`, `float64`,`int32`, `int64`, `complex64` or `complex128`.","A Tensor or SparseTensor of type float16, float32, float64, int32, int64, complex64 or complex128."
tf.reverse.yaml,axis,0.9968253968253968,"A `Tensor`. Must be one of the following types: `int32`, `int64`. 1-D. The indices of the dimensions to reverse. Must be in the range`[-rank(tensor), rank(tensor))`.","A Tensor. Must be one of the following types: int32, int64. 1-D. The indices of the dimensions to reverse. Must be in the range [-rank(tensor), rank(tensor))."
tf.signal.dct.yaml,type,0.9438202247191011,"The DCT type to perform. Must be 1, 2 or 3.","The DCT type to perform. Must be 1, 2, 3 or 4."
tf.signal.dct.yaml,norm,0.9947089947089947,The normalization to apply. `None` for no normalization or `'ortho'`for orthonormal normalization.,The normalization to apply. None for no normalization or 'ortho' for orthonormal normalization.
tf.image.random_flip_left_right.yaml,seed,0.9946524064171123,A Python integer. Used to create a random seed. See`tf.compat.v1.set_random_seed` for behavior.,A Python integer. Used to create a random seed. See tf.compat.v1.set_random_seed for behavior.
tf.tensordot.yaml,axes,0.9976359338061466,"Either a scalar `N`, or a list or an `int32` `Tensor` of shape [2, k]. If axes is a scalar, sum over the last N axes of a and the first N axes of b in order. If axes is a list or `Tensor` the first and second row contain the set of unique integers specifying axes along which the contraction is computed, for `a` and `b`, respectively. The number of axes for `a` and`b` must be equal. If `axes=0`, computes the outer product between `a` and`b`.","Either a scalar N, or a list or an int32 Tensor of shape [2, k]. If axes is a scalar, sum over the last N axes of a and the first N axes of b in order. If axes is a list or Tensor the first and second row contain the set of unique integers specifying axes along which the contraction is computed, for a and b, respectively. The number of axes for a and b must be equal. If axes=0, computes the outer product between a and b."
tf.linalg.normalize.yaml,ord,0.9971988795518207,"Order of the norm. Supported values are `'fro'`, `'euclidean'`, `1`,`2`, `np.inf` and any positive real number yielding the corresponding p-norm. Default is `'euclidean'` which is equivalent to Frobenius norm if`tensor` is a matrix and equivalent to 2-norm for vectors. Some restrictions apply: a) The Frobenius norm `'fro'` is not defined for vectors, b) If axis is a 2-tuple (matrix norm), only `'euclidean'`, '`fro'`, `1`, `2`, `np.inf` are supported. See the description of `axis`on how to compute norms for a batch of vectors or matrices stored in a tensor.","Order of the norm. Supported values are 'fro', 'euclidean', 1, 2, np.inf and any positive real number yielding the corresponding p-norm. Default is 'euclidean' which is equivalent to Frobenius norm if tensor is a matrix and equivalent to 2-norm for vectors. Some restrictions apply: a) The Frobenius norm 'fro' is not defined for vectors, b) If axis is a 2-tuple (matrix norm), only 'euclidean', 'fro', 1, 2, np.inf are supported. See the description of axis on how to compute norms for a batch of vectors or matrices stored in a tensor."
tf.linalg.normalize.yaml,axis,0.997979797979798,"If `axis` is `None` (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. `norm(tensor, ord=ord)` is equivalent to`norm(reshape(tensor, [-1]), ord=ord)`. If `axis` is a Python integer, the input is considered a batch of vectors, and `axis` determines the axis in`tensor` over which to compute vector norms. If `axis` is a 2-tuple of Python integers it is considered a batch of matrices and `axis` determines the axes in `tensor` over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass`axis=[-2,-1]` instead of `axis=None` to make sure that matrix norms are computed.","If axis is None (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. norm(tensor, ord=ord) is equivalent to norm(reshape(tensor, [-1]), ord=ord). If axis is a Python integer, the input is considered a batch of vectors, and axis determines the axis in tensor over which to compute vector norms. If axis is a 2-tuple of Python integers it is considered a batch of matrices and axis determines the axes in tensor over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass axis=[-2,-1] instead of axis=None to make sure that matrix norms are computed."
tf.ragged.segment_ids_to_row_splits.yaml,num_segments,0.99581589958159,A scalar integer indicating the number of segments.  Defaults to `max(segment_ids) + 1` (or zero if `segment_ids` is empty).,A scalar integer indicating the number of segments. Defaults to max(segment_ids) + 1 (or zero if segment_ids is empty).
tf.ragged.segment_ids_to_row_splits.yaml,out_type,0.9955555555555555,"The dtype for the return value.  Defaults to `segment_ids.dtype`, or `tf.int64` if `segment_ids` does not have a dtype.","The dtype for the return value. Defaults to segment_ids.dtype, or tf.int64 if segment_ids does not have a dtype."
tf.debugging.assert_equal.yaml,name,0.9923664122137404,"A name for this operation (optional).  Defaults to ""assert_equal"".","A name for this operation (optional). Defaults to ""assert_equal""."
tf.random.log_uniform_candidate_sampler.yaml,num_true,0.9914529914529915,An `int`.  The number of target classes per training example.,An int. The number of target classes per training example.
tf.random.log_uniform_candidate_sampler.yaml,num_sampled,0.98989898989899,An `int`.  The number of classes to randomly sample.,An int. The number of classes to randomly sample.
tf.cast.yaml,x,0.9946524064171123,"A `Tensor` or `SparseTensor` or `IndexedSlices` of numeric type. It could be `uint8`, `uint16`, `uint32`, `uint64`, `int8`, `int16`, `int32`,`int64`, `float16`, `float32`, `float64`, `complex64`, `complex128`,`bfloat16`.","A Tensor or SparseTensor or IndexedSlices of numeric type. It could be uint8, uint16, uint32, uint64, int8, int16, int32, int64, float16, float32, float64, complex64, complex128, bfloat16."
tf.cast.yaml,dtype,0.9925925925925926,The destination type. The list of supported dtypes is the same as`x`.,The destination type. The list of supported dtypes is the same as x.
tf.math.unsorted_segment_sqrt_n.yaml,num_segments,0.991869918699187,An integer scalar `Tensor`.  The number of distinct segment IDs.,An integer scalar Tensor. The number of distinct segment IDs.
tf.image.adjust_saturation.yaml,image,0.9666666666666667,RGB image or images. Size of the last dimension must be 3.,RGB image or images. The size of the last dimension must be 3.
tf.print.yaml,output_stream,0.9826897470039947,"The output stream, logging level, or file to print to. Defaults to sys.stderr, but sys.stdout, tf.compat.v1.logging.info, tf.compat.v1.logging.warning, tf.compat.v1.logging.error, absl.logging.info, absl.logging.warning and absl.loogging,error are also supported. To print to a file, pass a string started with ""file://"" followed by the file path, e.g., ""file:///tmp/foo.out"".","The output stream, logging level, or file to print to. Defaults to sys.stderr, but sys.stdout, tf.compat.v1.logging.info, tf.compat.v1.logging.warning, tf.compat.v1.logging.error, absl.logging.info, absl.logging.warning and absl.logging.error are also supported. To print to a file, pass a string started with ""file://"" followed by the file path, e.g., ""file:///tmp/foo.out""."
tf.searchsorted.yaml,out_type,0.9908256880733946,The output type (`int32` or `int64`).  Default is `tf.int32`.,The output type (int32 or int64). Default is tf.int32.
tf.grad_pass_through.yaml,f,0.9932885906040269,function `f(*x)` that returns a `Tensor` or nested structure of `Tensor`outputs.,function f(*x) that returns a Tensor or nested structure of Tensor outputs.
tf.io.parse_tensor.yaml,out_type,0.996742671009772,A `tf.DType`. The type of the serialized tensor.  The provided type must match the type of the serialized tensor and no implicit conversion will take place.,A tf.DType. The type of the serialized tensor. The provided type must match the type of the serialized tensor and no implicit conversion will take place.
tf.feature_column.crossed_column.yaml,hash_key,0.996309963099631,Specify the hash_key that will be used by the `FingerprintCat64`function to combine the crosses fingerprints on SparseCrossOp (optional).,Specify the hash_key that will be used by the FingerprintCat64 function to combine the crosses fingerprints on SparseCrossOp (optional).
tf.feature_column.crossed_column.yaml,keys,0.9963235294117647,An iterable identifying the features to be crossed. Each element can be either: string: Will use the corresponding feature which must be of string type.`CategoricalColumn`: Will use the transformed tensor produced by this column. Does not support hashed categorical column. ,An iterable identifying the features to be crossed. Each element can be either: string: Will use the corresponding feature which must be of string type. CategoricalColumn: Will use the transformed tensor produced by this column. Does not support hashed categorical column.
tf.train.get_checkpoint_state.yaml,latest_filename,0.992,Optional name of the checkpoint file.  Default to 'checkpoint'.,Optional name of the checkpoint file. Default to 'checkpoint'.
tf.data.experimental.parse_example_dataset.yaml,features,0.9951219512195122,"A `dict` mapping feature keys to `FixedLenFeature`,`VarLenFeature`, `RaggedFeature`, and `SparseFeature` values.","A dict mapping feature keys to FixedLenFeature, VarLenFeature, RaggedFeature, and SparseFeature values."
tf.train.latest_checkpoint.yaml,latest_filename,0.9833887043189369,Optional name for the protocol buffer file that contains the list of most recent checkpoint filenames. See the corresponding argument to `Saver.save()`.,Optional name for the protocol buffer file that contains the list of most recent checkpoint filenames. See the corresponding argument to v1.Saver.save.
tf.summary.write.yaml,tensor,0.9978118161925602,"the Tensor holding the summary data to write or a callable that returns this Tensor. If a callable is passed, it will only be called when a default SummaryWriter exists and the recording condition specified by`record_if()` is met.","the Tensor holding the summary data to write or a callable that returns this Tensor. If a callable is passed, it will only be called when a default SummaryWriter exists and the recording condition specified by record_if() is met."
tf.sparse.fill_empty_rows.yaml,default_value,0.9922480620155039,"The value to fill for empty rows, with the same type as`sp_input.`","The value to fill for empty rows, with the same type as sp_input."
tf.feature_column.categorical_column_with_hash_bucket.yaml,key,0.9971014492753624,"A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature`Tensor` objects, and feature columns.","A unique string identifying the input feature. It is used as the column name and the dictionary key for feature parsing configs, feature Tensor objects, and feature columns."
tf.strings.bytes_split.yaml,input,0.9946524064171123,A string `Tensor` or `RaggedTensor`: the strings to split.  Must have a statically known rank (`N`).,A string Tensor or RaggedTensor: the strings to split. Must have a statically known rank (N).
tf.debugging.assert_less.yaml,name,0.9922480620155039,"A name for this operation (optional).  Defaults to ""assert_less"".","A name for this operation (optional). Defaults to ""assert_less""."
tf.math.confusion_matrix.yaml,num_classes,0.9457831325301205,"The possible number of labels the classification task can          have. If this value is not provided, it will be calculated          using both predictions and labels array.","The possible number of labels the classification task can have. If this value is not provided, it will be calculated using both predictions and labels array."
tf.saved_model.contains_saved_model.yaml,export_dir,0.9518072289156626,"Absolute string path to possible export location. For example,         '/my/foo/model'.","Absolute string path to possible export location. For example, '/my/foo/model'."
tf.histogram_fixed_width_bins.yaml,nbins,0.989247311827957,Scalar `int32 Tensor`.  Number of histogram bins.,Scalar int32 Tensor. Number of histogram bins.
tf.nn.compute_accidental_hits.yaml,num_true,0.9914529914529915,An `int`.  The number of target classes per training example.,An int. The number of target classes per training example.
tf.linalg.svd.yaml,tensor,0.9917355371900827,"`Tensor` of shape `[..., M, N]`. Let `P` be the minimum of `M` and`N`.","Tensor of shape [..., M, N]. Let P be the minimum of M and N."
tf.image.random_hue.yaml,image,0.9666666666666667,RGB image or images. Size of the last dimension must be 3.,RGB image or images. The size of the last dimension must be 3.
tf.image.random_hue.yaml,max_delta,0.9662921348314607,float.  Maximum value for the random delta.,float. The maximum value for the random delta.
tf.strings.unsorted_segment_join.yaml,segment_ids,0.9966101694915255,"A `Tensor`. Must be one of the following types: `int32`, `int64`. A tensor whose shape is a prefix of data.shape.  Negative segment ids are not supported.","A Tensor. Must be one of the following types: int32, int64. A tensor whose shape is a prefix of data.shape. Negative segment ids are not supported."
tf.math.cumprod.yaml,axis,0.9935483870967742,"A `Tensor` of type `int32` (default: 0). Must be in the range`[-rank(x), rank(x))`.","A Tensor of type int32 (default: 0). Must be in the range [-rank(x), rank(x))."
tf.math.cumprod.yaml,x,0.9935897435897436,"A `Tensor`. Must be one of the following types: `float32`, `float64`,`int64`, `int32`, `uint8`, `uint16`, `int16`, `int8`, `complex64`,`complex128`, `qint8`, `quint8`, `qint32`, `half`.","A Tensor. Must be one of the following types: float32, float64, int64, int32, uint8, uint16, int16, int8, complex64, complex128, qint8, quint8, qint32, half."
tf.nn.embedding_lookup.yaml,params,0.9969512195121951,"A single tensor representing the complete embedding tensor, or a list of P tensors all of same shape except for the first dimension, representing sharded embedding tensors.  Alternatively, a`PartitionedVariable`, created by partitioning along dimension 0. Each element must be appropriately sized for the 'div' `partition_strategy`.","A single tensor representing the complete embedding tensor, or a list of P tensors all of same shape except for the first dimension, representing sharded embedding tensors. Alternatively, a PartitionedVariable, created by partitioning along dimension 0. Each element must be appropriately sized for the 'div' partition_strategy."
tf.nn.conv1d.yaml,data_format,0.992,"An optional `string` from `""NWC"", ""NCW""`.  Defaults to `""NWC""`, the data is stored in the order of [batch, in_width, in_channels].  The`""NCW""` format stores data as [batch, in_channels, in_width].","An optional string from ""NWC"", ""NCW"". Defaults to ""NWC"", the data is stored in the order of [batch, in_width, in_channels]. The ""NCW"" format stores data as [batch, in_channels, in_width]."
tf.nn.conv1d.yaml,input,0.9914529914529915,"A 3D `Tensor`.  Must be of type `float16`, `float32`, or `float64`.","A 3D Tensor. Must be of type float16, float32, or float64."
tf.nn.conv1d.yaml,filters,0.989247311827957,A 3D `Tensor`.  Must have the same type as `input`.,A 3D Tensor. Must have the same type as input.
tf.nn.conv1d.yaml,stride,0.9957446808510638,An int or list of `ints` that has length `1` or `3`.  The number of entries by which the filter is moved right at each step.,An int or list of ints that has length 1 or 3. The number of entries by which the filter is moved right at each step.
tf.sparse.to_dense.yaml,default_value,0.9868421052631579,Scalar value to set for indices not specified in`sp_input`.  Defaults to zero.,Scalar value to set for indices not specified in sp_input. Defaults to zero.
tf.sparse.to_dense.yaml,validate_indices,0.9961089494163424,"A boolean value.  If `True`, indices are checked to make sure they are sorted in lexicographic order and that there are no repeats.","A boolean value. If True, indices are checked to make sure they are sorted in lexicographic order and that there are no repeats."
tf.sort.yaml,direction,0.993006993006993,The direction in which to sort the values (`'ASCENDING'` or`'DESCENDING'`).,The direction in which to sort the values ('ASCENDING' or 'DESCENDING').
tf.random.categorical.yaml,seed,0.9181818181818182,A Python integer. Used to create a random seed for the distribution. See `tf.compat.v1.set_random_seed` for behavior.,A Python integer. Used to create a random seed for the distribution. See tf.random.set_seed for behavior.
tf.random.categorical.yaml,logits,0.9922480620155039,"2-D Tensor with shape `[batch_size, num_classes]`.  Each slice`[i, :]` represents the unnormalized log-probabilities for all classes.","2-D Tensor with shape [batch_size, num_classes]. Each slice [i, :] represents the unnormalized log-probabilities for all classes."
tf.random.categorical.yaml,num_samples,0.992,0-D.  Number of independent samples to draw for each row slice.,0-D. Number of independent samples to draw for each row slice.
tf.feature_column.embedding_column.yaml,initializer,0.9974293059125964,"A variable initializer function to be used in embedding variable initialization. If not specified, defaults to`truncated_normal_initializer` with mean `0.0` and standard deviation `1/sqrt(dimension)`.","A variable initializer function to be used in embedding variable initialization. If not specified, defaults to truncated_normal_initializer with mean 0.0 and standard deviation 1/sqrt(dimension)."
