,idx,freq,sequence,sentence,api,len,cat,
109,2,231,['input'],input,torch.mul.yaml,1,not useful,
110,2,231,['input'],input,torch.nn.functional.adaptive_avg_pool2d.yaml,1,not useful,
111,2,231,['input'],input,torch.remainder.yaml,1,not useful,
112,2,231,['input'],input,torch.cholesky_solve.yaml,1,not useful,
113,2,231,['input'],input2,torch.cholesky_solve.yaml,1,not useful,
114,2,231,['input'],input,torch.median2.yaml,1,not useful,
115,2,231,['input'],input,torch.histc.yaml,1,not useful,
116,2,231,['input'],input,torch.symeig.yaml,1,not useful,
117,2,231,['input'],input,torch.clamp.yaml,1,not useful,
119,2,231,['input'],input,torch.flatten.yaml,1,not useful,
120,2,231,['input'],input,torch.argsort.yaml,1,not useful,
121,2,231,['input'],input,torch.eq.yaml,1,not useful,
122,2,231,['input'],input,torch.logical_or.yaml,1,not useful,
123,2,231,['input'],input,torch.inverse.yaml,1,not useful,
124,2,231,['input'],input,torch.logsumexp.yaml,1,not useful,
125,2,231,['input'],input,torch.mean.yaml,1,not useful,
126,2,231,['input'],input,torch.sort.yaml,1,not useful,
127,2,231,['input'],input,torch.logical_and.yaml,1,not useful,
128,2,231,['input'],input,torch.sin.yaml,1,not useful,
129,2,231,['input'],input,torch.tan.yaml,1,not useful,
130,2,231,['input'],input,torch.is_complex.yaml,1,not useful,
131,2,231,['input'],input,torch.argmin.yaml,1,not useful,
132,2,231,['input'],input,torch.max2.yaml,1,not useful,
133,2,231,['input'],input,torch.cumprod.yaml,1,not useful,
134,2,231,['input'],input,torch.diag_embed.yaml,1,not useful,
135,2,231,['input'],input,torch.imag.yaml,1,not useful,
136,2,231,['input'],input,torch.matmul.yaml,1,not useful,
137,2,231,['input'],input,torch.atan.yaml,1,not useful,
138,2,231,['input'],input,torch.cosh.yaml,1,not useful,
139,2,231,['input'],input,torch.asin.yaml,1,not useful,
140,2,231,['input'],input,torch.argmax2.yaml,1,not useful,
141,2,231,['input'],input,torch.nn.quantized.functional.linear.yaml,1,not useful,
142,2,231,['input'],input,torch.stft.yaml,1,not useful,
143,2,231,['input'],input,torch.nn.functional.dropout2d.yaml,1,not useful,
144,2,231,['input'],input,torch.square.yaml,1,not useful,
145,2,231,['input'],input,torch.median.yaml,1,not useful,
146,2,231,['input'],input,torch.slogdet.yaml,1,not useful,
147,2,231,['input'],input,torch.bmm.yaml,1,not useful,
148,2,231,['input'],input,torch.mvlgamma.yaml,1,not useful,
149,2,231,['input'],input,torch.quantize_per_tensor.yaml,1,not useful,
150,2,231,['input'],input,torch.nn.quantized.functional.conv2d.yaml,1,not useful,
151,2,231,['input'],input,torch.ge.yaml,1,not useful,
152,2,231,['input'],input,torch.log2.yaml,1,not useful,
153,2,231,['input'],input,torch.logical_xor.yaml,1,not useful,
154,2,231,['input'],input,torch.prod.yaml,1,not useful,
155,2,231,['input'],input,torch.argmax.yaml,1,not useful,
156,2,231,['input'],input,torch.floor.yaml,1,not useful,
157,2,231,['input'],input,torch.addmv.yaml,1,not useful,
158,2,231,['input'],input,torch.narrow.yaml,1,not useful,
159,2,231,['input'],input,torch.norm.yaml,1,not useful,
160,2,231,['input'],input,torch.lt.yaml,1,not useful,
161,2,231,['input'],input,torch.unique.yaml,1,not useful,
162,2,231,['input'],input,torch.index_select.yaml,1,not useful,
163,2,231,['input'],input,torch.kthvalue.yaml,1,not useful,
164,2,231,['input'],input,torch.solve.yaml,1,not useful,
165,2,231,['input'],input,torch.nn.functional.pad.yaml,1,not useful,
166,2,231,['input'],input,torch.atan2.yaml,1,not useful,
167,2,231,['input'],input,torch.flip.yaml,1,not useful,
168,2,231,['input'],input,torch.qr.yaml,1,not useful,
169,2,231,['input'],input,torch.var2.yaml,1,not useful,
170,2,231,['input'],input,torch.logical_not.yaml,1,not useful,
171,2,231,['input'],input,torch.lstsq.yaml,1,not useful,
172,2,231,['input'],input,torch.multinomial.yaml,1,not useful,
173,2,231,['input'],input,torch.cholesky_inverse.yaml,1,not useful,
174,2,231,['input'],input,torch.min.yaml,1,not useful,
175,2,231,['input'],input,torch.expm1.yaml,1,not useful,
176,2,231,['input'],input,torch.mode.yaml,1,not useful,
177,2,231,['input'],input,torch.nn.functional.nll_loss.yaml,1,not useful,
178,2,231,['input'],input,torch.log.yaml,1,not useful,
179,2,231,['input'],input,torch.nn.functional.dropout3d.yaml,1,not useful,
180,2,231,['input'],input,torch.abs.yaml,1,not useful,
181,2,231,['input'],input,torch.tril.yaml,1,not useful,
182,2,231,['input'],input,torch.bincount.yaml,1,not useful,
183,2,231,['input'],input,torch.triu.yaml,1,not useful,
184,2,231,['input'],input,torch.nn.quantized.functional.interpolate.yaml,1,not useful,
185,2,231,['input'],input,torch.utils.checkpoint.checkpoint_sequential.yaml,1,not useful,
186,2,231,['input'],input,torch.nn.functional.softmin.yaml,1,not useful,
187,2,231,['input'],input,torch.unsqueeze.yaml,1,not useful,
188,2,231,['input'],input,torch.allclose.yaml,1,not useful,
189,2,231,['input'],input,torch.log10.yaml,1,not useful,
190,2,231,['input'],input,torch.chunk.yaml,1,not useful,
191,2,231,['input'],input,torch.nn.functional.cross_entropy.yaml,1,not useful,
192,2,231,['input'],input,torch.ger.yaml,1,not useful,
193,2,231,['input'],input,torch.bitwise_or.yaml,1,not useful,
194,2,231,['input'],input,torch.std_mean2.yaml,1,not useful,
195,2,231,['input'],input,torch.sqrt.yaml,1,not useful,
196,2,231,['input'],input,torch.lgamma.yaml,1,not useful,
197,2,231,['input'],input,torch.sign.yaml,1,not useful,
198,2,231,['input'],input,torch.unique_consecutive.yaml,1,not useful,
199,2,231,['input'],input,torch.rot90.yaml,1,not useful,
200,2,231,['input'],input,torch.geqrf.yaml,1,not useful,
201,2,231,['input'],input,torch.dist.yaml,1,not useful,
202,2,231,['input'],input,torch.squeeze.yaml,1,not useful,
203,2,231,['input'],input,torch.cumsum.yaml,1,not useful,
204,2,231,['input'],input,torch.nn.functional.softmax.yaml,1,not useful,
205,2,231,['input'],input,torch.tanh.yaml,1,not useful,
206,2,231,['input'],input,torch.t.yaml,1,not useful,
207,2,231,['input'],input,torch.nn.functional.binary_cross_entropy_with_logits.yaml,1,not useful,
208,2,231,['input'],input,torch.svd.yaml,1,not useful,
209,2,231,['input'],input,torch.transpose.yaml,1,not useful,
210,2,231,['input'],input,torch.logdet.yaml,1,not useful,
211,2,231,['input'],input,torch.nn.functional.poisson_nll_loss.yaml,1,not useful,
212,2,231,['input'],log_input,torch.nn.functional.poisson_nll_loss.yaml,1,not useful,
213,2,231,['input'],input,torch.matrix_rank.yaml,1,not useful,
214,2,231,['input'],input,torch.gather.yaml,1,not useful,
215,2,231,['input'],input,torch.rand_like.yaml,1,not useful,
216,2,231,['input'],input,torch.roll.yaml,1,not useful,
217,2,231,['input'],input,torch.unbind.yaml,1,not useful,
218,2,231,['input'],input,torch.nn.functional.interpolate.yaml,1,not useful,
219,2,231,['input'],input,torch.floor_divide.yaml,1,not useful,
220,2,231,['input'],input,torch.std.yaml,1,not useful,
221,2,231,['input'],input,torch.diagonal.yaml,1,not useful,
222,2,231,['input'],input,torch.diagflat.yaml,1,not useful,
223,2,231,['input'],input,torch.renorm.yaml,1,not useful,
224,2,231,['input'],input,torch.rsqrt.yaml,1,not useful,
225,2,231,['input'],input,torch.digamma.yaml,1,not useful,
226,2,231,['input'],input,torch.rfft.yaml,1,not useful,
227,2,231,['input'],input,torch.nn.quantized.functional.relu.yaml,1,not useful,
228,2,231,['input'],input,torch.max.yaml,1,not useful,
229,2,231,['input'],input,torch.mm.yaml,1,not useful,
230,2,231,['input'],input,torch.nn.quantized.functional.conv3d.yaml,1,not useful,
118,2,231,['input'],input_tensor_list,torch.distributed.all_gather_multigpu.yaml,1,not useful,
29,2,231,['input'],input_lengths,torch.nn.functional.ctc_loss.yaml,1,not useful,
260,3,114,['SOME_DTYPE'],gather_list,torch.distributed.gather.yaml,1,structure,
231,3,114,['SOME_DTYPE'],device,torch.empty_strided.yaml,1,device,
232,3,114,['SOME_DTYPE'],layout,torch.empty_strided.yaml,1,layout,
233,3,114,['SOME_DTYPE'],device,torch.cuda.max_memory_reserved.yaml,1,device,
234,3,114,['SOME_DTYPE'],device,torch.arange.yaml,1,device,
235,3,114,['SOME_DTYPE'],layout,torch.arange.yaml,1,layout,
236,3,114,['SOME_DTYPE'],device,torch.cuda.memory_reserved.yaml,1,device,
237,3,114,['SOME_DTYPE'],pickle_module,torch.save.yaml,1,,
238,3,114,['SOME_DTYPE'],device,torch.ones_like.yaml,1,device,
239,3,114,['SOME_DTYPE'],layout,torch.ones_like.yaml,1,layout,
240,3,114,['SOME_DTYPE'],_devices_kw,torch.random.fork_rng.yaml,1,,
244,3,114,['SOME_DTYPE'],device,torch.cuda.reset_max_memory_allocated.yaml,1,device,
242,3,114,['SOME_DTYPE'],is_python_module,torch.utils.cpp_extension.load_inline.yaml,1,,
243,3,114,['SOME_DTYPE'],as_tuple,torch.nonzero.yaml,1,,
245,3,114,['SOME_DTYPE'],device,torch.cuda.memory_stats.yaml,1,device,
247,3,114,['SOME_DTYPE'],device,torch.cuda.get_device_name.yaml,1,device,
246,3,114,['SOME_DTYPE'],model,torch.quantization.prepare_qat.yaml,1,model,
251,3,114,['SOME_DTYPE'],device,torch.empty_like.yaml,1,device,
268,3,114,['SOME_DTYPE'],model,torch.quantization.quantize.yaml,1,model,
270,3,114,['SOME_DTYPE'],model,torch.onnx.export.yaml,1,model,
254,3,114,['SOME_DTYPE'],device,torch.cuda.memory_allocated.yaml,1,device,
252,3,114,['SOME_DTYPE'],layout,torch.empty_like.yaml,1,layout,
296,3,114,['SOME_DTYPE'],model,torch.hub.load.yaml,1,model,
257,3,114,['SOME_DTYPE'],device,torch.hann_window.yaml,1,device,
255,3,114,['SOME_DTYPE'],_devices_kw,torch.random.fork_rng2.yaml,1,,
265,3,114,['SOME_DTYPE'],device,torch.cuda.current_stream.yaml,1,device,
266,3,114,['SOME_DTYPE'],device,torch.zeros_like.yaml,1,device,
258,3,114,['SOME_DTYPE'],layout,torch.hann_window.yaml,1,layout,
297,3,114,['SOME_DTYPE'],model,torch.hub.help.yaml,1,model,
288,3,114,['SOME_DTYPE'],input_tensor_list,torch.distributed.all_gather_multigpu.yaml,1,structure,
261,3,114,['SOME_DTYPE'],device_ids,torch.nn.parallel.data_parallel.yaml,1,,
308,3,114,['SOME_DTYPE'],model,torch.quantization.quantize_qat.yaml,1,model,
263,3,114,['SOME_DTYPE'],module_kwargs,torch.nn.parallel.data_parallel.yaml,1,,
264,3,114,['SOME_DTYPE'],output_device,torch.nn.parallel.data_parallel.yaml,1,,
274,3,114,['SOME_DTYPE'],device,torch.cuda.set_device.yaml,1,device,
275,3,114,['SOME_DTYPE'],device,torch.rand.yaml,1,device,
267,3,114,['SOME_DTYPE'],layout,torch.zeros_like.yaml,1,layout,
327,3,114,['SOME_DTYPE'],model,torch.quantization.fuse_modules.yaml,1,model,
277,3,114,['SOME_DTYPE'],device,torch.eye.yaml,1,device,
340,3,114,['SOME_DTYPE'],model,torch.quantization.prepare.yaml,1,model,
271,3,114,['SOME_DTYPE'],strip_doc_string,torch.onnx.export.yaml,1,,
248,3,114,['SOME_DTYPE'],module,torch.nn.utils.spectral_norm.yaml,1,module,
249,3,114,['SOME_DTYPE'],module,torch.nn.utils.prune.l1_unstructured.yaml,1,module,
280,3,114,['SOME_DTYPE'],device,torch.randn_like.yaml,1,device,
282,3,114,['SOME_DTYPE'],device,torch.cuda.get_device_capability.yaml,1,device,
276,3,114,['SOME_DTYPE'],layout,torch.rand.yaml,1,layout,
289,3,114,['SOME_DTYPE'],device,torch.cuda.max_memory_allocated.yaml,1,device,
278,3,114,['SOME_DTYPE'],layout,torch.eye.yaml,1,layout,
253,3,114,['SOME_DTYPE'],module,torch.nn.utils.prune.random_unstructured.yaml,1,module,
290,3,114,['SOME_DTYPE'],device,torch.cuda.memory_summary.yaml,1,device,
281,3,114,['SOME_DTYPE'],layout,torch.randn_like.yaml,1,layout,
292,3,114,['SOME_DTYPE'],device,torch.ones.yaml,1,device,
259,3,114,['SOME_DTYPE'],module,torch.nn.utils.prune.ln_structured.yaml,1,module,
284,3,114,['SOME_DTYPE'],qconfig_dict,torch.quantization.propagate_qconfig_.yaml,1,,
262,3,114,['SOME_DTYPE'],module,torch.nn.parallel.data_parallel.yaml,1,module,
294,3,114,['SOME_DTYPE'],device,torch.randperm.yaml,1,device,
299,3,114,['SOME_DTYPE'],device,torch.cuda.synchronize.yaml,1,device,
300,3,114,['SOME_DTYPE'],device,torch.triu_indices.yaml,1,device,
272,3,114,['SOME_DTYPE'],module,torch.quantization.convert.yaml,1,module,
303,3,114,['SOME_DTYPE'],device,torch.tril_indices.yaml,1,device,
293,3,114,['SOME_DTYPE'],layout,torch.ones.yaml,1,layout,
306,3,114,['SOME_DTYPE'],device,torch.linspace.yaml,1,device,
295,3,114,['SOME_DTYPE'],layout,torch.randperm.yaml,1,layout,
273,3,114,['SOME_DTYPE'],module,torch.nn.utils.remove_weight_norm.yaml,1,module,
279,3,114,['SOME_DTYPE'],module,torch.nn.utils.prune.random_structured.yaml,1,module,
298,3,114,['SOME_DTYPE'],model_dir,torch.utils.model_zoo.load_url.yaml,1,,
309,3,114,['SOME_DTYPE'],device,torch.hamming_window.yaml,1,device,
312,3,114,['SOME_DTYPE'],device,torch.cuda.default_stream.yaml,1,device,
301,3,114,['SOME_DTYPE'],layout,torch.triu_indices.yaml,1,layout,
283,3,114,['SOME_DTYPE'],module,torch.quantization.propagate_qconfig_.yaml,1,module,
315,3,114,['SOME_DTYPE'],device,torch.blackman_window.yaml,1,device,
304,3,114,['SOME_DTYPE'],layout,torch.tril_indices.yaml,1,layout,
305,3,114,['SOME_DTYPE'],pickle_module,torch.load.yaml,1,,
317,3,114,['SOME_DTYPE'],device,torch.as_tensor.yaml,1,device,
307,3,114,['SOME_DTYPE'],layout,torch.linspace.yaml,1,layout,
285,3,114,['SOME_DTYPE'],module,torch.nn.utils.prune.remove.yaml,1,module,
318,3,114,['SOME_DTYPE'],device,torch.bartlett_window.yaml,1,device,
310,3,114,['SOME_DTYPE'],layout,torch.hamming_window.yaml,1,layout,
320,3,114,['SOME_DTYPE'],device,torch.logspace.yaml,1,device,
322,3,114,['SOME_DTYPE'],device,torch.cuda.reset_max_memory_cached.yaml,1,device,
313,3,114,['SOME_DTYPE'],is_python_module,torch.utils.cpp_extension.load.yaml,1,,
291,3,114,['SOME_DTYPE'],module,torch.nn.utils.prune.is_pruned.yaml,1,module,
324,3,114,['SOME_DTYPE'],device,torch.tensor.yaml,1,device,
316,3,114,['SOME_DTYPE'],layout,torch.blackman_window.yaml,1,layout,
326,3,114,['SOME_DTYPE'],device,torch.sparse_coo_tensor.yaml,1,device,
332,3,114,['SOME_DTYPE'],device,torch.zeros.yaml,1,device,
319,3,114,['SOME_DTYPE'],layout,torch.bartlett_window.yaml,1,layout,
334,3,114,['SOME_DTYPE'],device,torch.cuda.get_rng_state.yaml,1,device,
321,3,114,['SOME_DTYPE'],layout,torch.logspace.yaml,1,layout,
335,3,114,['SOME_DTYPE'],device,torch.randn.yaml,1,device,
302,3,114,['SOME_DTYPE'],module,torch.quantization.add_observer_.yaml,1,module,
337,3,114,['SOME_DTYPE'],device,torch.cuda.set_rng_state.yaml,1,device,
314,3,114,['SOME_DTYPE'],module,torch.nn.utils.prune.custom_from_mask.yaml,1,module,
338,3,114,['SOME_DTYPE'],device,torch.rand_like.yaml,1,device,
323,3,114,['SOME_DTYPE'],module,torch.nn.utils.prune.identity.yaml,1,module,
328,3,114,['SOME_DTYPE'],modules_to_fuse,torch.quantization.fuse_modules.yaml,1,,
329,3,114,['SOME_DTYPE'],scatter_list,torch.distributed.scatter.yaml,1,structure,
325,3,114,['SOME_DTYPE'],module,torch.nn.utils.weight_norm.yaml,1,module,
344,3,114,['SOME_DTYPE'],sequence,torch.nn.utils.rnn.pad_packed_sequence.yaml,1,structure,
342,3,114,['SOME_DTYPE'],device,torch.full.yaml,1,device,
333,3,114,['SOME_DTYPE'],layout,torch.zeros.yaml,1,layout,
241,3,114,['SOME_DTYPE'],devices,torch.random.fork_rng.yaml,1,device+list,
256,3,114,['SOME_DTYPE'],devices,torch.random.fork_rng2.yaml,1,device+list,
336,3,114,['SOME_DTYPE'],layout,torch.randn.yaml,1,layout,
269,3,114,['SOME_DTYPE'],devices,torch.cuda.comm.broadcast_coalesced.yaml,1,device+list,
286,3,114,['SOME_DTYPE'],devices,torch.cuda.comm.scatter.yaml,1,device+list,
339,3,114,['SOME_DTYPE'],layout,torch.rand_like.yaml,1,layout,
330,3,114,['SOME_DTYPE'],module,torch.nn.utils.remove_spectral_norm.yaml,1,module,
341,3,114,['SOME_DTYPE'],model_dir,torch.hub.load_state_dict_from_url.yaml,1,,
311,3,114,['SOME_DTYPE'],devices,torch.cuda.comm.broadcast.yaml,1,device+list,
343,3,114,['SOME_DTYPE'],layout,torch.full.yaml,1,layout,
250,3,114,['SOME_DTYPE'],tensor_list,torch.distributed.all_gather.yaml,1,structure+tensor,
287,3,114,['SOME_DTYPE'],tensor_list,torch.distributed.broadcast_multigpu.yaml,1,structure+tensor,
331,3,114,['SOME_DTYPE'],tensor_list,torch.distributed.reduce_multigpu.yaml,1,structure+tensor,
345,4,63,['dim'],dim,torch.std2.yaml,1,int+range,
346,4,63,['dim'],dim,torch.prod2.yaml,1,int+range,
347,4,63,['dim'],dim,torch.cummax.yaml,1,int+range,
348,4,63,['dim'],dim,torch.mean2.yaml,1,int+range,
349,4,63,['dim'],dim,torch.sum2.yaml,1,int+range,
350,4,63,['dim'],dim,torch.trapz.yaml,1,int+range,
351,4,63,['dim'],dim,torch.nn.functional.glu.yaml,1,int+range,
352,4,63,['dim'],dim,torch.nn.functional.gumbel_softmax.yaml,1,int+range,
353,4,63,['dim'],dim,torch.nn.functional.normalize.yaml,1,int+range,
354,4,63,['dim'],dim,torch.nn.utils.spectral_norm.yaml,1,int+range,
355,4,63,['dim'],dim,torch.nn.functional.cosine_similarity.yaml,1,int+range,
356,4,63,['dim'],dim,torch.cummin.yaml,1,int+range,
357,4,63,['dim'],dim,torch.nn.utils.prune.ln_structured.yaml,1,int+range,
358,4,63,['dim'],dim,torch.nn.parallel.data_parallel.yaml,1,int+range,
359,4,63,['dim'],dim,torch.topk.yaml,1,int+range,
360,4,63,['dim'],dim,torch.sparse.sum.yaml,1,int+range,
361,4,63,['dim'],dim,torch.min2.yaml,1,int+range,
362,4,63,['dim'],dim,torch.split.yaml,1,int+range,
363,4,63,['dim'],dim,torch.cross.yaml,1,int+range,
364,4,63,['dim'],dim,torch.argmin2.yaml,1,int+range,
365,4,63,['dim'],dim,torch.nn.utils.prune.random_structured.yaml,1,int+range,
366,4,63,['dim'],dim,torch.trapz2.yaml,1,int+range,
367,4,63,['dim'],dim,torch.nn.functional.log_softmax.yaml,1,int+range,
368,4,63,['dim'],dim,torch.var_mean2.yaml,1,int+range,
369,4,63,['dim'],dim,torch.cuda.comm.scatter.yaml,1,int+range,
370,4,63,['dim'],dim,torch.repeat_interleave.yaml,1,int+range,
371,4,63,['dim'],dim,torch.median2.yaml,1,int+range,
372,4,63,['dim'],end_dim,torch.flatten.yaml,1,,
373,4,63,['dim'],start_dim,torch.flatten.yaml,1,,
374,4,63,['dim'],dim,torch.argsort.yaml,1,int+range,
375,4,63,['dim'],dim,torch.logsumexp.yaml,1,int+range,
376,4,63,['dim'],dim,torch.sort.yaml,1,int+range,
377,4,63,['dim'],dim,torch.stack.yaml,1,int+range,
378,4,63,['dim'],dim,torch.max2.yaml,1,int+range,
379,4,63,['dim'],dim,torch.cumprod.yaml,1,int+range,
380,4,63,['dim'],dim1,torch.diag_embed.yaml,1,int+range,
381,4,63,['dim'],dim2,torch.diag_embed.yaml,1,int+range,
382,4,63,['dim'],dim,torch.argmax2.yaml,1,int+range,
383,4,63,['dim'],dim,torch.narrow.yaml,1,int+range,
384,4,63,['dim'],dim,torch.norm.yaml,1,int+range,
385,4,63,['dim'],dim,torch.unique.yaml,1,int+range,
386,4,63,['dim'],dim,torch.index_select.yaml,1,int+range,
387,4,63,['dim'],dim,torch.kthvalue.yaml,1,int+range,
388,4,63,['dim'],dim,torch.var2.yaml,1,int+range,
389,4,63,['dim'],dim,torch.mode.yaml,1,int+range,
390,4,63,['dim'],dim,torch.nn.functional.softmin.yaml,1,int+range,
391,4,63,['dim'],dim,torch.unsqueeze.yaml,1,int+range,
392,4,63,['dim'],dim,torch.chunk.yaml,1,int+range,
393,4,63,['dim'],dim,torch.nn.utils.weight_norm.yaml,1,int+range,
394,4,63,['dim'],dim,torch.std_mean2.yaml,1,int+range,
395,4,63,['dim'],dim,torch.cat.yaml,1,int+range,
