,idx,freq,sequence,sentence,api,len,cat,pat
74,2,200,"['input', 'tensor']",the input tensor.,torch.argmin2.yaml,2,tensor_t,^the (first/second) input/output tensor
75,2,200,"['input', 'tensor']",the input tensor.,torch.acos.yaml,2,tensor_t,^the (first/second) input/output tensor
76,2,200,"['input', 'tensor']","input tensor (minibatch , in _channels , iH , iW)",torch.nn.functional.avg_pool2d.yaml,2,shape,
77,2,200,"['input', 'tensor']",the input tensor.,torch.numel.yaml,2,tensor_t,^the (first/second) input/output tensor
79,2,200,"['input', 'tensor']","the input tensor of size (*, m, m)",torch.lobpcg.yaml,2,shape,
80,2,200,"['input', 'tensor']","the input tensor of size (*, m, m) .",torch.lobpcg.yaml,2,shape,
78,2,200,"['input', 'tensor']",the size of `input` will determine size of the output tensor.,torch.randn_like.yaml,2,not useful,
81,2,200,"['input', 'tensor']","the input tensor of size (*, m, n) where k <= n <= m.",torch.lobpcg.yaml,2,shape,
82,2,200,"['input', 'tensor']","the input tensor of size (*, m, m) .",torch.lobpcg.yaml,2,shape,
85,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iW)",torch.nn.functional.conv1d.yaml,2,shape,
87,2,200,"['input', 'tensor']",the input tensor.,torch.bitwise_not.yaml,2,tensor_t,^the (first/second) input/output tensor
4246,216,8,"['default', 'specified']","Default is ""env://"" if no `init_method` or `store` is specified.",torch.distributed.init_process_group.yaml,2,can't handle,
88,2,200,"['input', 'tensor']",the input tensor of at least `signal_ndim` `+ 1` dimensions,torch.ifft.yaml,2,ndim,
89,2,200,"['input', 'tensor']",the input tensor.,torch.var_mean2.yaml,2,tensor_t,^the (first/second) input/output tensor
86,2,200,"['input', 'tensor']","If specified, the input tensor is casted to `dtype` before the operation is performed.",torch.nn.functional.log_softmax.yaml,2,not useful,
90,2,200,"['input', 'tensor']",the input tensor.,torch.trunc.yaml,2,tensor_t,^the (first/second) input/output tensor
91,2,200,"['input', 'tensor']","input tensor of shape (minibatch , in _channels , iT , iH , iW)",torch.nn.functional.conv3d.yaml,2,shape,
92,2,200,"['input', 'tensor']",the input tensor.,torch.conj.yaml,2,tensor_t,^the (first/second) input/output tensor
93,2,200,"['input', 'tensor']",the input tensor.,torch.repeat_interleave.yaml,2,tensor_t,^the (first/second) input/output tensor
94,2,200,"['input', 'tensor']",the input tensor.,torch.median2.yaml,2,tensor_t,^the (first/second) input/output tensor
95,2,200,"['input', 'tensor']",the input tensor.,torch.histc.yaml,2,tensor_t,^the (first/second) input/output tensor
96,2,200,"['input', 'tensor']","the input tensor of size (*, n, n) where * is zero or more batch dimensions consisting of symmetric matrices.",torch.symeig.yaml,2,shape,
97,2,200,"['input', 'tensor']",the input tensor.,torch.clamp.yaml,2,tensor_t,^the (first/second) input/output tensor
98,2,200,"['input', 'tensor']",the input tensor.,torch.flatten.yaml,2,tensor_t,^the (first/second) input/output tensor
99,2,200,"['input', 'tensor']",the input tensor.,torch.argsort.yaml,2,tensor_t,^the (first/second) input/output tensor
100,2,200,"['input', 'tensor']",the input tensor.,torch.logical_or.yaml,2,tensor_t,^the (first/second) input/output tensor
101,2,200,"['input', 'tensor']","the input tensor of size (*, n, n) where * is zero or more batch dimensions",torch.inverse.yaml,2,shape,
102,2,200,"['input', 'tensor']",the input tensor.,torch.logsumexp.yaml,2,tensor_t,^the (first/second) input/output tensor
103,2,200,"['input', 'tensor']",the input tensor.,torch.mean.yaml,2,tensor_t,^the (first/second) input/output tensor
104,2,200,"['input', 'tensor']",the input tensor.,torch.sort.yaml,2,tensor_t,^the (first/second) input/output tensor
105,2,200,"['input', 'tensor']",the input tensor.,torch.logical_and.yaml,2,tensor_t,^the (first/second) input/output tensor
106,2,200,"['input', 'tensor']",the input tensor.,torch.sin.yaml,2,tensor_t,^the (first/second) input/output tensor
107,2,200,"['input', 'tensor']",the input tensor.,torch.tan.yaml,2,tensor_t,^the (first/second) input/output tensor
108,2,200,"['input', 'tensor']",the input tensor.,torch.argmin.yaml,2,tensor_t,^the (first/second) input/output tensor
109,2,200,"['input', 'tensor']",the input tensor.,torch.max2.yaml,2,tensor_t,^the (first/second) input/output tensor
110,2,200,"['input', 'tensor']","If specified, the input tensor is casted to `dtype` before the operation is performed.",torch.cumprod.yaml,2,dtype,
111,2,200,"['input', 'tensor']",the input tensor.,torch.cumprod.yaml,2,tensor_t,^the (first/second) input/output tensor
112,2,200,"['input', 'tensor']",the input tensor.,torch.diag_embed.yaml,2,tensor_t,^the (first/second) input/output tensor
113,2,200,"['input', 'tensor']",the input tensor.,torch.imag.yaml,2,tensor_t,^the (first/second) input/output tensor
114,2,200,"['input', 'tensor']",the input tensor.,torch.atan.yaml,2,tensor_t,^the (first/second) input/output tensor
115,2,200,"['input', 'tensor']",the input tensor.,torch.cosh.yaml,2,tensor_t,^the (first/second) input/output tensor
116,2,200,"['input', 'tensor']",the input tensor.,torch.asin.yaml,2,tensor_t,^the (first/second) input/output tensor
117,2,200,"['input', 'tensor']",the input tensor.,torch.argmax2.yaml,2,tensor_t,^the (first/second) input/output tensor
118,2,200,"['input', 'tensor']",the input tensor,torch.stft.yaml,2,tensor_t,^the (first/second) input/output tensor
119,2,200,"['input', 'tensor']",the input tensor.,torch.square.yaml,2,tensor_t,^the (first/second) input/output tensor
120,2,200,"['input', 'tensor']",the input tensor.,torch.median.yaml,2,tensor_t,^the (first/second) input/output tensor
121,2,200,"['input', 'tensor']","the input tensor of size `(*, n, n)` where `*` is zero or more batch dimensions.",torch.slogdet.yaml,2,shape,
122,2,200,"['input', 'tensor']","quantized input tensor of shape (minibatch , in _channels , iH , iW)",torch.nn.quantized.functional.conv2d.yaml,2,shape,
123,2,200,"['input', 'tensor']",the input tensor.,torch.log2.yaml,2,tensor_t,^the (first/second) input/output tensor
124,2,200,"['input', 'tensor']",the input tensor.,torch.logical_xor.yaml,2,tensor_t,^the (first/second) input/output tensor
126,2,200,"['input', 'tensor']",the input tensor.,torch.prod.yaml,2,tensor_t,^the (first/second) input/output tensor
127,2,200,"['input', 'tensor']",the input tensor.,torch.argmax.yaml,2,tensor_t,^the (first/second) input/output tensor
128,2,200,"['input', 'tensor']",the input tensor.,torch.floor.yaml,2,tensor_t,^the (first/second) input/output tensor
125,2,200,"['input', 'tensor']","the desired data type of returned tensor.If specified, the input tensor is casted to `dtype` before the operationis performed.",torch.prod.yaml,2,not useful,
132,2,200,"['input', 'tensor']",the input tensor,torch.norm.yaml,2,tensor_t,^the (first/second) input/output tensor
133,2,200,"['input', 'tensor']",the input tensor,torch.unique.yaml,2,tensor_t,^the (first/second) input/output tensor
134,2,200,"['input', 'tensor']",the input tensor.,torch.index_select.yaml,2,tensor_t,^the (first/second) input/output tensor
135,2,200,"['input', 'tensor']",the input tensor.,torch.kthvalue.yaml,2,tensor_t,^the (first/second) input/output tensor
136,2,200,"['input', 'tensor']",the first input tensor,torch.atan2.yaml,2,tensor_t,^the (first/second) input/output tensor
131,2,200,"['input', 'tensor']","If specified, the input tensor is casted to :attr:'dtype' while performing the operation.",torch.norm.yaml,2,not useful,
137,2,200,"['input', 'tensor']",the second input tensor,torch.atan2.yaml,2,tensor_t,^the (first/second) input/output tensor
138,2,200,"['input', 'tensor']",the input tensor.,torch.flip.yaml,2,tensor_t,^the (first/second) input/output tensor
139,2,200,"['input', 'tensor']","the input tensor of size (*, m, n) where * is zero or more batch dimensions consisting of matrices of dimension m times n .",torch.qr.yaml,2,shape,
140,2,200,"['input', 'tensor']",the input tensor.,torch.var2.yaml,2,tensor_t,^the (first/second) input/output tensor
141,2,200,"['input', 'tensor']",the input tensor.,torch.logical_not.yaml,2,tensor_t,^the (first/second) input/output tensor
143,2,200,"['input', 'tensor']","the input 2-D tensor u , a upper or lower triangular Cholesky factor",torch.cholesky_inverse.yaml,2,ndim,
144,2,200,"['input', 'tensor']",the input tensor.,torch.min.yaml,2,tensor_t,^the (first/second) input/output tensor
145,2,200,"['input', 'tensor']",the input tensor.,torch.expm1.yaml,2,tensor_t,^the (first/second) input/output tensor
146,2,200,"['input', 'tensor']",the input tensor.,torch.mode.yaml,2,tensor_t,^the (first/second) input/output tensor
147,2,200,"['input', 'tensor']",the input tensor.,torch.log.yaml,2,tensor_t,^the (first/second) input/output tensor
3836,170,9,"['true', 'computed']","`True` to compute both eigenvalues and eigenvectors; otherwise, only eigenvalues will be computed",torch.eig.yaml,2,not useful,
148,2,200,"['input', 'tensor']",the input tensor.,torch.abs.yaml,2,tensor_t,^the (first/second) input/output tensor
149,2,200,"['input', 'tensor']",the input tensor.,torch.tril.yaml,2,tensor_t,^the (first/second) input/output tensor
150,2,200,"['input', 'tensor']","optional, weight for each value in the input tensor.",torch.bincount.yaml,2,dtype,
151,2,200,"['input', 'tensor']",Should be of same size as input tensor.,torch.bincount.yaml,2,dependency(shape),
152,2,200,"['input', 'tensor']",the input tensor.,torch.triu.yaml,2,tensor_t,^the (first/second) input/output tensor
153,2,200,"['input', 'tensor']","If set to `True`, the input and output tensors are aligned by the center points of their corner pixels, preserving the values at the corner pixels.",torch.nn.quantized.functional.interpolate.yaml,2,dtype(bool),
154,2,200,"['input', 'tensor']","If set to `False`, the input and output tensors are aligned by the corner points of their corner pixels, and the interpolation uses edge value padding for out-of-boundary values, making this operation independent of input size when `scale_factor` is kept the same.",torch.nn.quantized.functional.interpolate.yaml,2,dtype(bool),
155,2,200,"['input', 'tensor']",the input tensor,torch.nn.quantized.functional.interpolate.yaml,2,tensor_t,^the (first/second) input/output tensor
157,2,200,"['input', 'tensor']",the input tensor.,torch.unsqueeze.yaml,2,tensor_t,^the (first/second) input/output tensor
158,2,200,"['input', 'tensor']","If set to -1, the number of classes will be inferred as one greater than the largest class value in the input tensor.",torch.nn.functional.one_hot.yaml,2,"range (-1,inf)",
159,2,200,"['input', 'tensor']",an input tensor or number,torch.result_type.yaml,2,dtype,
160,2,200,"['input', 'tensor']",an input tensor or number,torch.result_type.yaml,2,dtype ,
161,2,200,"['input', 'tensor']",the input tensor.,torch.log10.yaml,2,tensor_t,^the (first/second) input/output tensor
156,2,200,"['input', 'tensor']","If specified, the input tensor is casted to `dtype` before the operation is performed.",torch.nn.functional.softmin.yaml,2,not useful,
162,2,200,"['input', 'tensor']",the first input tensor,torch.bitwise_or.yaml,2,tensor_t,^the (first/second) input/output tensor
163,2,200,"['input', 'tensor']",the second input tensor,torch.bitwise_or.yaml,2,tensor_t,^the (first/second) input/output tensor
164,2,200,"['input', 'tensor']",the input tensor.,torch.std_mean2.yaml,2,tensor_t,^the (first/second) input/output tensor
165,2,200,"['input', 'tensor']",the input tensor.,torch.sqrt.yaml,2,tensor_t,^the (first/second) input/output tensor
166,2,200,"['input', 'tensor']",the input tensor.,torch.lgamma.yaml,2,tensor_t,^the (first/second) input/output tensor
167,2,200,"['input', 'tensor']",the input tensor.,torch.sign.yaml,2,tensor_t,^the (first/second) input/output tensor
168,2,200,"['input', 'tensor']",the input tensor,torch.unique_consecutive.yaml,2,tensor_t,^the (first/second) input/output tensor
169,2,200,"['input', 'tensor']",the input tensor.,torch.rot90.yaml,2,tensor_t,^the (first/second) input/output tensor
170,2,200,"['input', 'tensor']",the input tensor.,torch.dist.yaml,2,tensor_t,^the (first/second) input/output tensor
171,2,200,"['input', 'tensor']",the Right-hand-side input tensor,torch.dist.yaml,2,tensor_t,
172,2,200,"['input', 'tensor']",the input tensor.,torch.squeeze.yaml,2,tensor_t,^the (first/second) input/output tensor
174,2,200,"['input', 'tensor']",the input tensor.,torch.cumsum.yaml,2,tensor_t,^the (first/second) input/output tensor
177,2,200,"['input', 'tensor']",the input tensor.,torch.tanh.yaml,2,tensor_t,^the (first/second) input/output tensor
178,2,200,"['input', 'tensor']",the input tensor.,torch.t.yaml,2,tensor_t,^the (first/second) input/output tensor
180,2,200,"['input', 'tensor']","the input tensor of size (*, m, n) where * is zero or more batch dimensions consisting of m times n matrices.",torch.svd.yaml,2,shape,
181,2,200,"['input', 'tensor']",the input tensor.,torch.transpose.yaml,2,tensor_t,^the (first/second) input/output tensor
173,2,200,"['input', 'tensor']","If specified, the input tensor is casted to `dtype` before the operation is performed.",torch.cumsum.yaml,2,not useful,
182,2,200,"['input', 'tensor']","the input tensor of size `(*, n, n)` where `*` is zero or more batch dimensions.",torch.logdet.yaml,2,shape,
175,2,200,"['input', 'tensor']",Input and output GPU tensors of the collective.,torch.distributed.reduce_multigpu.yaml,2,not useful,
176,2,200,"['input', 'tensor']","If specified, the input tensor is casted to `dtype` before the operation is performed.",torch.nn.functional.softmax.yaml,2,not useful,
183,2,200,"['input', 'tensor']",the input 2-D tensor,torch.matrix_rank.yaml,2,tensor_t,^the (first/second) input/output tensor
184,2,200,"['input', 'tensor']","If `True`, gradient w.r.t. `input` will be a sparse tensor.",torch.gather.yaml,2,dtype(bool),if `true/false`
179,2,200,"['input', 'tensor']",a manual rescaling weight if provided it's repeated to match input tensor shape,torch.nn.functional.binary_cross_entropy_with_logits.yaml,2,not useful,
186,2,200,"['input', 'tensor']",the input tensor.,torch.roll.yaml,2,tensor_t,^the (first/second) input/output tensor
187,2,200,"['input', 'tensor']","If set to `True`, the input and output tensors are aligned by the center points of their corner pixels, preserving the values at the corner pixels.",torch.nn.functional.interpolate.yaml,2,dtype(bool),
188,2,200,"['input', 'tensor']","If set to `False`, the input and output tensors are aligned by the corner points of their corner pixels, and the interpolation uses edge value padding for out-of-boundary values, making this operation independent of input size when `scale_factor` is kept the same.",torch.nn.functional.interpolate.yaml,2,dtype(bool),
189,2,200,"['input', 'tensor']",the input tensor,torch.nn.functional.interpolate.yaml,2,tensor_t,^the (first/second) input/output tensor
190,2,200,"['input', 'tensor']",the input tensor.,torch.std.yaml,2,tensor_t,^the (first/second) input/output tensor
185,2,200,"['input', 'tensor']",the size of `input` will determine size of the output tensor.,torch.rand_like.yaml,2,not useful,
191,2,200,"['input', 'tensor']",the input tensor.,torch.diagonal.yaml,2,tensor_t,^the (first/second) input/output tensor
192,2,200,"['input', 'tensor']",the input tensor.,torch.diagflat.yaml,2,tensor_t,^the (first/second) input/output tensor
193,2,200,"['input', 'tensor']",the input tensor.,torch.renorm.yaml,2,tensor_t,^the (first/second) input/output tensor
194,2,200,"['input', 'tensor']",the input tensor.,torch.rsqrt.yaml,2,tensor_t,^the (first/second) input/output tensor
195,2,200,"['input', 'tensor']",the input tensor of at least `signal_ndim` dimensions,torch.rfft.yaml,2,ndim,
196,2,200,"['input', 'tensor']",the input tensor.,torch.max.yaml,2,tensor_t,^the (first/second) input/output tensor
197,2,200,"['input', 'tensor']","quantized input tensor of shape (minibatch , in _channels , iD , iH , iW)",torch.nn.quantized.functional.conv3d.yaml,2,shape,
198,2,200,"['input', 'tensor']","the input tensor of size (*, m, n)",torch.pca_lowrank.yaml,2,shape,
199,2,200,"['input', 'tensor']","if True, center the input tensor, otherwise, assume that the input is centered.",torch.pca_lowrank.yaml,2,bool,
84,2,200,"['input', 'tensor']",a manual rescaling weight if provided it's repeated to match input tensor shape,torch.nn.functional.binary_cross_entropy.yaml,2,numeric,
36,2,200,"['input', 'tensor']",input tensor of shape N times M .,torch.nn.functional.pdist.yaml,2,shape,
41,2,200,"['input', 'tensor']",input tensor of any shape,torch.nn.functional.normalize.yaml,2,tensor_t,
142,2,200,"['input', 'tensor']",the input tensor containing probabilities,torch.multinomial.yaml,2,tensor_t,
200,3,163,"['output', 'tensor']",whether the output tensor has `dim` retained or not.,torch.std2.yaml,2,dtype(bool),
201,3,163,"['output', 'tensor']",the output tensor.,torch.std2.yaml,2,tensor_t,^the (first/second) input/output tensor
202,3,163,"['output', 'tensor']",the output tensor.,torch.bitwise_xor.yaml,2,tensor_t,^the (first/second) input/output tensor
203,3,163,"['output', 'tensor']",the output tensor.,torch.real.yaml,2,tensor_t,^the (first/second) input/output tensor
204,3,163,"['output', 'tensor']",the output tensor.,torch.addcdiv.yaml,2,tensor_t,^the (first/second) input/output tensor
205,3,163,"['output', 'tensor']",the output tensor.,torch.log1p.yaml,2,tensor_t,^the (first/second) input/output tensor
206,3,163,"['output', 'tensor']",whether the output tensor has `dim` retained or not.,torch.prod2.yaml,2,dtype(bool),
207,3,163,"['output', 'tensor']",the output tensor.,torch.bernoulli.yaml,2,tensor_t,^the (first/second) input/output tensor
208,3,163,"['output', 'tensor']",the shape of the output tensor,torch.empty_strided.yaml,2,dtype(torch.Size)+ndim(1),
210,3,163,"['output', 'tensor']",the output tensor.,torch.pow.yaml,2,tensor_t,^the (first/second) input/output tensor
209,3,163,"['output', 'tensor']",the strides of the output tensor,torch.empty_strided.yaml,2,not useful,
211,3,163,"['output', 'tensor']",the output tensor.,torch.exp.yaml,2,tensor_t,^the (first/second) input/output tensor
213,3,163,"['output', 'tensor']",whether the output tensor has `dim` retained or not.,torch.mean2.yaml,2,dtype(bool),
2460,65,20,"['n', 'n']","The dimensions of Q and R are (*, m, k) and (*, k, n) respectively, where k = min(m, n) if `some:` is `True` and k = m otherwise.",torch.qr.yaml,2,can't handle,
214,3,163,"['output', 'tensor']",the output tensor.,torch.mean2.yaml,2,tensor_t,^the (first/second) input/output tensor
215,3,163,"['output', 'tensor']",the output tensor.,torch.arange.yaml,2,tensor_t,^the (first/second) input/output tensor
216,3,163,"['output', 'tensor']",the output tensor.,torch.ceil.yaml,2,tensor_t,^the (first/second) input/output tensor
217,3,163,"['output', 'tensor']",whether the output tensor has `dim` retained or not.,torch.sum2.yaml,2,dtype(bool),
218,3,163,"['output', 'tensor']",the output tensor.,torch.min22.yaml,2,tensor_t,^the (first/second) input/output tensor
219,3,163,"['output', 'tensor']",the output tensor.,torch.lerp.yaml,2,tensor_t,^the (first/second) input/output tensor
220,3,163,"['output', 'tensor']",the shape of the output tensor,torch.as_strided.yaml,2,dtype(torch.Size)+ndim(1),
223,3,163,"['output', 'tensor']",the output tensor.,torch.max22.yaml,2,tensor_t,^the (first/second) input/output tensor
4507,249,7,"['true', 'compute']","`True` to compute both eigenvalues and eigenvectors; otherwise, only eigenvalues will be computed",torch.eig.yaml,2,not useful,
222,3,163,"['output', 'tensor']",the stride of the output tensor,torch.as_strided.yaml,2,not useful,
225,3,163,"['output', 'tensor']",the output tensor containing indices,torch.nonzero.yaml,2,tensor_t,
224,3,163,"['output', 'tensor']",the size of `input` will determine size of the output tensor.,torch.ones_like.yaml,2,not useful,
226,3,163,"['output', 'tensor']",the output tensor.,torch.sinh.yaml,2,tensor_t,^the (first/second) input/output tensor
227,3,163,"['output', 'tensor']",the output tensors,torch.eig.yaml,2,tensor_t,^the (first/second) input/output tensor
229,3,163,"['output', 'tensor']",the output tensor.,torch.erf.yaml,2,tensor_t,^the (first/second) input/output tensor
228,3,163,"['output', 'tensor']",This argument is optional when `func`'s output contains a single element and (if it is not provided) will be set as a Tensor containing a single `1`.,torch.autograd.functional.vjp.yaml,2,not useful,
230,3,163,"['output', 'tensor']",the output tensor.,torch.neg.yaml,2,tensor_t,^the (first/second) input/output tensor
231,3,163,"['output', 'tensor']",the output tensor.,torch.baddbmm.yaml,2,tensor_t,^the (first/second) input/output tensor
