,freq,sequence,len
87,4,"['SOME_STRUCTURE', 'numpy', 'SOME_STRUCTURE']",3
88,4,"['none', 'ncdhw', 'nchw', 'ncw', 'ndhwc', 'nhwc', 'nwc']",7
89,4,"['channel', 'instance']",2
90,4,"['auto', 'SOME_DTYPE', 'uint']",3
91,4,['affine'],1
92,4,['mx'],1
93,4,"['relu', 'sigmoid', 'softrelu', 'softsign', 'tanh']",5
94,4,['bilinear'],1
95,4,['training'],1
96,4,['indices'],1
97,4,"['avg', 'lp', 'max', 'sum']",4
98,4,"['full', 'valid']",2
99,4,['concat'],1
100,4,['leaky'],1
101,3,"['default', 'center']",2
102,3,"['SOME_STRUCTURE', 'SOME_DTYPE', 'np', 'SOME_STRUCTURE']",4
103,3,"['np', 'SOME_DTYPE']",2
104,3,"['mx', 'nd', 'array']",3
105,3,['like'],1
106,3,['class'],1
107,2,"['SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'SOME_DTYPE', 'uint']",8
108,2,"['SOME_DTYPE', 'object']",2
109,2,"['default', 'area', 'based']",3
110,2,"['default', 'train', 'idx', 'ubyte']",4
111,2,"['default', 'size']",2
112,2,"['default', 'training']",2
113,2,"['default', 'indices']",2
114,2,"['default', 'uint']",2
115,2,"['default', 'concat']",2
116,2,"['default', 'leaky']",2
117,2,"['SOME_STRUCTURE', 'SOME_DTYPE', 'numpy', 'SOME_STRUCTURE']",4
118,2,"['SOME_STRUCTURE', 'context']",2
119,2,"['SOME_STRUCTURE', 'SOME_STRUCTURE', 'SOME_DTYPE']",3
120,2,"['SOME_STRUCTURE', 'strs']",2
121,2,"['SOME_STRUCTURE', 'long']",2
122,2,"['channel', 'instance', 'spatial']",3
123,2,"['numpy', 'compatible', 'function', 'wrapped', 'better', 'error', 'handling']",7
124,2,"['affine', 'warp']",2
125,2,['data'],1
126,2,['force'],1
127,2,"['clip', 'raise', 'wrap']",3
128,2,['irheader'],1
129,2,"['like', 'odd_scale', 'size', 'to_even_down', 'to_even_up', 'to_odd_down', 'to_odd_up']",7
130,2,['dataiter'],1
131,2,"['constant', 'edge', 'reflect']",3
132,2,"['bilinear', 'nearest']",2
133,2,['gluon'],1
134,2,"['always', 'training']",2
135,2,"['indices', 'mask', 'value']",3
136,2,"['file', 'path']",2
137,2,['source'],1
138,2,"['gru', 'lstm', 'rnn_relu', 'rnn_tanh']",4
139,2,"['concat', 'sum']",2
140,2,"['user', 'provided', 'SOME_DTYPE', 'function']",4
141,2,"['class', 'scoped', 'numpy', 'semantics']",4
142,2,"['elu', 'gelu', 'leaky', 'prelu', 'rrelu', 'selu']",6
143,2,"['scipy', 'ssparse']",2
