API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
torch.nn.Conv1d,kernel_size,DD: int or tuple,D_TYPE or D_STRUCTURE,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,"[0,inf)",
torch.cuda.manual_seed,seed,DD: int,D_TYPE,D_TYPE,,,,,,
torch.nn.TripletMarginLoss,reduce,"DD: bool, optional",D_TYPE optional,,,,,,,
torch.rand_like,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.hub.load_state_dict_from_url,progress,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.as_strided,storage_offset,"DD: int, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.hamming_window,periodic,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.histc,min,DD: int,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.abs,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.nn.utils.weight_norm,name,"DD: str, optional",D_TYPE optional,D_TYPE,,,,,,
torch.autograd.functional.vjp,create_graph,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.ones,device,"DD: `torch.device`, optional",torch device optional,,,,,,,
torch.remainder,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.square,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.sum,keepdim,DD: bool,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.logsumexp,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.einsum,*operands,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.norm,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.addcdiv,value,"DD: Number, optional",Number optional,D_TYPE,,,,CONSTANT_VAL,,
torch.normal,size,DD: int...,D_TYPE,D_TYPE,,D_STRUCTURE,,,"[0,inf)",
torch.tensordot,a,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.nn.utils.prune.global_unstructured,pruning_method,DD: function,function,,,,,,,
torch.neg,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.div,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.ifft,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,CONSTANT_VAL,,
torch.argsort,descending,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.sparse_coo_tensor,requires_grad,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.log1p,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.autograd.functional.vhp,strict,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.tensordot,b,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.rand_like,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.kthvalue,keepdim,DD: bool,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.can_cast,to,DD: dpython:type,dpython type,,,,,,,
torch.repeat_interleave,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.nn.functional.interpolate,align_corners,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.min,keepdim,DD: bool,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.NLLLoss,reduction,"DD: string, optional",D_TYPE optional,D_TYPE,,,,,,QSTR
torch.distributed.broadcast,src,DD: int,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.linspace,layout,"DD: `torch.layout`, optional",torch layout optional,,,,,,,
torch.unsqueeze,dim,DD: int,D_TYPE,D_TYPE,,,,,,
torch.clamp,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.empty_like,layout,"DD: `torch.layout`, optional",torch layout optional,,,,,,,
torch.narrow,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.autograd.functional.hessian,strict,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.functional.gumbel_softmax,dim,DD: int,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.quantize_per_channel,axis,DD: int,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.eye,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,,
torch.eq,other,DD: Tensor or float,D_STRUCTURE or D_TYPE,D_TYPE,D_STRUCTURE,,,,,
torch.nn.functional.embedding,norm_type,"DD: float, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.logical_not,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.chunk,chunks,DD: int,D_TYPE,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
torch.cuda.stream,stream,DD: Stream,Stream,,,,,,,
torch.nn.Unfold,stride,"DD: int or tuple, optional",D_TYPE or D_STRUCTURE optional,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,,
torch.nn.functional.binary_cross_entropy_with_logits,weight,"DD: Tensor, optional",D_STRUCTURE optional,D_TYPE,D_STRUCTURE,,,,,
torch.nn.functional.binary_cross_entropy_with_logits,pos_weight,"DD: Tensor, optional",D_STRUCTURE optional,D_TYPE,D_STRUCTURE,,,,,
torch.nonzero,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.logical_and,other,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.cdist,x1,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,BSTR,CONSTANT_VAL,,
torch.distributed.reduce,group,"DD: ProcessGroup, optional",ProcessGroup optional,,,,,,,
torch.sin,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.nn.CosineSimilarity,dim,"DD: int, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.le,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.rfft,signal_ndim,DD: int,D_TYPE,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",QSTR
torch.autograd.functional.hvp,strict,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.distributed.all_gather,tensor,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.autograd.gradgradcheck,grad_outputs,"DD: tuple of Tensor or Tensor, optional",D_STRUCTURE of D_STRUCTURE optional,,D_STRUCTURE,D_STRUCTURE,,,,
torch.cat,tensors,DD: sequence of Tensors,D_STRUCTURE of D_STRUCTURE,,D_STRUCTURE,D_STRUCTURE,,,,
torch.autograd.gradcheck,rtol,"DD: float, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.logspace,start,DD: float,D_TYPE,D_TYPE,,,,,,
torch.nn.L1Loss,size_average,"DD: bool, optional",D_TYPE optional,,,,,,,
torch.nn.utils.clip_grad_norm_,max_norm,DD: float or int,D_TYPE,D_TYPE,,,,,,
torch.logical_or,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.addcmul,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,,,,
torch.sparse.addmm,mat,DD: Tensor,D_STRUCTURE,D_TYPE,D_STRUCTURE,,,,,
torch.bartlett_window,dtype,"DD: `torch.dtype`, optional",D_TYPE optional,D_TYPE,,,,,,
torch.pinverse,input,DD: Tensor,D_STRUCTURE,,D_STRUCTURE,,BSTR,CONSTANT_VAL,,
torch.nn.ConvTranspose3d,bias,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.log,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.onnx.export,verbose,"DD: bool, default False",D_TYPE default CONSTANT_BOOL,D_TYPE,,,,CONSTANT_VAL,,
torch.autograd.grad,outputs,DD: sequence of Tensor,D_STRUCTURE of D_STRUCTURE,,D_STRUCTURE,D_STRUCTURE,,,,
torch.sparse_coo_tensor,values,DD: array_like,D_STRUCTURE,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,,
torch.nn.functional.affine_grid,theta,DD: Tensor,D_STRUCTURE,D_TYPE,D_STRUCTURE,,BSTR,CONSTANT_VAL,,
torch.autograd.functional.hessian,create_graph,"DD: bool, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
torch.autograd.gradcheck,inputs,DD: tuple of Tensor or Tensor,D_STRUCTURE of D_STRUCTURE,,D_STRUCTURE,D_STRUCTURE,,,,
