,API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
16,mxnet.metric.np,allow_extra_outputs,"Whether prediction output is allowed to have extra outputs. This is useful in cases like RNN where states are also part of output which can then be fed back to the RNN in the next step. By default, extra outputs are not allowed.",This is useful in cases like RNN where states are also part of output which can then be fed back to the RNN in the next step,,,,,,,
17,mxnet.metric.np,allow_extra_outputs,"Whether prediction output is allowed to have extra outputs. This is useful in cases like RNN where states are also part of output which can then be fed back to the RNN in the next step. By default, extra outputs are not allowed.",Whether prediction output is allowed to have extra outputs,bool,,,,0,,
18,mxnet.gluon.nn.LeakyReLU,alpha,slope coefficient for the negative half axis. Must be >= 0.,Must be REXPR,,,,,,REXPR,
19,mxnet.gluon.nn.LeakyReLU,alpha,slope coefficient for the negative half axis. Must be >= 0.,slope coefficient for the negative half axis,numeric,,,,,,
20,mxnet.ndarray.op.random_generalized_negative_binomial,alpha,Alpha (dispersion) parameter of the negative binomial distribution.,alpha BSTR parameter of the negative binomial distribution,,,,,,,
21,mxnet.ndarray.random_pdf_gamma,alpha,Alpha (shape) parameters of the distributions.,alpha BSTR parameters of the distributions,,,,,,,
22,mxnet.ndarray.random.gamma,alpha,The shape of the gamma distribution. Should be greater than zero.,Should be greater than zero,,,,,,"[0,inf)",
23,mxnet.ndarray.random.gamma,alpha,The shape of the gamma distribution. Should be greater than zero.,The PARAM of the gamma distribution,int,,,,1,"[0,inf)",
24,mxnet.gluon.nn.PReLU,alpha_initializer,Initializer for the embeddings matrix.,Initializer for the embeddings matrix,,,,,,,
25,mxnet.contrib.quantization.quantize_graph,arg_params,Dictionary of name to NDArray.,D_STRUCTURE of name to D_STRUCTURE,string,,D_STRUCTURE,,,,
26,mxnet.model.save_checkpoint,arg_params,"Model parameter, dict of name to NDArray of net's weights.",Model parameter D_STRUCTURE of name to D_STRUCTURE of net weights,string,,D_STRUCTURE,,,,
27,mxnet.contrib.autograd.grad,argnum,The index of argument to calculate gradient for.,The index of argument to calculate gradient for,int,,,,0,,
28,mxnet.io.ImageDetRecordIter,aug_seq,"Augmentation Param: the augmenter names to represent sequence of augmenters to be applied, seperated by comma. Additional keyword parameters will be seen by these augmenters. Make sure you don't use normal augmenters for detection tasks.",Additional keyword parameters will be seen by these augmenters,,,,,,,
29,mxnet.io.ImageDetRecordIter,aug_seq,"Augmentation Param: the augmenter names to represent sequence of augmenters to be applied, seperated by comma. Additional keyword parameters will be seen by these augmenters. Make sure you don't use normal augmenters for detection tasks.",Augmentation Param the augmenter names to represent D_STRUCTURE of augmenters to be applied seperated by comma,string,,,,0,,
30,mxnet.io.ImageDetRecordIter,aug_seq,"Augmentation Param: the augmenter names to represent sequence of augmenters to be applied, seperated by comma. Additional keyword parameters will be seen by these augmenters. Make sure you don't use normal augmenters for detection tasks.",Make sure you don t use normal augmenters for detection tasks,,,,,,,
31,mxnet.contrib.quantization.quantize_graph,aux_params,Dictionary of name to NDArray.,D_STRUCTURE of name to D_STRUCTURE,string,,D_STRUCTURE,,,,
32,mxnet.test_utils.check_symbolic_forward,aux_states,if type is list of np.ndarrayContains all the NumPy arrays corresponding to sym.list_auxiliary_states,if type is D_STRUCTURE of np ndarrayContains all the NumPy D_STRUCTURE corresponding to PARAM list_auxiliary_states,,,D_STRUCTURE,,,,
33,mxnet.test_utils.numeric_grad,aux_states,Auxiliary states values used as location to compute gradient Maps the name of aux_states to the corresponding numpy.ndarray. Value of all the auxiliary arguments must be provided.,Auxiliary states values used as PARAM to compute gradient Maps the name of aux_states to the corresponding numpy D_STRUCTURE,,,,,,,
34,mxnet.test_utils.numeric_grad,aux_states,Auxiliary states values used as location to compute gradient Maps the name of aux_states to the corresponding numpy.ndarray. Value of all the auxiliary arguments must be provided.,Value of all the auxiliary arguments must be provided,,,,,,,
35,mxnet.gluon.nn.Dropout,axes,"The axes on which dropout mask is shared. If empty, regular dropout is applied.",If empty regular dropout is applied,,,,,,,
36,mxnet.gluon.nn.Dropout,axes,"The axes on which dropout mask is shared. If empty, regular dropout is applied.",The axes on which dropout mask is shared,int,,,,1,,
37,mxnet.ndarray.transpose,axes,Target axis order. By default the axes will be inverted.,By default the axes will be inverted,,,,,,,
38,mxnet.ndarray.transpose,axes,Target axis order. By default the axes will be inverted.,Target axis order,int,,,,1,,
39,mxnet.ndarray.op.cumsum,axis,Axis along which the cumulative sum is computed. The default (None) is to compute the cumsum over the flattened array.,The default BSTR is to compute the cumsum over the flattened D_STRUCTURE,,,,,,,
40,mxnet.ndarray.op.cumsum,axis,Axis along which the cumulative sum is computed. The default (None) is to compute the cumsum over the flattened array.,axis along which the cumulative sum is computed,int,,,,1,,
41,mxnet.ndarray.op.max,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",If PARAM is CONSTANT_BOOL reduction will be performed on the axes that are NOT in axis instead,,,,,,,
42,mxnet.ndarray.op.max,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",If axis is a D_STRUCTURE of D_TYPE a reduction is performed on all the axes specified in the D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,,
43,mxnet.ndarray.op.max,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",If axis is D_TYPE a reduction is performed on a particular axis,D_TYPE,,,,0,,
44,mxnet.ndarray.op.max,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",Negative values means indexing from right to left,,,,,,,
45,mxnet.ndarray.op.max,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",The default axis BSTR,,,,,,,
46,mxnet.ndarray.op.max,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",The axis or axes along which to perform the reduction,int,,,,0;1,,
47,mxnet.ndarray.op.nanprod,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",If PARAM is CONSTANT_BOOL reduction will be performed on the axes that are NOT in axis instead,,,,,,,
48,mxnet.ndarray.op.nanprod,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",If axis is a D_STRUCTURE of D_TYPE a reduction is performed on all the axes specified in the D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,,
49,mxnet.ndarray.op.nanprod,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",If axis is D_TYPE a reduction is performed on a particular axis,D_TYPE,,,,0,,
50,mxnet.ndarray.op.nanprod,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",Negative values means indexing from right to left,,,,,,,
51,mxnet.ndarray.op.nanprod,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",The default axis BSTR,,,,,,,
52,mxnet.ndarray.op.nanprod,axis,"The axis or axes along which to perform the reduction.  The default, axis=(), will compute over all elements into a scalar array with shape (1,). If axis is int, a reduction is performed on a particular axis. If axis is a tuple of ints, a reduction is performed on all the axes specified in the tuple. If exclude is true, reduction will be performed on the axes that are NOT in axis instead. Negative values means indexing from right to left.  ",The axis or axes along which to perform the reduction,int,,,,0;1,,
53,mxnet.ndarray.SequenceLast,axis,The sequence axis. Only values of 0 and 1 are currently supported.,Only values of CONSTANT_NUM are currently supported,,,,,,,CONSTANT_NUM
54,mxnet.ndarray.SequenceLast,axis,The sequence axis. Only values of 0 and 1 are currently supported.,The D_STRUCTURE axis,int,,,,0,,
55,mxnet.ndarray.diag,axis2,The second axis of the sub-arrays of interest. Ignored when the input is a 1-D array.,Ignored when the input is a CONSTANT_NUM D D_STRUCTURE,,,,,,,
56,mxnet.ndarray.diag,axis2,The second axis of the sub-arrays of interest. Ignored when the input is a 1-D array.,The second axis of the sub D_STRUCTURE of interest,int,,,,0,,
57,mxnet.ndarray.op.diag,axis2,The second axis of the sub-arrays of interest. Ignored when the input is a 1-D array.,Ignored when the input is a CONSTANT_NUM D D_STRUCTURE,,,,,,,
58,mxnet.ndarray.op.diag,axis2,The second axis of the sub-arrays of interest. Ignored when the input is a 1-D array.,The second axis of the sub D_STRUCTURE of interest,int,,,,0,,
59,mxnet.ndarray.linalg_trsm,B,Tensor of matrices,D_STRUCTURE of matrices,,D_STRUCTURE,,,,,
60,mxnet.ndarray.contrib.box_nms,background_id,"Optional, id of the background class which will be ignored in nms.",Optional id of the background class which will be ignored in nms,int,,,,0,"[0,inf)",
61,mxnet.gluon.contrib.rnn.VariationalDropoutCell,base_cell,The cell on which to perform variational dropout.,The cell on which to perform variational dropout,,,,,,,
62,mxnet.io.ImageDetRecordIter,batch_size,Batch size.,Batch size,numeric,,,,,,
63,mxnet.io.MNISTIter,batch_size,Batch Param: Batch Size.,Batch Param Batch Size,numeric,,,,,,
64,mxnet.contrib.ndarray.quantized_batch_norm,beta,beta.,beta,,,,,,,
65,mxnet.ndarray.BatchNorm,beta,beta array,beta D_STRUCTURE,,,D_STRUCTURE,,,,
66,mxnet.ndarray.contrib.hawkesll,beta,"Shape (K,) The decay parameter for each process",Shape BSTR The decay parameter for each process,,,,BSTR,,,
67,mxnet.ndarray.ftrl_update,beta,Per-Coordinate Learning Rate beta.,Per Coordinate Learning Rate beta,float,,,,,"[0,1]",
68,mxnet.ndarray.LayerNorm,beta,beta array,beta D_STRUCTURE,,,D_STRUCTURE,,,,
69,mxnet.ndarray.contrib.quantized_conv,bias,bias.,bias,,,,,,,
70,mxnet.ndarray.FullyConnected,bias,Bias parameter.,bias parameter,,,,,,,
71,mxnet.ndarray.op.Deconvolution,bias,Bias added to the result after the deconvolution operation.,bias added to the result after the deconvolution operation,,,,,,,
72,mxnet.gluon.nn.Dense,bias_initializer,Initializer for the bias vector.,Initializer for the bias vector,,,,,,,
73,mxnet.ndarray.ctc_loss,blank_label,"Set the label that is reserved for blank label.If ""first"", 0-th label is reserved, and label values for tokens in the vocabulary are between `1` and `alphabet_size-1`, and the padding mask is `-1`. If ""last"", last label value `alphabet_size-1` is reserved for blank label instead, and label values for tokens in the vocabulary are between `0` and `alphabet_size-2`, and the padding mask is `0`.",If QSTR last PARAM value QSTR is reserved for blank PARAM instead and PARAM values for tokens in the vocabulary are between CONSTANT_NUM and QSTR and the padding mask is CONSTANT_NUM,,,,,,,QSTR
74,mxnet.ndarray.ctc_loss,blank_label,"Set the label that is reserved for blank label.If ""first"", 0-th label is reserved, and label values for tokens in the vocabulary are between `1` and `alphabet_size-1`, and the padding mask is `-1`. If ""last"", last label value `alphabet_size-1` is reserved for blank label instead, and label values for tokens in the vocabulary are between `0` and `alphabet_size-2`, and the padding mask is `0`.",Set the PARAM that is reserved for blank PARAM If QSTR CONSTANT_NUM th PARAM is reserved and PARAM values for tokens in the vocabulary are between CONSTANT_NUM and QSTR and the padding mask is CONSTANT_NUM,,,,,,,QSTR
75,mxnet.ndarray.CTCLoss,blank_label,"Set the label that is reserved for blank label.If ""first"", 0-th label is reserved, and label values for tokens in the vocabulary are between `1` and `alphabet_size-1`, and the padding mask is `-1`. If ""last"", last label value `alphabet_size-1` is reserved for blank label instead, and label values for tokens in the vocabulary are between `0` and `alphabet_size-2`, and the padding mask is `0`.",If QSTR last PARAM value QSTR is reserved for blank PARAM instead and PARAM values for tokens in the vocabulary are between CONSTANT_NUM and QSTR and the padding mask is CONSTANT_NUM,,,,,,,QSTR
76,mxnet.ndarray.CTCLoss,blank_label,"Set the label that is reserved for blank label.If ""first"", 0-th label is reserved, and label values for tokens in the vocabulary are between `1` and `alphabet_size-1`, and the padding mask is `-1`. If ""last"", last label value `alphabet_size-1` is reserved for blank label instead, and label values for tokens in the vocabulary are between `0` and `alphabet_size-2`, and the padding mask is `0`.",Set the PARAM that is reserved for blank PARAM If QSTR CONSTANT_NUM th PARAM is reserved and PARAM values for tokens in the vocabulary are between CONSTANT_NUM and QSTR and the padding mask is CONSTANT_NUM,,,,,,,QSTR
77,mxnet.ndarray.op.ctc_loss,blank_label,"Set the label that is reserved for blank label.If ""first"", 0-th label is reserved, and label values for tokens in the vocabulary are between `1` and `alphabet_size-1`, and the padding mask is `-1`. If ""last"", last label value `alphabet_size-1` is reserved for blank label instead, and label values for tokens in the vocabulary are between `0` and `alphabet_size-2`, and the padding mask is `0`.",If QSTR last PARAM value QSTR is reserved for blank PARAM instead and PARAM values for tokens in the vocabulary are between CONSTANT_NUM and QSTR and the padding mask is CONSTANT_NUM,,,,,,,QSTR
78,mxnet.ndarray.op.ctc_loss,blank_label,"Set the label that is reserved for blank label.If ""first"", 0-th label is reserved, and label values for tokens in the vocabulary are between `1` and `alphabet_size-1`, and the padding mask is `-1`. If ""last"", last label value `alphabet_size-1` is reserved for blank label instead, and label values for tokens in the vocabulary are between `0` and `alphabet_size-2`, and the padding mask is `0`.",Set the PARAM that is reserved for blank PARAM If QSTR CONSTANT_NUM th PARAM is reserved and PARAM values for tokens in the vocabulary are between CONSTANT_NUM and QSTR and the padding mask is CONSTANT_NUM,,,,,,,QSTR
79,mxnet.image.copyMakeBorder,bot,Bottom margin.,Bottom margin,,,,,,,
80,mxnet.contrib.quantization.quantize_model,calib_mode,"If calib_mode='none', no calibration will be used and the thresholds for requantization after the corresponding layers will be calculated at runtime by calling min and max operators. The quantized models generated in this mode are normally 10-20% slower than those with calibrations during inference. If calib_mode='naive', the min and max values of the layer outputs from a calibration dataset will be directly taken as the thresholds for quantization. If calib_mode='entropy' (default mode), the thresholds for quantization will be derived such that the KL divergence between the distributions of FP32 layer outputs and quantized layer outputs is minimized based upon the calibration dataset.",If calib_mode QSTR BSTR the thresholds for quantization will be derived such that the KL divergence between the distributions of D_TYPE layer outputs and quantized layer outputs is minimized based upon the calibration dataset,,,,,,,QSTR
81,mxnet.contrib.quantization.quantize_model,calib_mode,"If calib_mode='none', no calibration will be used and the thresholds for requantization after the corresponding layers will be calculated at runtime by calling min and max operators. The quantized models generated in this mode are normally 10-20% slower than those with calibrations during inference. If calib_mode='naive', the min and max values of the layer outputs from a calibration dataset will be directly taken as the thresholds for quantization. If calib_mode='entropy' (default mode), the thresholds for quantization will be derived such that the KL divergence between the distributions of FP32 layer outputs and quantized layer outputs is minimized based upon the calibration dataset.",If calib_mode QSTR no calibration will be used and the thresholds for requantization after the corresponding layers will be calculated at runtime by calling min and max operators,,,,,,,QSTR
82,mxnet.contrib.quantization.quantize_model,calib_mode,"If calib_mode='none', no calibration will be used and the thresholds for requantization after the corresponding layers will be calculated at runtime by calling min and max operators. The quantized models generated in this mode are normally 10-20% slower than those with calibrations during inference. If calib_mode='naive', the min and max values of the layer outputs from a calibration dataset will be directly taken as the thresholds for quantization. If calib_mode='entropy' (default mode), the thresholds for quantization will be derived such that the KL divergence between the distributions of FP32 layer outputs and quantized layer outputs is minimized based upon the calibration dataset.",If calib_mode QSTR the min and max values of the layer outputs from a calibration dataset will be directly taken as the thresholds for quantization,,,,,,,QSTR
83,mxnet.contrib.quantization.quantize_model,calib_mode,"If calib_mode='none', no calibration will be used and the thresholds for requantization after the corresponding layers will be calculated at runtime by calling min and max operators. The quantized models generated in this mode are normally 10-20% slower than those with calibrations during inference. If calib_mode='naive', the min and max values of the layer outputs from a calibration dataset will be directly taken as the thresholds for quantization. If calib_mode='entropy' (default mode), the thresholds for quantization will be derived such that the KL divergence between the distributions of FP32 layer outputs and quantized layer outputs is minimized based upon the calibration dataset.",The quantized models generated in this mode are normally CONSTANT_NUM slower than those with calibrations during inference,,,,,,,
84,mxnet.ndarray.multi_sgd_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,,,,,,BSTR,
85,mxnet.ndarray.multi_sgd_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",grad max BSTR,,,,,,,
86,mxnet.ndarray.op.where,condition,condition array,condition D_STRUCTURE,,,D_STRUCTURE,,,,
87,mxnet.profiler.set_config,continuous_dump,whether to periodically dump profiling data to file,whether to periodically dump profiling data to file,bool,,,,0,,
88,mxnet.gluon.nn.AvgPool1D,count_include_pad,"When 'False', will exclude padding elements when computing the average value.",When QSTR will exclude PARAM elements when computing the average value,,,,,,,
89,mxnet.contrib.onnx.import_to_gluon,ctx,Loads the model into one or many context(s).,Loads the model into one or many context BSTR,,,,,,,
90,mxnet.gluon.model_zoo.vision.densenet121,ctx,The context in which to load the pretrained weights.,The context in which to load the PARAM weights,,,,,,,
91,mxnet.gluon.model_zoo.vision.densenet161,ctx,The context in which to load the pretrained weights.,The context in which to load the PARAM weights,,,,,,,
92,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_25,ctx,The context in which to load the pretrained weights.,The context in which to load the PARAM weights,,,,,,,
93,mxnet.gluon.model_zoo.vision.mobilenet_v2_1_0,ctx,The context in which to load the pretrained weights.,The context in which to load the PARAM weights,,,,,,,
94,mxnet.gluon.model_zoo.vision.resnet152_v1,ctx,The context in which to load the pretrained weights.,The context in which to load the PARAM weights,,,,,,,
95,mxnet.gluon.model_zoo.vision.vgg16_bn,ctx,The context in which to load the pretrained weights.,The context in which to load the PARAM weights,,,,,,,
96,mxnet.ndarray.array,ctx,Device context (default is the current default context).,Device context BSTR,,,,,,,
97,mxnet.ndarray.contrib.arange_like,ctx,"Context of output, in format [cpu|gpu|cpu_pinned](n).Only used for imperative calls.",Context of output in format cpu gpu cpu_pinned BSTR Only used for imperative calls,,,,,,,
98,mxnet.ndarray.random_generalized_negative_binomial,ctx,"Context of output, in format [cpu|gpu|cpu_pinned](n). Only used for imperative calls.",Context of output in format cpu gpu cpu_pinned BSTR,,,,,,,
99,mxnet.ndarray.random_generalized_negative_binomial,ctx,"Context of output, in format [cpu|gpu|cpu_pinned](n). Only used for imperative calls.",Only used for imperative calls,,,,,,,
100,mxnet.ndarray.random.generalized_negative_binomial,ctx,Device context of output. Default is current context. Overridden by mu.context when mu is an NDArray.,Default is current context,,,,,,,
101,mxnet.ndarray.random.generalized_negative_binomial,ctx,Device context of output. Default is current context. Overridden by mu.context when mu is an NDArray.,Device context of output,,,,,,,
102,mxnet.ndarray.random.generalized_negative_binomial,ctx,Device context of output. Default is current context. Overridden by mu.context when mu is an NDArray.,Overridden by PARAM context when PARAM is an D_STRUCTURE,,,,,,,
103,mxnet.ndarray.random.randint,ctx,Device context of output. Default is current context. Overridden by low.context when low is an NDArray.,Default is current context,,,,,,,
104,mxnet.ndarray.random.randint,ctx,Device context of output. Default is current context. Overridden by low.context when low is an NDArray.,Device context of output,,,,,,,
105,mxnet.ndarray.random.randint,ctx,Device context of output. Default is current context. Overridden by low.context when low is an NDArray.,Overridden by PARAM context when PARAM is an D_STRUCTURE,,,,,,,
106,mxnet.ndarray.random.randn,ctx,Device context of output. Default is current context. Overridden by loc.context when loc is an NDArray.,Default is current context,,,,,,,
107,mxnet.ndarray.random.randn,ctx,Device context of output. Default is current context. Overridden by loc.context when loc is an NDArray.,Device context of output,,,,,,,
108,mxnet.ndarray.random.randn,ctx,Device context of output. Default is current context. Overridden by loc.context when loc is an NDArray.,Overridden by PARAM context when PARAM is an D_STRUCTURE,,,,,,,
109,mxnet.ndarray.random.uniform,ctx,Device context of output. Default is current context. Overridden by low.context when low is an NDArray.,Default is current context,,,,,,,
110,mxnet.ndarray.random.uniform,ctx,Device context of output. Default is current context. Overridden by low.context when low is an NDArray.,Device context of output,,,,,,,
111,mxnet.ndarray.random.uniform,ctx,Device context of output. Default is current context. Overridden by low.context when low is an NDArray.,Overridden by PARAM context when PARAM is an D_STRUCTURE,,,,,,,
112,mxnet.ndarray.sparse.row_sparse_array,ctx,Device context (default is the current default context).,Device context BSTR,,,,,,,
113,mxnet.ndarray.op.Convolution,cudnn_off,Turn off cudnn for this layer.,Turn off cudnn for this layer,,,,,,,
114,mxnet.ndarray.Deconvolution,cudnn_tune,Whether to pick convolution algorithm by running performance test.,Whether to pick convolution algorithm by running performance test,bool,,,,0,,
115,mxnet.contrib.ndarray.bipartite_matching,data,The input,The input,,,,,,,
116,mxnet.contrib.ndarray.fft,data,Input data to the FFTOp.,Input data to the FFTOp,,,,,,,
117,mxnet.contrib.ndarray.quantized_act,data,Input data.,Input data,,,,,,,
118,mxnet.ndarray.argmin,data,The input,The input,,,,,,,
119,mxnet.ndarray.broadcast_to,data,The input,The input,,,,,,,
120,mxnet.ndarray.choose_element_0index,data,The input array,The input D_STRUCTURE,,,D_STRUCTURE,,,,
121,mxnet.ndarray.contrib.backward_gradientmultiplier,data,source input,source input,,,,,,,
122,mxnet.ndarray.contrib.PSROIPooling,data,"Input data to the pooling operator, a 4D Feature maps",Input data to the pooling operator a CONSTANT_NUM D Feature maps,,,,,,,
123,mxnet.ndarray.depth_to_space,data,Input ndarray,Input D_STRUCTURE,,,D_STRUCTURE,,,,
124,mxnet.ndarray.expm1,data,The input array.,The input D_STRUCTURE,,,D_STRUCTURE,,,,
125,mxnet.ndarray.image.random_lighting,data,The input.,The input,,,,,,,
126,mxnet.ndarray.image.to_tensor,data,Input ndarray,Input D_STRUCTURE,,,D_STRUCTURE,,,,
127,mxnet.ndarray.nanprod,data,The input,The input,,,,,,,
128,mxnet.ndarray.op.all_finite,data,Array,D_STRUCTURE,,,D_STRUCTURE,,,,
129,mxnet.ndarray.op.amp_cast,data,The input.,The input,,,,,,,
130,mxnet.ndarray.op.arccos,data,The input array.,The input D_STRUCTURE,,,D_STRUCTURE,,,,
131,mxnet.ndarray.op.ctc_loss,data,Input ndarray,Input D_STRUCTURE,,,D_STRUCTURE,,,,
132,mxnet.ndarray.op.CTCLoss,data,Input ndarray,Input D_STRUCTURE,,,D_STRUCTURE,,,,
133,mxnet.ndarray.op.exp,data,The input array.,The input D_STRUCTURE,,,D_STRUCTURE,,,,
134,mxnet.ndarray.op.gather_nd,data,data,data,,,,,,,
135,mxnet.ndarray.op.log,data,The input array.,The input D_STRUCTURE,,,D_STRUCTURE,,,,
136,mxnet.ndarray.op.rcbrt,data,The input array.,The input D_STRUCTURE,,,D_STRUCTURE,,,,
137,mxnet.ndarray.op.ROIPooling,data,"The input array to the pooling operator,  a 4D Feature maps",The input D_STRUCTURE to the pooling operator a CONSTANT_NUM D Feature maps,,,D_STRUCTURE,,CONSTANT_NUM,,
138,mxnet.ndarray.op.sample_multinomial,data,Distribution probabilities. Must sum to one on the last axis.,Distribution probabilities,,,,,,,
139,mxnet.ndarray.op.sample_multinomial,data,Distribution probabilities. Must sum to one on the last axis.,Must sum to one on the last axis,,,,,,,
140,mxnet.ndarray.op.SequenceMask,data,"n-dimensional input array of the form [max_sequence_length, batch_size, other_feature_dims] where n>2",n dimensional input D_STRUCTURE of the form BSTR where n REXPR,,,D_STRUCTURE,,REXPR,,
141,mxnet.ndarray.op.SoftmaxOutput,data,Input array.,Input D_STRUCTURE,,,D_STRUCTURE,,,,
142,mxnet.ndarray.op.square,data,The input array.,The input D_STRUCTURE,,,D_STRUCTURE,,,,
