API,Type,Count,Input,BugID
tf.linalg.expm,timeout,33,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.expm.yaml_workdir/timeout_script_record,
tf.linalg.lstsq,Segmentation_Fault,10,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.lstsq.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.qr,Abort,74,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.qr.yaml_workdir/Abort_script_record,tf18
tf.linalg.solve,Segmentation_Fault,127,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.solve.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.sqrtm,Abort,122,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.sqrtm.yaml_workdir/Abort_script_record,tf18
tf.linalg.sqrtm,Segmentation_Fault,12,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.sqrtm.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.svd,Abort,97,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.svd.yaml_workdir/Abort_script_record,tf18
tf.linalg.triangular_solve,Segmentation_Fault,157,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.triangular_solve.yaml_workdir/Segmentation_Fault_script_record,tf18
tf.linalg.solve,Abort,54,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.solve.yaml_workdir/Abort_script_record,tf19
tf.math.unsorted_segment_mean,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.unsorted_segment_mean.yaml_workdir/Abort_script_record,tf20
tf.math.unsorted_segment_min,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.unsorted_segment_min.yaml_workdir/Abort_script_record,tf20
tf.math.unsorted_segment_sqrt_n,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.unsorted_segment_sqrt_n.yaml_workdir/Abort_script_record,tf20
tf.linalg.pinv,timeout,4,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.pinv.yaml_workdir/timeout_script_record,
tf.strings.unsorted_segment_join,Abort,296,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.strings.unsorted_segment_join.yaml_workdir/Abort_script_record,tf20
tf.linalg.det,Abort,109,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.det.yaml_workdir/Abort_script_record,tf21
tf.linalg.slogdet,Abort,55,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.slogdet.yaml_workdir/Abort_script_record,tf21
tf.linalg.slogdet,Segmentation_Fault,19,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.slogdet.yaml_workdir/Segmentation_Fault_script_record,tf21
tf.linalg.matrix_rank,Segmentation_Fault,55,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.matrix_rank.yaml_workdir/Segmentation_Fault_script_record,tf22
tf.linalg.pinv,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.pinv.yaml_workdir/Abort_script_record,tf22
tf.linalg.pinv,Segmentation_Fault,6,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.pinv.yaml_workdir/Segmentation_Fault_script_record,tf22
tf.linalg.sqrtm,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.sqrtm.yaml_workdir/timeout_script_record,
tf.linalg.svd,Segmentation_Fault,6,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.svd.yaml_workdir/Segmentation_Fault_script_record,tf22
tf.nest.assert_same_structure,Abort,324,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nest.assert_same_structure.yaml_workdir/Abort_script_record,tf25
tf.linalg.tensor_diag,Kill,21,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.linalg.tensor_diag.yaml_workdir/Kill_script_record,
tf.signal.inverse_stft,Segmentation_Fault,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.signal.inverse_stft.yaml_workdir/Segmentation_Fault_script_record,tf29
tf.image.non_max_suppression_padded,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.image.non_max_suppression_padded.yaml_workdir/Abort_script_record,tf33
tf.math.bincount,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.bincount.yaml_workdir/Kill_script_record,
tf.keras.layers.AveragePooling3D,Floating_Point_Exception,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.layers.AveragePooling3D.yaml_workdir/Floating_Point_Exception_script_record,tf39
tf.keras.backend.reshape,Abort,14,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.reshape.yaml_workdir/Abort_script_record,tf42
tf.keras.layers.reshape,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.layers.reshape.yaml_workdir/Abort_script_record,tf42
tf.reshape,Abort,17,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.reshape.yaml_workdir/Abort_script_record,tf42
tf.math.unsorted_segment_mean,Kill,11,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.unsorted_segment_mean.yaml_workdir/Kill_script_record,
tf.math.segment_max,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.segment_max.yaml_workdir/Abort_script_record,tf43
tf.math.unsorted_segment_min,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.unsorted_segment_min.yaml_workdir/Kill_script_record,
tf.math.segment_prod,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.segment_prod.yaml_workdir/Abort_script_record,tf43
tf.math.unsorted_segment_sqrt_n,Kill,9,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.unsorted_segment_sqrt_n.yaml_workdir/Kill_script_record,
tf.math.segment_sum,Abort,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.segment_sum.yaml_workdir/Abort_script_record,tf43
tf.sequence_mask,Abort,81,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.sequence_mask.yaml_workdir/Abort_script_record,tf44
tf.keras.backend.argmax,Abort,22,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.argmax.yaml_workdir/Abort_script_record,tf51
tf.keras.backend.argmin,Abort,30,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.argmin.yaml_workdir/Abort_script_record,tf51
tf.nn.ctc_beam_search_decoder,Kill,6,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nn.ctc_beam_search_decoder.yaml_workdir/Kill_script_record,
tf.nn.dropout,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nn.dropout.yaml_workdir/Kill_script_record,
tf.keras.backend.max,Abort,49,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.max.yaml_workdir/Abort_script_record,tf51
tf.keras.backend.min,Abort,57,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.min.yaml_workdir/Abort_script_record,tf51
tf.nn.separable_conv2d,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nn.separable_conv2d.yaml_workdir/Kill_script_record,
tf.keras.backend.prod,Abort,14,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.prod.yaml_workdir/Abort_script_record,tf51
tf.nn.softmax_cross_entropy_with_logits,Kill,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nn.softmax_cross_entropy_with_logits.yaml_workdir/Kill_script_record,
tf.ones,Kill,8,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.ones.yaml_workdir/Kill_script_record,
tf.keras.backend.sum,Abort,12,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.sum.yaml_workdir/Abort_script_record,tf51
tf.keras.layers.GlobalMaxPool1D,Abort,9,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.layers.GlobalMaxPool1D.yaml_workdir/Abort_script_record,tf52
tf.keras.layers.GlobalMaxPool2D,Abort,15,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.layers.GlobalMaxPool2D.yaml_workdir/Abort_script_record,tf52
tf.ragged.constant,timeout,11,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.ragged.constant.yaml_workdir/timeout_script_record,
tf.ragged.row_splits_to_segment_ids,Kill,17,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.ragged.row_splits_to_segment_ids.yaml_workdir/Kill_script_record,
tf.ragged.segment_ids_to_row_splits,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.ragged.segment_ids_to_row_splits.yaml_workdir/Kill_script_record,
tf.ragged.stack_dynamic_partitions,Kill,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.ragged.stack_dynamic_partitions.yaml_workdir/Kill_script_record,
tf.keras.layers.GlobalMaxPool3D,Abort,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.layers.GlobalMaxPool3D.yaml_workdir/Abort_script_record,tf52
tf.random.learned_unigram_candidate_sampler,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.random.learned_unigram_candidate_sampler.yaml_workdir/Kill_script_record,
tf.keras.backend.arange,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.arange.yaml_workdir/Abort_script_record,tf57
tf.random.learned_unigram_candidate_sampler,timeout,4,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.random.learned_unigram_candidate_sampler.yaml_workdir/timeout_script_record,
tf.random.normal,Kill,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.random.normal.yaml_workdir/Kill_script_record,
tf.random.poisson,timeout,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.random.poisson.yaml_workdir/timeout_script_record,
tf.random.truncated_normal,Kill,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.random.truncated_normal.yaml_workdir/Kill_script_record,
tf.random.uniform,Kill,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.random.uniform.yaml_workdir/Kill_script_record,
tf.repeat,Kill,3,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.repeat.yaml_workdir/Kill_script_record,
tf.keras.backend.categorical_crossentropy,Abort,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.keras.backend.categorical_crossentropy.yaml_workdir/Abort_script_record,tf64
tf.nn.softmax_cross_entropy_with_logits,Abort,6,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nn.softmax_cross_entropy_with_logits.yaml_workdir/Abort_script_record,tf64
tf.summary.create_file_writer,Abort,45,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.summary.create_file_writer.yaml_workdir/Abort_script_record,tf65
tf.sequence_mask,Kill,19,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.sequence_mask.yaml_workdir/Kill_script_record,
tf.quantization.fake_quant_with_min_max_vars_gradient,Abort,190,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.quantization.fake_quant_with_min_max_vars_gradient.yaml_workdir/Abort_script_record,tf66
tf.signal.hamming_window,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.signal.hamming_window.yaml_workdir/Kill_script_record,
tf.signal.hann_window,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.signal.hann_window.yaml_workdir/Kill_script_record,
tf.quantization.fake_quant_with_min_max_vars_per_channel,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.quantization.fake_quant_with_min_max_vars_per_channel.yaml_workdir/Abort_script_record,tf66
tf.quantization.fake_quant_with_min_max_vars,Abort,247,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.quantization.fake_quant_with_min_max_vars.yaml_workdir/Abort_script_record,tf66
tf.signal.overlap_and_add,Kill,9,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.signal.overlap_and_add.yaml_workdir/Kill_script_record,
tf.signal.stft,Kill,7,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.signal.stft.yaml_workdir/Kill_script_record,
tf.sparse.eye,Kill,48,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.sparse.eye.yaml_workdir/Kill_script_record,
tf.strings.as_string,Kill,1,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.strings.as_string.yaml_workdir/Kill_script_record,
tf.strings.as_string,timeout,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.strings.as_string.yaml_workdir/timeout_script_record,
tf.nn.atrous_conv2d,Abort,2,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.nn.atrous_conv2d.yaml_workdir/Abort_script_record,tf71
tf.math.bincount,Abort,37,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.math.bincount.yaml_workdir/Abort_script_record,tf78
tf.scatter_nd,Abort,5,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.scatter_nd.yaml_workdir/Abort_script_record,tf80
tf.broadcast_to,Abort,33,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.broadcast_to.yaml_workdir/Abort_script_record,tf84
tf.zeros,Kill,6,/local1/xdanning/docter/expr/tensorflow/TF7_c9ad9e2_ee/workdir/expect_exception_constr/tf.zeros.yaml_workdir/Kill_script_record,
