,API,Arg,Descp,Normalized_descp,dtype,structure,shape,ndim,range,enum,tensor_t
58,mxnet.ndarray.ROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]], where (x1, y1) and (x2, y2) are top left and bottom right corners of designated region of interest. batch_index indicates the index of corresponding image in the input array",bounding box coordinates a constant_num d d_structure of bstr where bstr are top left and bottom right corners of designated region of interest,,D_STRUCTURE,BSTR,CONSTANT_NUM,,,
59,,,,,,,,,,,
60,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]]. (x1, y1) and (x2, y2) are top left and down right corners of designated region of interest. batch_index indicates the index of corresponding image in the input data",batch_index indicates the index of corresponding image in the input PARAM,,,,,,,
61,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]]. (x1, y1) and (x2, y2) are top left and down right corners of designated region of interest. batch_index indicates the index of corresponding image in the input data",batch_index indicates the index of corresponding image in the input param,int,,,0,,,
62,,,,,,,,,,,
63,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]]. (x1, y1) and (x2, y2) are top left and down right corners of designated region of interest. batch_index indicates the index of corresponding image in the input data",Bounding box coordinates a CONSTANT_NUM D D_STRUCTURE of BSTR,,D_STRUCTURE,,CONSTANT_NUM,,,
64,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]]. (x1, y1) and (x2, y2) are top left and down right corners of designated region of interest. batch_index indicates the index of corresponding image in the input data",bounding box coordinates a constant_num d d_structure of bstr,,D_STRUCTURE,BSTR,CONSTANT_NUM,,,
65,,,,,,,,,,,
66,mxnet.ndarray.multi_sgd_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,numeric,,,,,,
67,mxnet.ndarray.multi_sgd_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",clip gradient to the range of bstr if clip_gradient rexpr gradient clipping is turned off,,,,,BSTR,,
68,,,,,,,,,,,
69,mxnet.gluon.contrib.rnn.Conv3DLSTMCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,,
70,mxnet.gluon.contrib.rnn.Conv3DLSTMCell,params,Container for weight sharing between cells. Created if None.,container for weight sharing between cells,numeric,,,,,,
71,,,,,,,,,,,
72,mxnet.gluon.contrib.rnn.Conv3DRNNCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,,
73,mxnet.gluon.contrib.rnn.Conv3DRNNCell,params,Container for weight sharing between cells. Created if None.,container for weight sharing between cells,numeric,,,,,,
74,,,,,,,,,,,
75,mxnet.gluon.contrib.rnn.Conv3DGRUCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,,,,,,,
76,mxnet.gluon.contrib.rnn.Conv3DGRUCell,params,Container for weight sharing between cells. Created if None.,container for weight sharing between cells,numeric,,,,,,
77,,,,,,,,,,,
78,mxnet.ndarray.random.gamma,dtype,Data type of output samples. Default is 'float32',Data type of output samples,,,,,,,
79,mxnet.ndarray.random.gamma,dtype,Data type of output samples. Default is 'float32',data type of output samples,numpy.dtype,,,,,,
80,,,,,,,,,,,
81,mxnet.ndarray.random.generalized_negative_binomial,dtype,Data type of output samples. Default is 'float32',Data type of output samples,,,,,,,
82,mxnet.ndarray.random.generalized_negative_binomial,dtype,Data type of output samples. Default is 'float32',data type of output samples,numpy.dtype,,,,,,
83,,,,,,,,,,,
84,mxnet.ndarray.random.gamma,dtype,Data type of output samples. Default is 'float32',Default is QSTR,,,,,,QSTR,
85,mxnet.ndarray.random.gamma,dtype,Data type of output samples. Default is 'float32',default is qstr,,,,,,,
86,,,,,,,,,,,
87,mxnet.ndarray.random.generalized_negative_binomial,dtype,Data type of output samples. Default is 'float32',Default is QSTR,,,,,,QSTR,
88,mxnet.ndarray.random.generalized_negative_binomial,dtype,Data type of output samples. Default is 'float32',default is qstr,,,,,,,
89,,,,,,,,,,,
