,Unnamed: 0,API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
120,120,torch.nn.Softshrink,lambd,the  lambda  (must be no less than zero) value for the Softshrink formulation. Default: 0.5,Default CONSTANT_NUM,bool,,,,0,,
121,121,torch.nn.Softshrink,lambd,the  lambda  (must be no less than zero) value for the Softshrink formulation. Default: 0.5,the lambda BSTR value for the Softshrink formulation,,,,,,,
122,122,torch.empty_like,layout,"the desired layout of returned tensor. Default: if `None`, defaults to the layout of `input`.",Default if QSTR defaults to the layout of PARAM,,,,,,,
123,123,torch.empty_like,layout,"the desired layout of returned tensor. Default: if `None`, defaults to the layout of `input`.",the desired layout of returned D_STRUCTURE,,,,,,,
124,124,torch.linspace,layout,the desired layout of returned Tensor. Default: `torch.strided`.,Default torch strided,,,,,,,
125,125,torch.linspace,layout,the desired layout of returned Tensor. Default: `torch.strided`.,the desired layout of returned D_STRUCTURE,,,,,,,
126,126,torch.rand,layout,the desired layout of returned Tensor. Default: `torch.strided`.,Default torch strided,,,,,,,
127,127,torch.rand,layout,the desired layout of returned Tensor. Default: `torch.strided`.,the desired layout of returned D_STRUCTURE,,,,,,,
128,128,torch.jit.save,m,A `ScriptModule` to save.,A QSTR to save,,,,,,,
129,129,torch.quantization.swap_module,mapping,a dictionary that maps from nn module to nnq module,a D_STRUCTURE that maps from nn module to nnq module,,,D_STRUCTURE,,,,
130,130,torch.sparse.addmm,mat,a dense matrix to be added,a dense matrix to be added,numeric,,,,,,
131,131,torch.addmm,mat1,the first matrix to be multiplied,the first matrix to be multiplied,numeric,,,,,,
132,132,torch.nn.utils.clip_grad_norm_,max_norm,max norm of the gradients,max norm of the gradients,numeric,,,,,,
133,133,torch.lobpcg,method,"select LOBPCG method. See the description of the function above. Default is ""ortho"".",Default is QSTR,,,,,,,
134,134,torch.lobpcg,method,"select LOBPCG method. See the description of the function above. Default is ""ortho"".",See the description of the function above,,,,,,,
135,135,torch.lobpcg,method,"select LOBPCG method. See the description of the function above. Default is ""ortho"".",select LOBPCG method,,,,,,,
136,136,torch.histc,min,lower end of the range (inclusive),lower end of the range BSTR,,,,,,,
137,137,torch.nn.BatchNorm3d,momentum,the value used for the running_mean and running_var computation. Can be set to `None` for cumulative moving average (i.e. simple average). Default: 0.1,Can be set to QSTR for cumulative moving average i e,,,,,,,
138,138,torch.nn.BatchNorm3d,momentum,the value used for the running_mean and running_var computation. Can be set to `None` for cumulative moving average (i.e. simple average). Default: 0.1,Default CONSTANT_NUM,bool,,,,0,,
139,139,torch.nn.BatchNorm3d,momentum,the value used for the running_mean and running_var computation. Can be set to `None` for cumulative moving average (i.e. simple average). Default: 0.1,simple average,,,,,,,
140,140,torch.nn.BatchNorm3d,momentum,the value used for the running_mean and running_var computation. Can be set to `None` for cumulative moving average (i.e. simple average). Default: 0.1,the value used for the running_mean and running_var computation,,,,,,,
141,141,torch.nn.InstanceNorm1d,momentum,the value used for the running_mean and running_var computation. Default: 0.1,Default CONSTANT_NUM,bool,,,,0,,
142,142,torch.nn.InstanceNorm1d,momentum,the value used for the running_mean and running_var computation. Default: 0.1,the value used for the running_mean and running_var computation,,,,,,,
143,143,torch.nn.utils.prune.remove,name,parameter name within `module` on which pruning will act.,parameter name within PARAM on which pruning will act,,,,,,,
144,144,torch.nn.utils.spectral_norm,name,name of weight parameter,name of weight parameter,string,,,,0,,
145,145,torch.nn.utils.weight_norm,name,name of weight parameter,name of weight parameter,string,,,,0,,
146,146,torch.cuda.set_rng_state,new_state,The desired state,The desired state,,,,,,,
147,147,torch.pca_lowrank,niter,"the number of subspace iterations to conduct; niter must be a nonnegative integer, and defaults to 2.",the number of subspace iterations to conduct niter must be a nonnegative D_TYPE and defaults to CONSTANT_NUM,int,,,,0,"[0,inf)",
148,148,torch.nn.functional.embedding,norm_type,The p of the p-norm to compute for the `max_norm` option. Default `2`.,Default CONSTANT_NUM,bool,,,,0,,
149,149,torch.nn.functional.embedding,norm_type,The p of the p-norm to compute for the `max_norm` option. Default `2`.,The p of the p norm to compute for the PARAM option,,,,,,,
150,150,torch.is_tensor,obj,Object to test,Object to test,,,,,,,
151,151,torch.eq,other,the tensor or value to compare,the D_STRUCTURE or value to compare,D_TYPE,D_STRUCTURE,,,,,
152,152,torch.floor_divide,other,the denominator,the denominator,,,,,,,
153,153,torch.logical_and,other,the tensor to compute AND with,the D_STRUCTURE to compute AND with,,D_STRUCTURE,,,,,
154,154,torch.ne,other,the tensor or value to compare,the D_STRUCTURE or value to compare,D_TYPE,D_STRUCTURE,,,,,
155,155,torch.clamp,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
156,156,torch.gt,out,the output tensor that must be a BoolTensor,the output D_STRUCTURE that must be a D_TYPE,D_TYPE,D_STRUCTURE,,,,,
157,157,torch.log,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
158,158,torch.log1p,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
159,159,torch.logical_and,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
160,160,torch.logical_not,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
161,161,torch.logical_or,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
162,162,torch.logsumexp,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
163,163,torch.mode,out,"the result tuple of two output tensors (values, indices)",the result D_STRUCTURE of two output D_STRUCTURE BSTR,,,D_STRUCTURE,,,,
164,164,torch.round,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
165,165,torch.sin,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
166,166,torch.symeig,out,"the output tuple of (Tensor, Tensor)",the output D_STRUCTURE of BSTR,,D_STRUCTURE,,,,,
167,167,torch.nn.functional.adaptive_avg_pool1d,output_size,the target output size (single integer),the target output size BSTR,numeric,,,,,"[0,inf)",
168,168,torch.autograd.grad,outputs,outputs of the differentiated function.,outputs of the differentiated function,,,,,,,
169,169,torch.distributions.kl.kl_divergence,p,A `Distribution` object.,A QSTR object,,,,,,,
170,170,torch.nn.ConstantPad3d,padding,"the size of the padding. If is int, uses the same padding in all boundaries. If a 6-tuple, uses (padding _left , padding _right , padding _top , padding _bottom , padding _front , padding _back )",If a CONSTANT_NUM D_STRUCTURE uses BSTR,,,D_STRUCTURE,,1,,
171,171,torch.nn.ConstantPad3d,padding,"the size of the padding. If is int, uses the same padding in all boundaries. If a 6-tuple, uses (padding _left , padding _right , padding _top , padding _bottom , padding _front , padding _back )",If is D_TYPE uses the same padding in all boundaries,D_TYPE,,,,,,
172,172,torch.nn.ConstantPad3d,padding,"the size of the padding. If is int, uses the same padding in all boundaries. If a 6-tuple, uses (padding _left , padding _right , padding _top , padding _bottom , padding _front , padding _back )",the size of the padding,numeric,,,,,"[0,inf)",
173,173,torch.nn.functional.avg_pool1d,padding,"implicit zero paddings on both sides of the input. Can be a single number or a tuple (padW,). Default: 0",Can be a single number or a D_STRUCTURE BSTR,int,,D_STRUCTURE,,0;1,,
174,174,torch.nn.functional.avg_pool1d,padding,"implicit zero paddings on both sides of the input. Can be a single number or a tuple (padW,). Default: 0",Default CONSTANT_NUM,bool,,,,0,,
