,API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
16,tf.keras.layers.LSTMCell,activation,"Activation function to use. Default: hyperbolic tangent (`tanh`). If you pass `None`, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",If you pass QSTR no activation is applied ie,,,,,,,
17,tf.keras.layers.LSTMCell,activation,"Activation function to use. Default: hyperbolic tangent (`tanh`). If you pass `None`, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",QSTR activation a BSTR x,,,,,,,
18,tf.keras.layers.LSTMCell,activation,"Activation function to use. Default: hyperbolic tangent (`tanh`). If you pass `None`, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",activation function to use,,,,,,,
19,tf.keras.layers.SeparableConv1D,activation,Activation function. Set it to None to maintain a linear activation.,Set it to None to maintain a linear activation,,,,,,,
20,tf.keras.layers.SeparableConv1D,activation,Activation function. Set it to None to maintain a linear activation.,activation function,,,,,,,
21,tf.keras.layers.SimpleRNNCell,activation,"Activation function to use. Default: hyperbolic tangent (`tanh`). If you pass `None`, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",Default hyperbolic tangent QSTR,,,,,,,
22,tf.keras.layers.SimpleRNNCell,activation,"Activation function to use. Default: hyperbolic tangent (`tanh`). If you pass `None`, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",If you pass QSTR no activation is applied ie,,,,,,,
23,tf.keras.layers.SimpleRNNCell,activation,"Activation function to use. Default: hyperbolic tangent (`tanh`). If you pass `None`, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",QSTR activation a BSTR x,,,,,,,
24,tf.keras.layers.SimpleRNNCell,activation,"Activation function to use. Default: hyperbolic tangent (`tanh`). If you pass `None`, no activation is applied (ie. ""linear"" activation: `a(x) = x`).",activation function to use,,,,,,,
25,tf.keras.layers.Conv1D,activity_regularizer,"Regularizer function applied to the output of the layer (its ""activation"")..",Regularizer function applied to the output of the layer BSTR,,,,,,,
26,tf.linalg.matmul,adjoint_b,"If `True`, `b` is conjugated and transposed before multiplication.",If CONSTANT_BOOL QSTR is conjugated and transposed before multiplication,bool,,,,0,,
27,tf.keras.layers.PReLU,alpha_initializer,Initializer function for the weights.,Initializer function for the weights,,,,,,,
28,tf.sets.difference,aminusb,"Whether to subtract `b` from `a`, vs vice versa.",Whether to subtract QSTR from QSTR vs vice versa,bool,,,,0,,
29,tf.keras.backend.any,axis,axis along which to perform the reduction.,axis along which to perform the reduction,int,,,,,,
30,tf.keras.backend.batch_normalization,axis,"Integer, the axis that should be normalized. (typically the features axis).",BSTR,,,,,,,
31,tf.keras.backend.batch_normalization,axis,"Integer, the axis that should be normalized. (typically the features axis).",D_TYPE the axis that should be normalized,D_TYPE,,,,,,
32,tf.keras.backend.prod,axis,"An integer, the axis to compute the product.",An D_TYPE the axis to compute the product,D_TYPE,,,,0,,
33,tf.keras.layers.Concatenate,axis,Axis along which to concatenate.,axis along which to concatenate,int,,,,,,
34,tf.linalg.normalize,axis,"If `axis` is `None` (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. `norm(tensor, ord=ord)` is equivalent to`norm(reshape(tensor, [-1]), ord=ord)`. If `axis` is a Python integer, the input is considered a batch of vectors, and `axis` determines the axis in`tensor` over which to compute vector norms. If `axis` is a 2-tuple of Python integers it is considered a batch of matrices and `axis` determines the axes in `tensor` over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass`axis=[-2,-1]` instead of `axis=None` to make sure that matrix norms are computed.",Example If you are passing a D_STRUCTURE that can be either a matrix or a batch of matrices at runtime pass axis BSTR instead of axis None to make sure that matrix norms are computed,,,,,,,
35,tf.linalg.normalize,axis,"If `axis` is `None` (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. `norm(tensor, ord=ord)` is equivalent to`norm(reshape(tensor, [-1]), ord=ord)`. If `axis` is a Python integer, the input is considered a batch of vectors, and `axis` determines the axis in`tensor` over which to compute vector norms. If `axis` is a 2-tuple of Python integers it is considered a batch of matrices and `axis` determines the axes in `tensor` over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass`axis=[-2,-1]` instead of `axis=None` to make sure that matrix norms are computed.",If axis is a CONSTANT_NUM D_STRUCTURE of Python D_TYPE it is considered a batch of matrices and axis determines the axes in D_STRUCTURE over which to compute a matrix norm,,,,,,,
36,tf.linalg.normalize,axis,"If `axis` is `None` (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. `norm(tensor, ord=ord)` is equivalent to`norm(reshape(tensor, [-1]), ord=ord)`. If `axis` is a Python integer, the input is considered a batch of vectors, and `axis` determines the axis in`tensor` over which to compute vector norms. If `axis` is a 2-tuple of Python integers it is considered a batch of matrices and `axis` determines the axes in `tensor` over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass`axis=[-2,-1]` instead of `axis=None` to make sure that matrix norms are computed.",If axis is a Python D_TYPE the input is considered a batch of vectors and axis determines the axis inD_STRUCTURE over which to compute vector norms,D_TYPE,,,,0,,
37,tf.linalg.normalize,axis,"If `axis` is `None` (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. `norm(tensor, ord=ord)` is equivalent to`norm(reshape(tensor, [-1]), ord=ord)`. If `axis` is a Python integer, the input is considered a batch of vectors, and `axis` determines the axis in`tensor` over which to compute vector norms. If `axis` is a 2-tuple of Python integers it is considered a batch of matrices and `axis` determines the axes in `tensor` over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass`axis=[-2,-1]` instead of `axis=None` to make sure that matrix norms are computed.",If axis is QSTR BSTR the input is considered a vector and a single vector norm is computed over the entire set of values in the D_STRUCTURE i e,,,,,,,
38,tf.linalg.normalize,axis,"If `axis` is `None` (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. `norm(tensor, ord=ord)` is equivalent to`norm(reshape(tensor, [-1]), ord=ord)`. If `axis` is a Python integer, the input is considered a batch of vectors, and `axis` determines the axis in`tensor` over which to compute vector norms. If `axis` is a 2-tuple of Python integers it is considered a batch of matrices and `axis` determines the axes in `tensor` over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass`axis=[-2,-1]` instead of `axis=None` to make sure that matrix norms are computed.",Negative indices are supported,,,,,,,
39,tf.linalg.normalize,axis,"If `axis` is `None` (the default), the input is considered a vector and a single vector norm is computed over the entire set of values in the tensor, i.e. `norm(tensor, ord=ord)` is equivalent to`norm(reshape(tensor, [-1]), ord=ord)`. If `axis` is a Python integer, the input is considered a batch of vectors, and `axis` determines the axis in`tensor` over which to compute vector norms. If `axis` is a 2-tuple of Python integers it is considered a batch of matrices and `axis` determines the axes in `tensor` over which to compute a matrix norm. Negative indices are supported. Example: If you are passing a tensor that can be either a matrix or a batch of matrices at runtime, pass`axis=[-2,-1]` instead of `axis=None` to make sure that matrix norms are computed.",norm D_STRUCTURE PARAM PARAM QSTR norm reshape D_STRUCTURE BSTR PARAM PARAM,D_TYPE,,D_STRUCTURE,,CONSTANT_NUM,,
40,tf.math.reduce_logsumexp,axis,"The dimensions to reduce. If `None` (the default), reduces all dimensions. Must be in the range `[-rank(input_tensor), rank(input_tensor))`.",If QSTR BSTR reduces all dimensions,,,,,,,
41,tf.math.reduce_logsumexp,axis,"The dimensions to reduce. If `None` (the default), reduces all dimensions. Must be in the range `[-rank(input_tensor), rank(input_tensor))`.",Must be in the range BSTR,,,,,,BSTR,
42,tf.math.reduce_logsumexp,axis,"The dimensions to reduce. If `None` (the default), reduces all dimensions. Must be in the range `[-rank(input_tensor), rank(input_tensor))`.",The dimensions to reduce,int,,,,,,
43,tf.math.reduce_mean,axis,"The dimensions to reduce. If `None` (the default), reduces all dimensions. Must be in the range `[-rank(input_tensor), rank(input_tensor))`.",If QSTR BSTR reduces all dimensions,,,,,,,
44,tf.math.reduce_mean,axis,"The dimensions to reduce. If `None` (the default), reduces all dimensions. Must be in the range `[-rank(input_tensor), rank(input_tensor))`.",Must be in the range BSTR,,,,,,BSTR,
45,tf.math.reduce_mean,axis,"The dimensions to reduce. If `None` (the default), reduces all dimensions. Must be in the range `[-rank(input_tensor), rank(input_tensor))`.",The dimensions to reduce,int,,,,,,
46,tf.signal.frame,axis,A scalar integer `Tensor` indicating the axis to frame. Defaults to the last axis. Supports negative values for indexing from the end.,A scalar D_TYPE D_STRUCTURE indicating the axis to frame,D_TYPE,D_STRUCTURE,,,0,,
47,tf.signal.frame,axis,A scalar integer `Tensor` indicating the axis to frame. Defaults to the last axis. Supports negative values for indexing from the end.,Defaults to the last axis,,,,,,,
48,tf.signal.frame,axis,A scalar integer `Tensor` indicating the axis to frame. Defaults to the last axis. Supports negative values for indexing from the end.,Supports negative values for indexing from the end,,,,,,,
49,tf.gather_nd,batch_dims,An integer or a scalar 'Tensor'. The number of batch dimensions.,An D_TYPE or a scalar QSTR,D_TYPE,D_STRUCTURE,,,0,,
50,tf.gather_nd,batch_dims,An integer or a scalar 'Tensor'. The number of batch dimensions.,The number of batch dimensions,int,,,,0,"[0,inf)",
51,tf.keras.backend.normalize_batch_in_training,beta,Tensor with which to center the input.,D_STRUCTURE with which to center the input,,D_STRUCTURE,,,,,
52,tf.nn.batch_norm_with_global_normalization,beta,A 1D beta Tensor with size matching the last dimension of t. An offset to be added to the normalized tensor.,A CONSTANT_NUM D beta D_STRUCTURE with size matching the last dimension of t An offset to be added to the normalized D_STRUCTURE,,D_STRUCTURE,,,CONSTANT_NUM,,
53,tf.keras.layers.LayerNormalization,beta_constraint,Optional constraint for the beta weight.,Optional constraint for the beta weight,,,,,,,
54,tf.keras.layers.BatchNormalization,beta_regularizer,Optional regularizer for the beta weight.,Optional regularizer for the beta weight,,,,,,,
55,tf.nn.bias_add,bias,"A 1-D `Tensor` with size matching the channel dimension of `value`. Must be the same type as `value` unless `value` is a quantized type, in which case a different quantized type may be used.",A CONSTANT_NUM D D_STRUCTURE with size matching the channel dimension of PARAM,,D_STRUCTURE,,,CONSTANT_NUM,,
56,tf.nn.bias_add,bias,"A 1-D `Tensor` with size matching the channel dimension of `value`. Must be the same type as `value` unless `value` is a quantized type, in which case a different quantized type may be used.",Must be the same type as PARAM unless PARAM is a quantized type in which case a different quantized type may be used,&PARAM,,,,,,
57,tf.keras.layers.LocallyConnected1D,bias_constraint,Constraint function applied to the bias vector.,Constraint function applied to the bias vector,,,,,,,
58,tf.keras.layers.ConvLSTM2D,bias_initializer,Initializer for the bias vector.,Initializer for the bias vector,,,,,,,
59,tf.keras.layers.Dense,bias_initializer,Initializer for the bias vector.,Initializer for the bias vector,,,,,,,
60,tf.keras.layers.SimpleRNN,bias_initializer,Initializer for the bias vector. Default: `zeros`.,Default QSTR,,,,,,,
61,tf.keras.layers.SimpleRNN,bias_initializer,Initializer for the bias vector. Default: `zeros`.,Initializer for the bias vector,,,,,,,
62,tf.io.decode_compressed,bytes,A `Tensor` of type `string`. A Tensor of string which is compressed.,A D_STRUCTURE of D_TYPE which is compressed,D_TYPE,D_STRUCTURE,,,,,
63,tf.io.decode_compressed,bytes,A `Tensor` of type `string`. A Tensor of string which is compressed.,A D_STRUCTURE of type D_TYPE,D_TYPE,D_STRUCTURE,,,,,
64,tf.compat.as_text,bytes_or_text,"A `bytes`, `str`, or `unicode` object.",A QSTR D_TYPE or QSTR object,D_TYPE,,,,0,,
65,tf.keras.utils.get_file,cache_dir,"Location to store cached files, when None it defaults to the Keras   Directory.",Location to store cached files when None it defaults to the Keras Directory,,,,,,,
66,tf.feature_column.embedding_column,categorical_column,A `CategoricalColumn` created by a`categorical_column_with_*` function. This column produces the sparse IDs that are inputs to the embedding lookup.,A QSTR created by a categorical_column_with function,,,,,,,
67,tf.feature_column.embedding_column,categorical_column,A `CategoricalColumn` created by a`categorical_column_with_*` function. This column produces the sparse IDs that are inputs to the embedding lookup.,This column produces the sparse IDs that are inputs to the embedding lookup,,,,,,,
68,tf.keras.preprocessing.image.apply_channel_shift,channel_axis,Index of axis for channels in the input tensor.`,Index of axis for channels in the input D_STRUCTURE,int,,,,,,
69,tf.keras.preprocessing.image.random_shear,channel_axis,Index of axis for channels in the input tensor.,Index of axis for channels in the input D_STRUCTURE,int,,,,,,
70,tf.io.decode_image,channels,An optional `int`. Defaults to `0`. Number of color channels for the decoded image.,An optional D_TYPE,D_TYPE,,,,0,,
71,tf.io.decode_image,channels,An optional `int`. Defaults to `0`. Number of color channels for the decoded image.,Defaults to CONSTANT_NUM,,,,,,,
72,tf.io.decode_image,channels,An optional `int`. Defaults to `0`. Number of color channels for the decoded image.,Number of color channels for the decoded image,int,,,,0,"[0,inf)",
73,tf.nest.assert_same_structure,check_types,"if `True` (default) types of sequences are checked as well, including the keys of dictionaries. If set to `False`, for example a list and a tuple of objects will look the same if they have the same size. Note that namedtuples with identical name and fields are always considered to have the same shallow structure. Two types will also be considered the same if they are both list subtypes (which allows ""list"" and ""_ListWrapper"" from trackable dependency tracking to compare equal).",if CONSTANT_BOOL BSTR types of sequences are checked as well including the keys of dictionaries,bool,,,,0,,
74,tf.nest.assert_same_structure,check_types,"if `True` (default) types of sequences are checked as well, including the keys of dictionaries. If set to `False`, for example a list and a tuple of objects will look the same if they have the same size. Note that namedtuples with identical name and fields are always considered to have the same shallow structure. Two types will also be considered the same if they are both list subtypes (which allows ""list"" and ""_ListWrapper"" from trackable dependency tracking to compare equal).",If set to CONSTANT_BOOL for example a D_STRUCTURE of objects will look the same if they have the same size,bool,,,,0,,
75,tf.nest.assert_same_structure,check_types,"if `True` (default) types of sequences are checked as well, including the keys of dictionaries. If set to `False`, for example a list and a tuple of objects will look the same if they have the same size. Note that namedtuples with identical name and fields are always considered to have the same shallow structure. Two types will also be considered the same if they are both list subtypes (which allows ""list"" and ""_ListWrapper"" from trackable dependency tracking to compare equal).",Note that namedtuples with identical name and fields are always considered to have the same shallow structure,,,,,,,
76,tf.nest.assert_same_structure,check_types,"if `True` (default) types of sequences are checked as well, including the keys of dictionaries. If set to `False`, for example a list and a tuple of objects will look the same if they have the same size. Note that namedtuples with identical name and fields are always considered to have the same shallow structure. Two types will also be considered the same if they are both list subtypes (which allows ""list"" and ""_ListWrapper"" from trackable dependency tracking to compare equal).",Two types will also be considered the same if they are both D_STRUCTURE subtypes which allows QSTR from trackable dependency tracking to compare equal,,,,,,,
77,tf.keras.estimator.model_to_estimator,checkpoint_format,"Sets the format of the checkpoint saved by the estimator when training. May be `saver` or `checkpoint`, depending on whether to save checkpoints from `tf.compat.v1.train.Saver` or `tf.train.Checkpoint`. The default is `checkpoint`. Estimators use name-based `tf.train.Saver`checkpoints, while Keras models use object-based checkpoints from`tf.train.Checkpoint`. Currently, saving object-based checkpoints from`model_to_estimator` is only supported by Functional and Sequential models.",Currently saving object based checkpoints from QSTR is only supported by Functional and Sequential models,,,,,,,
78,tf.keras.estimator.model_to_estimator,checkpoint_format,"Sets the format of the checkpoint saved by the estimator when training. May be `saver` or `checkpoint`, depending on whether to save checkpoints from `tf.compat.v1.train.Saver` or `tf.train.Checkpoint`. The default is `checkpoint`. Estimators use name-based `tf.train.Saver`checkpoints, while Keras models use object-based checkpoints from`tf.train.Checkpoint`. Currently, saving object-based checkpoints from`model_to_estimator` is only supported by Functional and Sequential models.",Estimators use name based tf train Saver checkpoints while Keras models use object based checkpoints from tf train Checkpoint,,,,,,,
79,tf.keras.estimator.model_to_estimator,checkpoint_format,"Sets the format of the checkpoint saved by the estimator when training. May be `saver` or `checkpoint`, depending on whether to save checkpoints from `tf.compat.v1.train.Saver` or `tf.train.Checkpoint`. The default is `checkpoint`. Estimators use name-based `tf.train.Saver`checkpoints, while Keras models use object-based checkpoints from`tf.train.Checkpoint`. Currently, saving object-based checkpoints from`model_to_estimator` is only supported by Functional and Sequential models.",May be QSTR depending on whether to save checkpoints from tf compat v1 train Saver QSTR tf train Checkpoint,,,,,,,
80,tf.keras.estimator.model_to_estimator,checkpoint_format,"Sets the format of the checkpoint saved by the estimator when training. May be `saver` or `checkpoint`, depending on whether to save checkpoints from `tf.compat.v1.train.Saver` or `tf.train.Checkpoint`. The default is `checkpoint`. Estimators use name-based `tf.train.Saver`checkpoints, while Keras models use object-based checkpoints from`tf.train.Checkpoint`. Currently, saving object-based checkpoints from`model_to_estimator` is only supported by Functional and Sequential models.",Sets the format of the checkpoint saved by the estimator when training,,,,,,,
81,tf.keras.estimator.model_to_estimator,checkpoint_format,"Sets the format of the checkpoint saved by the estimator when training. May be `saver` or `checkpoint`, depending on whether to save checkpoints from `tf.compat.v1.train.Saver` or `tf.train.Checkpoint`. The default is `checkpoint`. Estimators use name-based `tf.train.Saver`checkpoints, while Keras models use object-based checkpoints from`tf.train.Checkpoint`. Currently, saving object-based checkpoints from`model_to_estimator` is only supported by Functional and Sequential models.",The default is QSTR,,,,,,,
82,tf.linalg.cholesky_solve,chol,"A `Tensor`.  Must be `float32` or `float64`, shape is `[..., M, M]`. Cholesky factorization of `A`, e.g. `chol = tf.linalg.cholesky(A)`. For that reason, only the lower triangular parts (including the diagonal) of the last two dimensions of `chol` are used.  The strictly upper part is assumed to be zero and not accessed.",A D_STRUCTURE,,D_STRUCTURE,,,,,
83,tf.linalg.cholesky_solve,chol,"A `Tensor`.  Must be `float32` or `float64`, shape is `[..., M, M]`. Cholesky factorization of `A`, e.g. `chol = tf.linalg.cholesky(A)`. For that reason, only the lower triangular parts (including the diagonal) of the last two dimensions of `chol` are used.  The strictly upper part is assumed to be zero and not accessed.",Cholesky factorization of QSTR e g,,,,,,,
84,tf.linalg.cholesky_solve,chol,"A `Tensor`.  Must be `float32` or `float64`, shape is `[..., M, M]`. Cholesky factorization of `A`, e.g. `chol = tf.linalg.cholesky(A)`. For that reason, only the lower triangular parts (including the diagonal) of the last two dimensions of `chol` are used.  The strictly upper part is assumed to be zero and not accessed.",For that reason only the lower triangular parts BSTR of the last two dimensions of chol are used,,,,,,,
85,tf.linalg.cholesky_solve,chol,"A `Tensor`.  Must be `float32` or `float64`, shape is `[..., M, M]`. Cholesky factorization of `A`, e.g. `chol = tf.linalg.cholesky(A)`. For that reason, only the lower triangular parts (including the diagonal) of the last two dimensions of `chol` are used.  The strictly upper part is assumed to be zero and not accessed.",Must be D_TYPE shape is BSTR,D_TYPE,,,BSTR,,,
86,tf.linalg.cholesky_solve,chol,"A `Tensor`.  Must be `float32` or `float64`, shape is `[..., M, M]`. Cholesky factorization of `A`, e.g. `chol = tf.linalg.cholesky(A)`. For that reason, only the lower triangular parts (including the diagonal) of the last two dimensions of `chol` are used.  The strictly upper part is assumed to be zero and not accessed.",The strictly upper part is assumed to be zero and not accessed,,,,,,,
87,tf.linalg.cholesky_solve,chol,"A `Tensor`.  Must be `float32` or `float64`, shape is `[..., M, M]`. Cholesky factorization of `A`, e.g. `chol = tf.linalg.cholesky(A)`. For that reason, only the lower triangular parts (including the diagonal) of the last two dimensions of `chol` are used.  The strictly upper part is assumed to be zero and not accessed.",chol tf linalg cholesky BSTR,,,,,,,
88,tf.data.experimental.make_csv_dataset,column_defaults,"A optional list of default values for the CSV fields. One item per selected column of the input record. Each item in the list is either a valid CSV dtype (float32, float64, int32, int64, or string), or a`Tensor` with one of the aforementioned types. The tensor can either be a scalar default value (if the column is optional), or an empty tensor (if the column is required). If a dtype is provided instead of a tensor, the column is also treated as required. If this list is not provided, tries to infer types based on reading the first num_rows_for_inference rows of files specified, and assumes all columns are optional, defaulting to `0`for numeric values and `""""` for string values. If both this and`select_columns` are specified, these must have the same lengths, and`column_defaults` is assumed to be sorted in order of increasing column index.",A optional D_STRUCTURE of default values for the CSV fields,,,D_STRUCTURE,,,,
89,tf.data.experimental.make_csv_dataset,column_defaults,"A optional list of default values for the CSV fields. One item per selected column of the input record. Each item in the list is either a valid CSV dtype (float32, float64, int32, int64, or string), or a`Tensor` with one of the aforementioned types. The tensor can either be a scalar default value (if the column is optional), or an empty tensor (if the column is required). If a dtype is provided instead of a tensor, the column is also treated as required. If this list is not provided, tries to infer types based on reading the first num_rows_for_inference rows of files specified, and assumes all columns are optional, defaulting to `0`for numeric values and `""""` for string values. If both this and`select_columns` are specified, these must have the same lengths, and`column_defaults` is assumed to be sorted in order of increasing column index.",Each item in the D_STRUCTURE is either a valid CSV dtype BSTR or aD_STRUCTURE with one of the aforementioned types,,,,,,,
90,tf.data.experimental.make_csv_dataset,column_defaults,"A optional list of default values for the CSV fields. One item per selected column of the input record. Each item in the list is either a valid CSV dtype (float32, float64, int32, int64, or string), or a`Tensor` with one of the aforementioned types. The tensor can either be a scalar default value (if the column is optional), or an empty tensor (if the column is required). If a dtype is provided instead of a tensor, the column is also treated as required. If this list is not provided, tries to infer types based on reading the first num_rows_for_inference rows of files specified, and assumes all columns are optional, defaulting to `0`for numeric values and `""""` for string values. If both this and`select_columns` are specified, these must have the same lengths, and`column_defaults` is assumed to be sorted in order of increasing column index.",If a dtype is provided instead of a D_STRUCTURE the column is also treated as required,,,,,,,
91,tf.data.experimental.make_csv_dataset,column_defaults,"A optional list of default values for the CSV fields. One item per selected column of the input record. Each item in the list is either a valid CSV dtype (float32, float64, int32, int64, or string), or a`Tensor` with one of the aforementioned types. The tensor can either be a scalar default value (if the column is optional), or an empty tensor (if the column is required). If a dtype is provided instead of a tensor, the column is also treated as required. If this list is not provided, tries to infer types based on reading the first num_rows_for_inference rows of files specified, and assumes all columns are optional, defaulting to `0`for numeric values and `""""` for string values. If both this and`select_columns` are specified, these must have the same lengths, and`column_defaults` is assumed to be sorted in order of increasing column index.",If both this and PARAM are specified these must have the same lengths and column_defaults is assumed to be sorted in order of increasing column index,,,,,,,
92,tf.data.experimental.make_csv_dataset,column_defaults,"A optional list of default values for the CSV fields. One item per selected column of the input record. Each item in the list is either a valid CSV dtype (float32, float64, int32, int64, or string), or a`Tensor` with one of the aforementioned types. The tensor can either be a scalar default value (if the column is optional), or an empty tensor (if the column is required). If a dtype is provided instead of a tensor, the column is also treated as required. If this list is not provided, tries to infer types based on reading the first num_rows_for_inference rows of files specified, and assumes all columns are optional, defaulting to `0`for numeric values and `""""` for string values. If both this and`select_columns` are specified, these must have the same lengths, and`column_defaults` is assumed to be sorted in order of increasing column index.",If this D_STRUCTURE is not provided tries to infer types based on reading the first PARAM rows of files specified and assumes all columns are optional defaulting to CONSTANT_NUMfor D_TYPE values and for D_TYPE values,,,,,,,
93,tf.data.experimental.make_csv_dataset,column_defaults,"A optional list of default values for the CSV fields. One item per selected column of the input record. Each item in the list is either a valid CSV dtype (float32, float64, int32, int64, or string), or a`Tensor` with one of the aforementioned types. The tensor can either be a scalar default value (if the column is optional), or an empty tensor (if the column is required). If a dtype is provided instead of a tensor, the column is also treated as required. If this list is not provided, tries to infer types based on reading the first num_rows_for_inference rows of files specified, and assumes all columns are optional, defaulting to `0`for numeric values and `""""` for string values. If both this and`select_columns` are specified, these must have the same lengths, and`column_defaults` is assumed to be sorted in order of increasing column index.",One item per selected column of the input record,,,,,,,
94,tf.data.experimental.make_csv_dataset,column_defaults,"A optional list of default values for the CSV fields. One item per selected column of the input record. Each item in the list is either a valid CSV dtype (float32, float64, int32, int64, or string), or a`Tensor` with one of the aforementioned types. The tensor can either be a scalar default value (if the column is optional), or an empty tensor (if the column is required). If a dtype is provided instead of a tensor, the column is also treated as required. If this list is not provided, tries to infer types based on reading the first num_rows_for_inference rows of files specified, and assumes all columns are optional, defaulting to `0`for numeric values and `""""` for string values. If both this and`select_columns` are specified, these must have the same lengths, and`column_defaults` is assumed to be sorted in order of increasing column index.",The D_STRUCTURE can either be a scalar default value BSTR,,,,,,,
95,tf.feature_column.embedding_column,combiner,"A string specifying how to reduce if there are multiple entries in a single row. Currently 'mean', 'sqrtn' and 'sum' are supported, with 'mean' the default. 'sqrtn' often achieves good accuracy, in particular with bag-of-words columns. Each of this can be thought as example level normalizations on the column. For more information, see`tf.embedding_lookup_sparse`.",A D_TYPE specifying how to reduce if there are multiple entries in a single row,D_TYPE,,,,0,,
96,tf.feature_column.embedding_column,combiner,"A string specifying how to reduce if there are multiple entries in a single row. Currently 'mean', 'sqrtn' and 'sum' are supported, with 'mean' the default. 'sqrtn' often achieves good accuracy, in particular with bag-of-words columns. Each of this can be thought as example level normalizations on the column. For more information, see`tf.embedding_lookup_sparse`.",Currently QSTR are supported with QSTR the default,,,,,,,QSTR
97,tf.feature_column.embedding_column,combiner,"A string specifying how to reduce if there are multiple entries in a single row. Currently 'mean', 'sqrtn' and 'sum' are supported, with 'mean' the default. 'sqrtn' often achieves good accuracy, in particular with bag-of-words columns. Each of this can be thought as example level normalizations on the column. For more information, see`tf.embedding_lookup_sparse`.",Each of this can be thought as example level normalizations on the column,,,,,,,
