,Unnamed: 0,API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
37,79,mxnet.image.copyMakeBorder,bot,Bottom margin.,Bottom margin,,,,,,,
38,523,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]]. (x1, y1) and (x2, y2) are top left and down right corners of designated region of interest. batch_index indicates the index of corresponding image in the input data",Bounding box coordinates a CONSTANT_NUM D D_STRUCTURE of BSTR,,,D_STRUCTURE,BSTR,CONSTANT_NUM,,
39,526,mxnet.ndarray.ROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]], where (x1, y1) and (x2, y2) are top left and bottom right corners of designated region of interest. batch_index indicates the index of corresponding image in the input array",Bounding box coordinates a CONSTANT_NUM D D_STRUCTURE of BSTR where BSTR are top left and bottom right corners of designated region of interest,,,D_STRUCTURE,BSTR,CONSTANT_NUM,,
40,257,mxnet.image.imresize,interp,"Interpolation method (default=cv2.INTER_LINEAR). Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). More details can be found in the documentation of OpenCV, please refer to http://docs.opencv.org/master/da/d54/group__imgproc__transform.html.",ONE_WORD BSTR,,,,,,,
41,561,mxnet.ndarray.op.LeakyReLU,slope,Init slope for the activation. (For leaky and elu only),ONE_WORD BSTR,,,,,,,
42,524,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,"Bounding box coordinates, a 2D array of [[batch_index, x1, y1, x2, y2]]. (x1, y1) and (x2, y2) are top left and down right corners of designated region of interest. batch_index indicates the index of corresponding image in the input data",BSTR are top left and down right corners of designated region of interest,,,,,,,
43,494,mxnet.image.CreateDetAugmenter,rand_pad,"[0, 1], probability to apply random padding",BSTR probability to apply random padding,float,,,,0,"[0,1]",
44,335,mxnet.contrib.ndarray.box_encode,matches,"(B, N) value range [0, M)",BSTR value range BSTR,,,,BSTR,,BSTR,
45,258,mxnet.image.imresize,interp,"Interpolation method (default=cv2.INTER_LINEAR). Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). More details can be found in the documentation of OpenCV, please refer to http://docs.opencv.org/master/da/d54/group__imgproc__transform.html.",But when the image is zoomed it is similar to the Nearest Neighbors method,,,,,,,
46,15,mxnet.metric.np,allow_extra_outputs,"Whether prediction output is allowed to have extra outputs. This is useful in cases like RNN where states are also part of output which can then be fed back to the RNN in the next step. By default, extra outputs are not allowed.",By default extra outputs are not allowed,,,,,,,
47,37,mxnet.ndarray.transpose,axes,Target axis order. By default the axes will be inverted.,By default the axes will be inverted,,,,,,,
48,563,mxnet.profiler.dumps,sort_by,"can take 'total', 'avg', 'min', 'max', or 'count' by which stat to sort the entries in each category defaults to 'total'",can take QSTR by which stat to sort the entries in each category defaults to QSTR,,,,,,,QSTR
49,84,mxnet.ndarray.multi_sgd_update,clip_gradient,"Clip gradient to the range of [-clip_gradient, clip_gradient] If clip_gradient <= 0, gradient clipping is turned off. grad = max(min(grad, clip_gradient), -clip_gradient).",Clip gradient to the range of BSTR If clip_gradient REXPR gradient clipping is turned off,,,,,,BSTR,
50,86,mxnet.ndarray.op.where,condition,condition array,condition D_STRUCTURE,,,D_STRUCTURE,,,,
51,325,mxnet.ndarray.op.linalg_trsm,lower,"True if the triangular matrix is lower triangular, false if it is upper triangular.",CONSTANT_BOOL if the triangular matrix is lower triangular CONSTANT_BOOL if it is upper triangular,bool,,,,0,,
52,259,mxnet.image.imresize,interp,"Interpolation method (default=cv2.INTER_LINEAR). Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). More details can be found in the documentation of OpenCV, please refer to http://docs.opencv.org/master/da/d54/group__imgproc__transform.html.",CONSTANT_NUM Area based BSTR,,,,,,,CONSTANT_NUM
53,260,mxnet.image.imresize,interp,"Interpolation method (default=cv2.INTER_LINEAR). Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). More details can be found in the documentation of OpenCV, please refer to http://docs.opencv.org/master/da/d54/group__imgproc__transform.html.",CONSTANT_NUM Bicubic interpolation over 4x4 pixel neighborhood,,,,,,,CONSTANT_NUM
54,261,mxnet.image.imresize,interp,"Interpolation method (default=cv2.INTER_LINEAR). Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). More details can be found in the documentation of OpenCV, please refer to http://docs.opencv.org/master/da/d54/group__imgproc__transform.html.",CONSTANT_NUM Bilinear interpolation,,,,,,,CONSTANT_NUM
55,382,mxnet.ndarray.linalg.extracttrian,offset,"Offset of the diagonal versus the main diagonal. 0 corresponds to the main diagonal, a negative/positive value to diagonals below/above the main diagonal.",CONSTANT_NUM corresponds to the main diagonal a negative positive value to diagonals below above the main diagonal,,,,,,,CONSTANT_NUM
56,262,mxnet.image.imresize,interp,"Interpolation method (default=cv2.INTER_LINEAR). Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). More details can be found in the documentation of OpenCV, please refer to http://docs.opencv.org/master/da/d54/group__imgproc__transform.html.",CONSTANT_NUM Cubic for enlarge area for shrink bilinear for others CONSTANT_NUM Random select from interpolation method metioned above,,,,,,,CONSTANT_NUM
57,207,mxnet.image.imdecode,flag,1 for three channel color output. 0 for grayscale output.,CONSTANT_NUM for grayscale output,,,,,,,CONSTANT_NUM
58,208,mxnet.image.imdecode,flag,1 for three channel color output. 0 for grayscale output.,CONSTANT_NUM for three channel color output,,,,,,,CONSTANT_NUM
59,263,mxnet.image.imresize,interp,"Interpolation method (default=cv2.INTER_LINEAR). Possible values: 0: Nearest Neighbors Interpolation. 1: Bilinear interpolation. 2: Bicubic interpolation over 4x4 pixel neighborhood. 3: Area-based (resampling using pixel area relation). It may be a preferred method for image decimation, as it gives moire-free results. But when the image is zoomed, it is similar to the Nearest Neighbors method. (used by default). 4: Lanczos interpolation over 8x8 pixel neighborhood. 9: Cubic for enlarge, area for shrink, bilinear for others 10: Random select from interpolation method metioned above. Note: When shrinking an image, it will generally look best with AREA-based interpolation, whereas, when enlarging an image, it will generally look best with Bicubic (slow) or Bilinear (faster but still looks OK). More details can be found in the documentation of OpenCV, please refer to http://docs.opencv.org/master/da/d54/group__imgproc__transform.html.",CONSTANT_NUM Lanczos interpolation over 8x8 pixel neighborhood,,,,,,,CONSTANT_NUM
60,462,mxnet.gluon.contrib.rnn.Conv3DGRUCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,numeric,,,,,,
61,464,mxnet.gluon.contrib.rnn.Conv3DLSTMCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,numeric,,,,,,
62,466,mxnet.gluon.contrib.rnn.Conv3DRNNCell,params,Container for weight sharing between cells. Created if None.,Container for weight sharing between cells,numeric,,,,,,
63,619,mxnet.gluon.model_zoo.vision.vgg16_bn,ctx,"DD: Context, default CPU",Context default CPU,,,,,,,
64,620,mxnet.gluon.model_zoo.vision.densenet161,ctx,"DD: Context, default CPU",Context default CPU,,,,,,,
65,621,mxnet.gluon.model_zoo.vision.mobilenet_v2_1_0,ctx,"DD: Context, default CPU",Context default CPU,,,,,,,
66,622,mxnet.gluon.model_zoo.vision.resnet152_v1,ctx,"DD: Context, default CPU",Context default CPU,,,,,,,
67,623,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_25,ctx,"DD: Context, default CPU",Context default CPU,,,,,,,
68,624,mxnet.gluon.model_zoo.vision.densenet121,ctx,"DD: Context, default CPU",Context default CPU,,,,,,,
69,98,mxnet.ndarray.random_generalized_negative_binomial,ctx,"Context of output, in format [cpu|gpu|cpu_pinned](n). Only used for imperative calls.",Context of output in format cpu gpu cpu_pinned BSTR,,,,,,,
70,97,mxnet.ndarray.contrib.arange_like,ctx,"Context of output, in format [cpu|gpu|cpu_pinned](n).Only used for imperative calls.",Context of output in format cpu gpu cpu_pinned BSTR Only used for imperative calls,,,,,,,
71,625,mxnet.ndarray.random.generalized_negative_binomial,ctx,"DD: Context, optional",Context optional,,,,,,,
72,626,mxnet.ndarray.sparse.row_sparse_array,ctx,"DD: Context, optional",Context optional,,,,,,,
73,627,mxnet.ndarray.random.uniform,ctx,"DD: Context, optional",Context optional,,,,,,,
74,628,mxnet.ndarray.random.randint,ctx,"DD: Context, optional",Context optional,,,,,,,
75,629,mxnet.ndarray.array,ctx,"DD: Context, optional",Context optional,,,,,,,
76,630,mxnet.contrib.onnx.import_to_gluon,ctx,DD: Context or list of Context,Context or D_STRUCTURE of Context,,,D_STRUCTURE,,,,
77,289,mxnet.gluon.nn.Conv2D,layout,"Dimension ordering of data and weight. Only supports 'NCHW' and 'NHWC' layout for now. 'N', 'C', 'H', 'W' stands for batch, channel, height, and width dimensions respectively. Convolution is applied on the 'H' and 'W' dimensions.",Convolution is applied on the QSTR dimensions,,,,,,,
78,463,mxnet.gluon.contrib.rnn.Conv3DGRUCell,params,Container for weight sharing between cells. Created if None.,Created if None,,,,,,,
79,465,mxnet.gluon.contrib.rnn.Conv3DLSTMCell,params,Container for weight sharing between cells. Created if None.,Created if None,,,,,,,
80,467,mxnet.gluon.contrib.rnn.Conv3DRNNCell,params,Container for weight sharing between cells. Created if None.,Created if None,,,,,,,
81,128,mxnet.ndarray.op.all_finite,data,Array,ONE_WORD D_STRUCTURE,,,D_STRUCTURE,,,,
82,496,mxnet.contrib.ndarray.MultiBoxPrior,ratios,List of aspect ratios of generated MultiBoxPriores.,D_STRUCTURE of aspect ratios of generated MultiBoxPriores,,,D_STRUCTURE,,,,
83,1,mxnet.ndarray.stack,*data,List of arrays to stack,D_STRUCTURE of D_STRUCTURE to stack,,,D_STRUCTURE,,,,
84,763,mxnet.image.CreateAugmenter,data_shape,DD: tuple of int,D_STRUCTURE of D_TYPE,D_TYPE,,D_STRUCTURE,,,,
85,764,mxnet.gluon.contrib.rnn.Conv2DRNNCell,input_shape,DD: tuple of int,D_STRUCTURE of D_TYPE,D_TYPE,,D_STRUCTURE,,,,
86,765,mxnet.gluon.nn.Dropout,axes,"DD: tuple of int, default ",D_STRUCTURE of D_TYPE default,D_TYPE,,D_STRUCTURE,,,,
87,766,mxnet.model.save_checkpoint,arg_params,DD: dict of str to NDArray,D_STRUCTURE of D_TYPE to D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,,
88,145,mxnet.ndarray.op.unravel_index,data,Array of flat indices,D_STRUCTURE of flat indices,int,,D_STRUCTURE,,,,
89,7,mxnet.ndarray.op.linalg_gemm2,A,Tensor of input matrices,D_STRUCTURE of input matrices,numeric,D_STRUCTURE,,,,,
90,5,mxnet.ndarray.linalg.potrf,A,Tensor of input matrices to be decomposed,D_STRUCTURE of input matrices to be decomposed,numeric,D_STRUCTURE,,,,,
91,3,mxnet.ndarray.linalg_potri,A,Tensor of lower triangular matrices,D_STRUCTURE of lower triangular matrices,numeric,D_STRUCTURE,,,,,
92,59,mxnet.ndarray.linalg_trsm,B,Tensor of matrices,D_STRUCTURE of matrices,numeric,D_STRUCTURE,,,,,
93,25,mxnet.contrib.quantization.quantize_graph,arg_params,Dictionary of name to NDArray.,D_STRUCTURE of name to D_STRUCTURE,string,,D_STRUCTURE,,,,
94,31,mxnet.contrib.quantization.quantize_graph,aux_params,Dictionary of name to NDArray.,D_STRUCTURE of name to D_STRUCTURE,string,,D_STRUCTURE,,,,
95,767,mxnet.test_utils.check_symbolic_forward,aux_states,"DD: list of np.ndarray of dict, optional",D_STRUCTURE of np D_STRUCTURE of D_STRUCTURE optional,,,D_STRUCTURE,,,,
96,768,mxnet.test_utils.check_symbolic_forward,expected,DD: list of np.ndarray or dict of str to np.ndarray,D_STRUCTURE of np D_STRUCTURE of D_TYPE to np D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,,
97,4,mxnet.ndarray.linalg_trsm,A,Tensor of lower triangular matrices,D_STRUCTURE of PARAM triangular matrices,numeric,D_STRUCTURE,,,,,
98,8,mxnet.ndarray.op.linalg_trmm,A,Tensor of lower triangular matrices,D_STRUCTURE of PARAM triangular matrices,numeric,D_STRUCTURE,,,,,
99,769,mxnet.contrib.ndarray.MultiBoxPrior,ratios,"DD: tuple of <float>, optional, default=[1]",D_STRUCTURE of REXPR optional default BSTR,D_TYPE,,D_STRUCTURE,,1,,
100,770,mxnet.ndarray.op.multi_sgd_mom_update,lrs,"DD: tuple of <float>, required",D_STRUCTURE of REXPR required,D_TYPE,,D_STRUCTURE,,,,
101,771,mxnet.ndarray.op.multi_mp_sgd_mom_update,lrs,"DD: tuple of <float>, required",D_STRUCTURE of REXPR required,D_TYPE,,D_STRUCTURE,,,,
102,2,mxnet.ndarray.linalg_inverse,A,Tensor of square matrix,D_STRUCTURE of square matrix,numeric,D_STRUCTURE,,,,,
103,6,mxnet.ndarray.op.linalg_det,A,Tensor of square matrix,D_STRUCTURE of square matrix,numeric,D_STRUCTURE,,,,,
104,772,mxnet.ndarray.op.broadcast_greater_equal,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
105,773,mxnet.ndarray.arccos,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
106,774,mxnet.ndarray.linalg_trsm,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
107,775,mxnet.ndarray.contrib.quantized_fully_connected,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
108,776,mxnet.contrib.ndarray.MultiBoxDetection,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
109,777,mxnet.ndarray.op.broadcast_to,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
110,778,mxnet.contrib.ndarray.fft,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
111,779,mxnet.ndarray.arctanh,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
112,780,mxnet.ndarray.broadcast_greater,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
113,781,mxnet.ndarray.multi_mp_sgd_mom_update,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
114,782,mxnet.ndarray.ones_like,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
115,783,mxnet.ndarray.Dropout,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
116,784,mxnet.ndarray.op.diag,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
117,785,mxnet.ndarray.space_to_depth,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
118,786,mxnet.contrib.ndarray.ROIAlign,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
119,787,mxnet.ndarray.op.ftml_update,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
120,788,mxnet.ndarray.sparse.floor,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
121,789,mxnet.ndarray.contrib.round_ste,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
122,790,mxnet.ndarray.broadcast_plus,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
123,791,mxnet.ndarray.arctan,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
124,792,mxnet.ndarray.broadcast_mul,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
125,793,mxnet.ndarray.sparse.elemwise_add,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
126,794,mxnet.ndarray.contrib.quantized_conv,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
127,795,mxnet.image.imresize,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
128,796,mxnet.ndarray.op.fix,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
129,797,mxnet.ndarray.op.concat,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
130,798,mxnet.ndarray.op.slice_axis,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
131,799,mxnet.ndarray.MakeLoss,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
132,800,mxnet.ndarray.op.linalg_gelqf,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
133,801,mxnet.ndarray.random.normal,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
134,802,mxnet.ndarray.shuffle,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
135,803,mxnet.contrib.ndarray.SparseEmbedding,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
136,804,mxnet.contrib.ndarray.allclose,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
137,805,mxnet.ndarray.sqrt,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
138,806,mxnet.ndarray.op.cast_storage,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
139,807,mxnet.contrib.ndarray.getnnz,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
140,808,mxnet.ndarray.Activation,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
141,809,mxnet.ndarray.SequenceReverse,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
142,810,mxnet.ndarray.contrib.backward_hawkesll,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
143,811,mxnet.ndarray.op.exp,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
144,812,mxnet.ndarray.op.sample_poisson,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
145,813,mxnet.ndarray.contrib.CTCLoss,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
